key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_SYSTEM_000_000","Une corbeille remplie d'objets de toutes sortes."
1,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_001","Merci bien<hex:021D0103>! Tenez, prenez cet argent. En vous remerciant<hex:021D0103>!"
2,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_002","Merci beaucoup<hex:021D0103>! Grâce à vous, nous avons atteint notre quota de dons pour la semaine. S'il vous reste des objets en trop, gardez-les pour plus tard<hex:021D0103>!"
3,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_SYSTEM_000_003","Vous ne pouvez pas remettre plus d'objets au Shazenkai cette semaine.<hex:02100103>La limite hebdomadaire est réinitialisée tous les <hex:020603120303><hex:020944DDFF0A>dimanches<hex:FF07>lundis<hex:FF07>mardis<hex:FF0A>mercredis<hex:FF07>jeudis<hex:FF0A>vendredis<hex:FF08>samedis<hex:03> à <hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel)."
4,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_004","Désolée, nous ne pouvons accepter qu'un certain nombre d'objets par semaine pour des raisons de budget... N'hésitez pas à repasser plus tard<hex:021D0103>!"
5,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_010","Merci pour toutes ces généreuses con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tions, <hex:020815E905FF07>Madame<hex:FF09>Monsieur<hex:03> <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>."
6,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_011","Vos objets n'ont pas seulement amélioré le quotidien des habitants, ils ont aussi et surtout permis aux travaux d'avancer."
7,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_012","N'hésitez pas à faire un tour au marché Yorozu-ichiba, vous verrez comme les choses ont évolué là-bas. Ah, et saluez madame Mitsuba de ma part<hex:021D0103>!"
8,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_013","Allez donc faire un tour au marché Yorozu-ichiba, vous verrez comme les choses ont évolué là-bas. Ah, et saluez madame Mitsuba de ma part<hex:021D0103>!"
9,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_018","<hex:020815E905FF07>Madame<hex:FF09>Monsieur<hex:03> <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, c'est toujours un plaisir."
10,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_019","Vous serez <hex:020816E905FF09>heureuse<hex:FF08>heureux<hex:03> d'apprendre que les travaux vont bon train, en grande partie grâce à vos dons. Si possible, n'hésitez pas à nous aider davantage<hex:021D0103>!"
11,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_SYSTEM_000_020","Les travaux du marché Yorozu-ichiba ont encore progressé grâce au matériel que vous avez fourni."
12,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_SYSTEM_000_021","Continuez de déposer vos dons dans la corbeille que le Shazenkai a prévue à cet effet pour participer à l'effort de recon<hex:02160103>struc<hex:02160103>tion<hex:021D0103>!"
13,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_030","Nous apprécions votre soutien indéfectible, <hex:020815E905FF07>Madame<hex:FF09>Monsieur<hex:03> <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>."
14,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_031","Bonne nouvelle<hex:021D0103>: nous sommes parvenus à nouer une relation commerciale avec plusieurs tribus aorannes de la Steppe d'Azim. Nous pouvons désormais leur acheter de nombreux produits auxquels nous n'avions pas accès autrefois."
15,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_032","Quant à notre marché, il a plutôt fière allure, maintenant<hex:021D0103>! Madame Mitsuba doit être assez occupée ces temps-ci, mais n'hésitez pas à passer prendre de ses nouvelles."
16,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_033","Passez donc prendre des nouvelles de madame Mitsuba, ça lui fera plaisir."
17,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_038","<hex:020815E905FF07>Madame<hex:FF09>Monsieur<hex:03> <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, c'est toujours un plaisir."
18,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_039","Vous serez <hex:020816E905FF09>heureuse<hex:FF08>heureux<hex:03> d'apprendre que les travaux vont bon train, en grande partie grâce à vos dons. Si possible, n'hésitez pas à nous aider davantage<hex:021D0103>!"
19,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_SYSTEM_000_040","Les travaux du marché Yorozu-ichiba ont encore progressé grâce au matériel que vous avez fourni."
20,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_SYSTEM_000_041","Continuez de déposer vos dons dans la corbeille que le Shazenkai a prévue à cet effet pour participer à l'effort de recon<hex:02160103>struc<hex:02160103>tion<hex:021D0103>!"
21,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_050","Merci pour toutes vos bonnes actions, <hex:020815E905FF07>Madame<hex:FF09>Monsieur<hex:03> <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. Puissent les kami vous récompenser pour votre générosité."
22,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_051","J'ai l'honneur de vous annoncer que la con<hex:02160103>struc<hex:02160103>tion du marché Yorozu-ichiba est terminée<hex:021D0103>! Il ne désemplit pas depuis son inauguration, ce qui laisse à penser que les habitants du quartier enclavé mangent à leur faim, et de façon variée."
23,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_052","Vous ne voudriez manquer cela pour rien au monde, croyez-moi<hex:021D0103>! Venez, allons vite rendre visite à madame Mitsuba. Je viens avec vous, cette fois<hex:021D0103>!"
24,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_053","Venez, allons vite rendre visite à madame Mitsuba. Je viens avec vous, cette fois<hex:021D0103>!"
25,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_060","Ravie de pouvoir compter sur votre aide, comme d'habitude."
26,"TEXT_CTSDOMRECONCOLLECTIONBOX_00484_KOZAKURA_000_061","Le marché Yorozu-ichiba étant achevé, nous avons mis en chantier un tout nouveau projet. Cette fois, il s'agit de bâtir des ateliers et de regrouper ainsi tous nos artisanats en un lieu, baptisé “Shokunin-machi”."
