key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CTSFCKATTENDANT_00454_TALK_ACTOR","Bien le <hex:02083DE3E90C0DFF1B><hex:020817E3E90C05FF08>bonsoir<hex:FF08>bonjour<hex:03><hex:FF1B><hex:020817E3E90C12FF08>bonjour<hex:FF08>bonsoir<hex:03><hex:03> chez vous, aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03>. Que puis-je faire pour vous aider<hex:021D0103>?"
1,"TEXT_CTSFCKATTENDANT_00454_TALK_QUEST_INCOMPLETE","<hex:02083DE3E90C0DFF1B><hex:020817E3E90C05FF08>Bonsoir<hex:FF08>Bonjour<hex:03><hex:FF1B><hex:020817E3E90C12FF08>Bonjour<hex:FF08>Bonsoir<hex:03><hex:03>, aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03><hex:021D0103>! Je suis Kasumi, l'assistante personnelle de monsieur Masked Rose. Au cas où vous seriez intéressé<hex:020808E905FF02>e<hex:FF01><hex:03> par la Revue de mode, n'hésitez pas à vous adresser à lui<hex:021D0103>!"
2,"TEXT_CTSFCKATTENDANT_00454_GUIDEMENU_000_000","Sur quoi vous renseignez-vous<hex:021D0103>?"
3,"TEXT_CTSFCKATTENDANT_00454_GUIDEMENU_001_000","La Revue de mode"
4,"TEXT_CTSFCKATTENDANT_00454_GUIDEMENU_002_000","Le système de notation"
5,"TEXT_CTSFCKATTENDANT_00454_GUIDEMENU_003_000","Les récompenses"
6,"TEXT_CTSFCKATTENDANT_00454_GUIDEMENU_CANCEL","Annuler"
7,"TEXT_CTSFCKATTENDANT_00454_GUIDE_001_000","Le principe de notre Revue de mode est très simple<hex:021D0103>: les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants doivent s'habiller en suivant les directives de monsieur Masked Rose ici présent, qui leur donnera ensuite une note selon un système d'évaluation bien précis."
8,"TEXT_CTSFCKATTENDANT_00454_GUIDE_001_001","Entre nous, monsieur Rose est cer<hex:02160103>tai<hex:02160103>ne<hex:02160103>ment un des critiques de mode les plus respectés dans la profession, mais il faut bien admettre que son jugement peut parfois être assez sévère. Soyez sur votre trente-et-un en toutes cir<hex:02160103>cons<hex:02160103>tan<hex:02160103>ces pour vous attirer ses bonnes grâces<hex:021D0103>!"
9,"TEXT_CTSFCKATTENDANT_00454_SYSTEM_001_002","Le thème de la Revue de mode est réinitialisé tous les <hex:020603120303><hex:020944DDFF0A>dimanches<hex:FF07>lundis<hex:FF07>mardis<hex:FF0A>mercredis<hex:FF07>jeudis<hex:FF0A>vendredis<hex:FF08>samedis<hex:03> à <hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel)."
10,"TEXT_CTSFCKATTENDANT_00454_SYSTEM_001_003","Il est possible d'obtenir jusqu'à quatre évaluations par semaine en vous présentant devant Masked Rose des <hex:020603120603><hex:020944DDFF0A>dimanches<hex:FF07>lundis<hex:FF07>mardis<hex:FF0A>mercredis<hex:FF07>jeudis<hex:FF0A>vendredis<hex:FF08>samedis<hex:03> à <hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h aux <hex:020603120303><hex:020944DDFF0A>dimanches<hex:FF07>lundis<hex:FF07>mardis<hex:FF0A>mercredis<hex:FF07>jeudis<hex:FF0A>vendredis<hex:FF08>samedis<hex:03> à <hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h (temps réel)."
11,"TEXT_CTSFCKATTENDANT_00454_SYSTEM_001_004","La période des <hex:020603120303><hex:020944DDFF0A>dimanches<hex:FF07>lundis<hex:FF07>mardis<hex:FF0A>mercredis<hex:FF07>jeudis<hex:FF0A>vendredis<hex:FF08>samedis<hex:03> à <hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h aux <hex:020603120603><hex:020944DDFF0A>dimanches<hex:FF07>lundis<hex:FF07>mardis<hex:FF0A>mercredis<hex:FF07>jeudis<hex:FF0A>vendredis<hex:FF08>samedis<hex:03> à <hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>h est réservée à la préparation des par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants. Il est donc impossible d'être évalué durant cette période."
12,"TEXT_CTSFCKATTENDANT_00454_GUIDE_002_000","Vous pouvez vous présenter devant monsieur Rose jusqu'à quatre fois par semaine. Pour chaque évaluation, il vous attribuera une note sur cent points. Par conséquent, n'hésitez pas à vous présenter plusieurs fois durant la période d'évaluation pour obtenir le meilleur score possible."
13,"TEXT_CTSFCKATTENDANT_00454_SYSTEM_002_001","Veuillez noter que si des mirages ont été appliqués, l'évaluation se basera sur l'apparence actuelle de votre équipement. En outre, votre couvre-chef sera également évalué, même s'il est caché."
14,"TEXT_CTSFCKATTENDANT_00454_GUIDE_003_000","Même si vous ne tentez votre chance qu'une seule fois au cours de la durée d'un thème, vous recevrez des PGS en guise de récompense. C'est notre façon de vous remercier pour avoir fait un minimum d'efforts."
15,"TEXT_CTSFCKATTENDANT_00454_GUIDE_003_001","En revanche, ces mêmes PGS pleuvront sur votre tête en quantité astronomique si vous obtenez un score supérieur à quatre-vingts. Voilà pourquoi vous devez faire votre maximum pour être à la pointe de la mode en permanence<hex:021D0103>!"
16,"TEXT_CTSFCKATTENDANT_00454_GUIDE_003_002","De plus, tous les par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants réguliers à la Revue de mode auront accès à des articles exclusivement réservés aux habitués. Rendez-nous visite aussi souvent que possible pour découvrir de quoi il s'agit<hex:021D0103>!"
