key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_HOUFURWALLPAPERPARTITION_00437_Q1_000_000","[Revêtement<hex:021D0103>: <hex:02280AFF05>Item<hex:E8020103>]"
1,"TEXT_HOUFURWALLPAPERPARTITION_00437_Q1_000_001","[Revêtement<hex:021D0103>: aucun]"
2,"TEXT_HOUFURWALLPAPERPARTITION_00437_A1_000_002","Coller un revêtement"
3,"TEXT_HOUFURWALLPAPERPARTITION_00437_A1_000_003","Retirer le revêtement"
4,"TEXT_HOUFURWALLPAPERPARTITION_00437_A1_000_004","Annuler"
5,"TEXT_HOUFURWALLPAPERPARTITION_00437_Q2_000_000","Retirer <hex:02330CFF05>Item<hex:03E802020203> et réinitialiser l'apparence de la partition<hex:021D0103>?<hex:02100103><hex:024804F201F403><hex:024904F201F503>* L'objet ci-dessous sera perdu.<hex:0249020103><hex:0248020103>"
