key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_000","Ah, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, c'est vous<hex:021D0103>! Bienvenue à Porta Praetoria. En quoi puis-je vous être utile<hex:021D0103>?"
1,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_001","Et voilà <hex:020824E905FF10>la libératrice<hex:FF0F>le libérateur<hex:03> d'Ala Mhigo, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! Bienvenue à Porta Praetoria. En quoi puis-je vous être utile<hex:021D0103>?"
2,"TEXT_REGGYR3PORTAPRAETORIA_00402_Q1_000_000","Sur quoi vous renseignez-vous<hex:021D0103>?"
3,"TEXT_REGGYR3PORTAPRAETORIA_00402_A1_000_001","Votre interlocuteur"
4,"TEXT_REGGYR3PORTAPRAETORIA_00402_A1_000_002","Cet endroit"
5,"TEXT_REGGYR3PORTAPRAETORIA_00402_A1_000_003","Annuler"
6,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_010","Je suis Thorned Crow, un combattant de l'armée de libération. Mes parents m'ont emmené loin d'Ala Mhigo alors que je n'étais encore qu'un enfant. Depuis, je m'entraîne comme un diable afin de bouter un jour les Impériaux hors de ma patrie."
7,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_011","Et voilà que nous nous rapprochons enfin du but... Le drapeau mhigois flottera à nouveau au sommet de la forteresse très bientôt, j'en suis sûr et certain<hex:021D0103>!"
8,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_020","Je suis Thorned Crow, un combattant de l'armée de libération. Mes parents m'ont emmené loin d'Ala Mhigo alors que je n'étais encore qu'un enfant. Suite à ça, je me suis entraîné comme un diable afin de bouter un jour les Impériaux hors de ma patrie."
9,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_021","Et aujourd'hui, ce doux rêve s'est enfin réalisé<hex:021D0103>! Nos camarades qui ont donné leur vie pour nous doivent être tellement fiers, là où ils sont..."
10,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_030","Vous êtes à Porta Praetoria, l'avant-poste principal de Castrum Abania."
11,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_031","À l'origine, cet endroit était un simple point de passage sur la route menant à Ala Mhigo. Suite à leur conquête de la région, les Garlemaldais l'ont transformé en base militaire."
12,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_032","Mais grâce à la coopération de l'Alliance éorzéenne, nous sommes enfin parvenus à la reconquérir. Désormais, il ne nous reste plus qu'à chasser l'envahisseur hors de nos terres<hex:021D0103>!"
13,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_040","Vous êtes à Porta Praetoria, l'avant-poste principal de Castrum Abania."
14,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_041","À l'origine, cet endroit était un simple point de passage sur la route menant à Ala Mhigo. Suite à leur conquête de la région, les Garlemaldais l'ont transformé en base militaire."
15,"TEXT_REGGYR3PORTAPRAETORIA_00402_THORNEDCROW_000_042","Et nous pourrions presque les en remercier, car en quittant les lieux, ils nous ont laissé un avant-poste de grande qualité<hex:021D0103>! Il nous permettra de surveiller étroitement la région ainsi que les allées et venues dans notre belle cité-forteresse."
