key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_REGOTH3DOMANENCLAVE_00415_YOMOGI_000_000","Vous êtes le compagnon d'armes du seigneur Hien<hex:021D0103>! Le quartier enclavé de Doma est heureux de recevoir votre visite<hex:021D0103>! Quel bon vent vous amène<hex:021D0103>?"
1,"TEXT_REGOTH3DOMANENCLAVE_00415_YOMOGI_000_010","Salut, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! Tu vas bien<hex:021D0103>? Ah, ça vous dérange peut-être si je vous tutoie... J'ai remarqué que le seigneur Hien s'adressait à vous de cette façon, alors j'ai cru bon d'en faire autant. Mais c'est comme vous voulez<hex:021D0103>! Quel bon vent vous amène<hex:021D0103>?"
2,"TEXT_REGOTH3DOMANENCLAVE_00415_Q1_000_100","Sur quoi vous renseignez-vous<hex:021D0103>?"
3,"TEXT_REGOTH3DOMANENCLAVE_00415_A1_000_101","Votre interlocutrice"
4,"TEXT_REGOTH3DOMANENCLAVE_00415_A1_000_102","Cet endroit"
5,"TEXT_REGOTH3DOMANENCLAVE_00415_A1_000_103","Annuler"
6,"TEXT_REGOTH3DOMANENCLAVE_00415_YOMOGI_000_200","Mon nom est Yomogi. Mes parents tenaient une petite boutique de <hex:021A020203>dango<hex:021A020103>, mais c'était il y a longtemps déjà."
7,"TEXT_REGOTH3DOMANENCLAVE_00415_YOMOGI_000_201","Avant que les Impériaux ne viennent tout saccager, cet endroit était plein à craquer de marchands et d'artisans. Nous allons devoir faire beaucoup d'efforts pour lui redonner son éclat d'antan, mais les Domiens ont de l'énergie à revendre<hex:021D0103>!"
8,"TEXT_REGOTH3DOMANENCLAVE_00415_YOMOGI_000_300","Cette enclave était autrefois ce que les occidentaux nomment un “quartier marchand”. De nombreux commerçants et artisans venaient des quatre coins du pays pour y vendre leurs produits, jusqu'à ce que les Garlemaldais prennent possession des lieux."
9,"TEXT_REGOTH3DOMANENCLAVE_00415_YOMOGI_000_301","La révolte de l'an dernier a mis les lieux à feu et à sang. Ceux qui ont survécu au massacre ont été mis sous étroite sur<hex:02160103>veil<hex:02160103>lan<hex:02160103>ce par les Impériaux, et vu les conditions de vie abominables qui leur ont été imposées, certains sont même allés jusqu'à se demander si la mort n'aurait pas été plus douce."
10,"TEXT_REGOTH3DOMANENCLAVE_00415_YOMOGI_000_302","Malgré tout, on peut dire que notre sort a été préférable à celui de Monzen, qui a lit<hex:02160103>té<hex:02160103>ra<hex:02160103>le<hex:02160103>ment été rayé de la carte..."
11,"TEXT_REGOTH3DOMANENCLAVE_00415_YOMOGI_000_303","À présent, nous essayons tous d'oublier cette longue période de souffrance pour nous concentrer sur l'avenir, et redonner à cette enclave sa joie de vivre d'antan<hex:021D0103>!"
12,"TEXT_REGOTH3DOMANENCLAVE_00415_TALK_ACTOR","（★未使用／削除予定★）"
