key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_000","Salut, bienvenue à l'association des naturalistes. Si c'est pour une livraison ou une commande, repasse plus tarrrd. Je suis en pause, là."
1,"TEXT_CTSDKBCHARACTER4_00570_SYSTEM_000_008",""
2,"TEXT_CTSDKBCHARACTER4_00570_SYSTEM_000_009",""
3,"TEXT_CTSDKBCHARACTER4_00570_SYSTEM_000_010",""
4,"TEXT_CTSDKBCHARACTER4_00570_SYSTEM_000_011",""
5,"TEXT_CTSDKBCHARACTER4_00570_SYSTEM_000_012",""
6,"TEXT_CTSDKBCHARACTER4_00570_SYSTEM_000_020","Avec cette livraison, Qeshi-Rae a commencé à prendre conscience de votre effort de con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion en faveur de l'association des naturalistes."
7,"TEXT_CTSDKBCHARACTER4_00570_SYSTEM_000_021",""
8,"TEXT_CTSDKBCHARACTER4_00570_SYSTEM_000_022","Continuez à lui livrer des objets pour vivre de nouvelles aventures et découvrir le fin mot de l'histoire<hex:021D0103>!"
9,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_030","Prélève toutes <hex:02330DFF05>Item<hex:03F26880030203> que tu trouveras, je me chargerai de faire le trrri, gnéhéhé<hex:021D0103>!"
10,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_050","（★未使用／削除予定★）"
11,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_055","Hoho... Tu m'as rapporté une griffe... Et vu sa taille, elle devait appartenir à un animal assez costaud<hex:021D0103>! Peut-être à un simoun, qui sait... Je vais inspecter ça de plus près, merrrci<hex:021D0103>!"
12,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_100","Hé, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! Tu m'as dégoté un truc intéressant... Ça ressemble à une griffe, mais sa forrrme ne correspond à aucune espèce répertoriée."
13,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_101","Pour l'analyser en détail, je vais avoir besoin de l'aide d'un spécialiste. Ça tombe bien, j'en connais un bon, et c'est un de mes employés<hex:021D0103>! Bouge pas, je vais le cherrrcher<hex:021D0103>!"
14,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_102","Je t'ai pas trop fait attendre, j'espère. Je te présente Mao-Ladd, il est chercheurrr tout comme Yalana. Les deux travaillent souvent en binôme."
15,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_103","C'est lui, le petit veinarrrd qui s'est retrouvé en présence d'un simoun<hex:021D0103>!"
16,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_100_103","Allez Mao, rrraconte-lui un peu comment ça s'est passé<hex:021D0103>!"
17,"TEXT_CTSDKBCHARACTER4_00570_MAOLADD_000_104","D-d'accord<hex:021D0103>! Ce jour-là, j'accompagnais un mineur en Amh Araeng. J'étais très curieux de savoirrr où en était l'aménagement des mines là-bas."
18,"TEXT_CTSDKBCHARACTER4_00570_MAOLADD_000_105","On inspectait tran<hex:02160103>quil<hex:02160103>le<hex:02160103>ment les lieux quand soudain... l'ombre d'une énorme, que dis-je, d'une gigantesque crrréature nous a recouverts<hex:021D0103>!"
19,"TEXT_CTSDKBCHARACTER4_00570_MAOLADD_000_106","Le mineur et moi, on s'est regardés, incrédules... C'est alorrrs que l'ombre a disparu. Attention, pas progressivement... Elle s'est volatilisée comme ça, d'un coup<hex:021D0103>!"
20,"TEXT_CTSDKBCHARACTER4_00570_MAOLADD_000_107","Ce n'était ni un nuage ni un volatile, vous pouvez me croirrre<hex:021D0103>! Pour moi, c'était forcément le fantôme d'un simoun, comme dans les légendes des Mords<hex:021D0103>!"
21,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_108","Ah, Mao, mon brave Mao... Si même un scien<hex:02160103>ti<hex:02160103>fi<hex:02160103>que de ton calibre se met à croire à de vulgaires histoirrres de fantômes, on est mal barrés..."
22,"TEXT_CTSDKBCHARACTER4_00570_MAOLADD_000_109","M-mais je vous jurrre que..."
23,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_110","Tiens, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> ici présent<hex:020808E905FF02>e<hex:FF01><hex:03> nous a rapporté un petit souvenir d'Amh Araeng. Dis-moi donc si ça ressemble à un morrrceau de spectre<hex:021D0103>!"
24,"TEXT_CTSDKBCHARACTER4_00570_MAOLADD_000_111","C'est... une griffe de lézard<hex:021D0103>? Mais non, il n'y a pas d'aussi gros reptiles en Amh Araeng... Pour avoirrr des griffes pareilles, il faudrait que l'animal fasse au moins... au moins..."
25,"TEXT_CTSDKBCHARACTER4_00570_MAOLADD_000_112","... D-dites, vous pouvez me la prêter<hex:021D0103>!? J'aimerais l'analyser tout de suite au laboratoirrre<hex:021D0103>!"
26,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_113","J'allais justement te le demander<hex:021D0103>! Préviens-moi si tu trouves quelque chose d'intéressant, d'accorrrd<hex:021D0103>?"
27,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_114","Mao-Ladd va avoir besoin d'un peu de temps. Laissons-le faire son trrravail."
28,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_115","En attendant, tu pourrais visiter les lieux de cueillette et de minage de la région, et découvrir tout ce que notre nature a à offrirrr... du tourisme utile, en somme<hex:021D0103>! "
29,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_116","Je te rassure, c'est pas à toi <hex:02081BE905FF0C>toute seule<hex:FF0A>tout seul<hex:03> que t'épuiseras les ressources de Norvrandt<hex:021D0103>! Tu peux même garder le fruit de tes rrrécoltes pour toi, on t'en voudra pas<hex:021D0103>!"
30,"TEXT_CTSDKBCHARACTER4_00570_SYSTEM_000_170","Votre rang de con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion a changé. Qeshi-Rae vous considère maintenant comme <hex:02083BE905FF1C>une simounologue ambitieuse<hex:FF1A>un simounologue ambitieux<hex:03><hex:021D0103>!"
31,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_130","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, devine quoi<hex:021D0103>? Mao a terrrminé ses analyses, j'ai son compte rendu sous la main<hex:021D0103>!"
32,"TEXT_CTSDKBCHARACTER4_00570_SYSTEM_000_135","Qeshi-Rae propose la prochaine commande aux mineurs ou botanistes de niveau 73."
33,"TEXT_CTSDKBCHARACTER4_00570_QESHIRAE_000_150","Donc, en ce qui concerrrne l'échantillon qui nous intéresse..."
