key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_FESANV2018GUIDE_00508_Q1_000_000","Sur quoi vous renseignez-vous<hex:021D0103>?"
1,"TEXT_FESANV2018GUIDE_00508_A1_000_002","La fête de la Commémoration"
2,"TEXT_FESANV2018GUIDE_00508_A1_000_003","<hex:022B22FF20><hex:02281CFF17>ContentFinderCondition<hex:E8022C03><hex:03>"
3,"TEXT_FESANV2018GUIDE_00508_A1_000_004","Annuler"
4,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_000","La fête de la Commémoration est célébrée chaque année pour que personne n'oublie les victimes du septième fléau, ni les Guerriers de la Lumière qui se sont battus jusqu'au bout pour empêcher notre ané<hex:02160103>an<hex:02160103>tis<hex:02160103>se<hex:02160103>ment."
5,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_001","Cette fois-ci, les Immortels ont prévu d'organiser des grandes manœuvres dans les rues d'Ul'dah qui mettront en scène la riposte des armées éorzéennes face aux Garlemaldais et aux créatures du néant."
6,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_010","En plus de la par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pa<hex:02160103>tion du Maelstrom et de l'ordre des Deux Vipères, nous aurons également l'honneur d'accueillir des aventuriers au sein de nos rangs pour célébrer cet événement comme il se doit. Nous espérons que vous serez de la partie, vous aussi<hex:021D0103>!"
7,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_020","Le Maelstrom se fait une joie d'y participer, et nous aurons également l'honneur d'accueillir des aventuriers au sein de nos rangs pour célébrer cet événement comme il se doit. Nous espérons que vous serez de la partie, vous aussi<hex:021D0103>!"
8,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_030","L'ordre des Deux Vipères se fait une joie d'y participer, et nous aurons également l'honneur d'accueillir des aventuriers au sein de nos rangs pour célébrer cet événement comme il se doit. Nous espérons que vous serez de la partie, vous aussi<hex:021D0103>!"
9,"TEXT_FESANV2018GUIDE_00508_Q2_000_000","Sur quoi vous renseignez-vous<hex:021D0103>?"
10,"TEXT_FESANV2018GUIDE_00508_A2_000_001","<hex:022B22FF20><hex:02281CFF17>ContentFinderCondition<hex:E8022C03><hex:03>"
11,"TEXT_FESANV2018GUIDE_00508_A2_100_001","La par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pa<hex:02160103>tion aux grandes manœuvres commémoratives"
12,"TEXT_FESANV2018GUIDE_00508_A2_000_002","Les ALÉA"
13,"TEXT_FESANV2018GUIDE_00508_A2_000_003","L'exploration en équipe"
14,"TEXT_FESANV2018GUIDE_00508_A2_000_004","Retour"
15,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_040","Les manœuvres ont pour objectif de reproduire le combat des Éorzéens contre les Impériaux et les créatures du néant. Pour que tout se passe dans les meilleures conditions, certaines parties d'Ul'dah ne seront plus accessibles."
16,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_041","<hex:022B22FF20><hex:02281CFF17>ContentFinderCondition<hex:E8022C03><hex:03> est un événement saisonnier pour 1 à 8 joueurs ayant pour but de triompher des ennemis présents durant la fête de la Commémoration."
17,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_042","Seuls les combattants et les mages de niveau 30 ou plus peuvent y participer."
18,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_043","En outre, le niveau des par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants aux grandes manœuvres commémoratives est au<hex:02160103>to<hex:02160103>ma<hex:02160103>ti<hex:02160103>que<hex:02160103>ment synchronisé à 50."
19,"TEXT_FESANV2018GUIDE_00508_SYSTEM_100_043","Cet événement utilise également la synchronisation du niveau d'objet. Toutes les pièces d'équipement dont le niveau d'objet est supérieur à 110 voient leurs ca<hex:02160103>rac<hex:02160103>té<hex:02160103>ris<hex:02160103>ti<hex:02160103>ques réduites à des valeurs équivalentes à ce niveau."
20,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_044","Con<hex:02160103>trai<hex:02160103>re<hex:02160103>ment aux autres contenus instanciés, jusqu'à 144 personnes peuvent évoluer en même temps dans cette zone. Collaborez donc au mieux avec les autres équipes afin de faire une riche moisson de récompenses<hex:021D0103>!"
21,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_045","Diverses manœuvres sont organisées de manière aléatoire tout au long de la fête de la Commémoration. Pour y participer, il est nécessaire de s'adresser à l'un des res<hex:02160103>pon<hex:02160103>sa<hex:02160103>bles des ins<hex:02160103>crip<hex:02160103>tions."
22,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_046","Il n'est possible de s'inscrire aux grandes manœuvres commémoratives qu'à certains moments précis pendant la durée de l'événement saisonnier."
23,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_047","Vous pouvez aussi le faire en parlant au guide des manœuvres, qui est uniquement disponible lorsque les manœuvres sont en cours."
24,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_050","Durant les manœuvres, vous serez amené<hex:020808E905FF02>e<hex:FF01><hex:03> à faire alliance avec d'autres aventuriers afin d'éliminer les différentes menaces qui ap<hex:02160103>pa<hex:02160103>raî<hex:02160103>tront aléatoirement dans la cité. Soyez aux aguets<hex:021D0103>!"
25,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_051","Con<hex:02160103>trai<hex:02160103>re<hex:02160103>ment aux autres contenus instanciés, <hex:02281CFF17>ContentFinderCondition<hex:E8022C03> sont composées d'ALÉA."
26,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_052","En ac<hex:02160103>com<hex:02160103>plis<hex:02160103>sant ces ALÉA, vous pourrez obtenir <hex:02330DFF05>Item<hex:02F25B55030203> échangeables contre des récompenses d'événement saisonnier."
27,"TEXT_FESANV2018GUIDE_00508_ANVGUIDE00508_000_060","Les ennemis apparaissant durant les manœuvres ne peuvent pas être vaincus en solitaire. Faites alliance avec d'autres aventuriers pour en venir à bout."
28,"TEXT_FESANV2018GUIDE_00508_SYSTEM_000_061","Con<hex:02160103>trai<hex:02160103>re<hex:02160103>ment aux autres contenus instanciés, il est possible de former une équipe, de la recomposer et de la dissoudre une fois <hex:02281CFF17>ContentFinderCondition<hex:E8022C03> entamées."
29,"TEXT_FESANV2018GUIDE_00508_A1_000_001","（★未使用／削除予定★）"
30,"TEXT_FESANV2018GUIDE_00508_TALK_ACTOR","（★未使用／削除予定★）"
