key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_REGNOR4WRIGHT_00592_BEACHORR_000_000","Bon<hex:020831E3E90C0DFF15><hex:020811E3E90C05FF05>soir<hex:FF05>jour<hex:03><hex:FF15><hex:020811E3E90C12FF05>jour<hex:FF05>soir<hex:03><hex:03>, ami<hex:020808E905FF02>e<hex:FF01><hex:03> voyageu<hex:02080AE905FF03>se<hex:FF02>r<hex:03>. Il n'y a pas grrrand-chose dans ce village, mais on y mène une vie simple et agréable. Je peux vous rrrenseigner, si vous avez des questions."
1,"TEXT_REGNOR4WRIGHT_00592_Q1_000_000","Sur quoi vous renseignez-vous<hex:021D0103>?"
2,"TEXT_REGNOR4WRIGHT_00592_A1_000_001","Votre interlocuteur"
3,"TEXT_REGNOR4WRIGHT_00592_A1_000_002","Cet endroit"
4,"TEXT_REGNOR4WRIGHT_00592_A1_000_003","Rien en particulier"
5,"TEXT_REGNOR4WRIGHT_00592_BEACHORR_000_010","Je suis un simple agriculteur. La terre est pauvre, ici, alorrrs ma tâche n'est pas aisée... En fait, elle n'est pas véritablement cultivable."
6,"TEXT_REGNOR4WRIGHT_00592_BEACHORR_000_011","Mais nous n'avons aucune intention de déménager plus près d'Eulmore. Après tout, ces terres font partie des rrrares endroits épargnés par le déluge de Lumière. Et puis, ce sont les terres de mes ancêtres. Je ne peux pas les abandonner comme ça<hex:021D0103>!"
7,"TEXT_REGNOR4WRIGHT_00592_BEACHORR_000_012","Comme nous sommes en dehors de la protection d'Eulmore, nous sommes plus exposés que d'autres. La vie n'est pas tous les jours facile. Mais j'ai décidé de rrrester à Cherpant."
8,"TEXT_REGNOR4WRIGHT_00592_BEACHORR_000_020","Ce village a été nommé Cherpant en l'honneurrr des familles d'artisans charpentiers qui ont été parmi les premiers à s'y installer. Avant le déluge de Lumière, les artisans y étaient ef<hex:02160103>fec<hex:02160103>ti<hex:02160103>ve<hex:02160103>ment nombreux..."
9,"TEXT_REGNOR4WRIGHT_00592_BEACHORR_000_021","Vous connaissez le chantier naval de Venmont qui se trouve près d'ici<hex:021D0103>? La pluparrrt des ouvriers qui y travaillent habitaient ici, autrefois. Le village devait être vraiment animé, à cette époque."
10,"TEXT_REGNOR4WRIGHT_00592_BEACHORR_000_022","Même s'il reste des artisans qui tentent de préserver les techniques de fabrication de bateaux, la demande a disparrru avec le déluge de Lumière, alors l'essentiel du travail consiste à démonter les bateaux plutôt qu'à en fabriquer. C'est bien dommage..."
