key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CTSMYCENTRANCEHARD_00706_Q1_000_000","Que voulez-vous faire<hex:021D0103>?"
1,"TEXT_CTSMYCENTRANCEHARD_00706_MENU_CONTENT","S'enregistrer pour <hex:022B22FF20><hex:02281CFF17>ContentFinderCondition<hex:E8022C03><hex:03>"
2,"TEXT_CTSMYCENTRANCEHARD_00706_A1_000_001","En apprendre plus sur <hex:022B22FF20><hex:02281CFF17>ContentFinderCondition<hex:E8022C03><hex:03>"
3,"TEXT_CTSMYCENTRANCEHARD_00706_A1_000_003","Discuter"
4,"TEXT_CTSMYCENTRANCEHARD_00706_A1_000_002","Rien en particulier"
5,"TEXT_CTSMYCENTRANCEHARD_00706_WAKADANNAOFMUJIKOZA_000_000","J'ai lu une ébauche de la pièce relatant vos exploits, et je dois m'avouer... é-pa-té<hex:021D0103>! Votre courage et votre impétuosité se jetaient dans un océan de drame déchaîné, et j'ai bien cru plus d'une fois que j'allais lâcher prise face à votre héroïsme renversant<hex:021D0103>!"
6,"TEXT_CTSMYCENTRANCEHARD_00706_WAKADANNAOFMUJIKOZA_000_001","Soyez certain<hex:020808E905FF02>e<hex:FF01><hex:03> que je ne bougerai pas d'un ilm tant que la pièce ne sera pas complétée. N'hésitez donc pas à venir me parler si vous désirez quoi que ce soit<hex:021D0103>!"
