key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_FESEST2021ADDPUBENPC_00713_KOFUINSEIGETSU_000_001","(-Voix illuminée venant de la tête-)<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! Quelle heureuse coïncidence<hex:021D0103>! Je ne m'attendais pas à vous trouver ici. Vous connaissez mon attrait pour les festivals, alors je ne pouvais pas manquer celui-ci<hex:021D0103>! Cette histoire de “chat sot peureux” est fascinante..."
1,"TEXT_FESEST2021ADDPUBENPC_00713_GYOREI_000_002","(-Voix amicale venant du ventre-)G-Gyoshin<hex:021D0103>! Calme-toi, enfin<hex:021D0103>! Tu vas nous faire tomber à force de t'agiter comme un fou<hex:021D0103>!"
2,"TEXT_FESEST2021ADDPUBENPC_00713_GYOSHIN_000_003","(-Voix ahurie venant des jambes-)Aah... Oyoyo... J'en peux plus... Il fait trop chaud ici... J'ai la peau toute desséchée... Vous êtes trop lourds, j'en ai plein les nageoires<hex:021D0103>!"
3,"TEXT_FESEST2021ADDPUBENPC_00713_KOFUINSEIGETSU_000_004","(-Voix illuminée venant de la tête-)Un peu de tenue, Gyoshin<hex:021D0103>! Tu ne vois pas que <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> est là<hex:021D0103>? Tu devrais jeter un œil aux exercices contenus dans le célèbre “Guide du parfait culturiste”, ça te ferait du bien<hex:021D0103>!"
4,"TEXT_FESEST2021ADDPUBENPC_00713_LEOFARD_000_005","Tssk... Toi ici<hex:021D0103>!? Ne le prends pas mal, mais... j'aurais préféré que tu ne me voies pas dans cet accoutrement. J'imagine que tu es venu<hex:020808E905FF02>e<hex:FF01><hex:03> pour aider à préparer le festival, comme tout<hex:020808E905FF02>e<hex:FF01><hex:03> <hex:020827E905FF13>bonne aventurière<hex:FF0F>bon aventurier<hex:03> qui se respecte<hex:021D0103>?"
5,"TEXT_FESEST2021ADDPUBENPC_00713_STACIA_000_006","Nous sommes ici pour affaires, mais notre “client” estimait qu'il valait mieux qu'on se fonde dans la foule..."
6,"TEXT_FESEST2021ADDPUBENPC_00713_UTATA_000_007","Au final, on s'est tous pris au jeu des festivités<hex:021D0103>! Oh, et puis tout le monde a besoin de souffler un coup et de se changer les idées de temps en temps<hex:021D0103>!"
7,"TEXT_FESEST2021ADDPUBENPC_00713_LEOFARD_000_008","C'est vrai que la paie était fichtrement bonne, on ne va pas cracher dans la soupe non plus... Allez, à la revoyure, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>!"
8,"TEXT_FESEST2021ADDPUBENPC_00713_LEOFARD_000_009","Tssk... Je vais devoir porter ce truc encore longtemps<hex:021D0103>?"
9,"TEXT_FESEST2021ADDPUBENPC_00713_STACIA_000_010","Tant que nos affaires ici ne seront pas terminées. Après tout, c'est notre client qui a insisté pour que nous nous déguisions, avec une jolie pile de gils en prime. Allez Capitaine, on a connu pire que ça<hex:021D0103>!"
10,"TEXT_FESEST2021ADDPUBENPC_00713_UTATA_000_011","Oh, et puis tout le monde a besoin de souffler un coup et de se changer les idées de temps en temps<hex:021D0103>!"
11,"TEXT_FESEST2021ADDPUBENPC_00713_GODBERT_000_015","Ho ho<hex:021D0103>! Si je m'attendais à revoir l'ami<hex:020808E905FF02>e<hex:FF01><hex:03> de mon fiston ici<hex:021D0103>! Le monde est petit<hex:021D0103>! Alors comme ça, on vient chercher des œufs<hex:021D0103>?"
12,"TEXT_FESEST2021ADDPUBENPC_00713_GODBERT_000_016","Si seulement mon petit Hildoudou était dans les parages, on pourrait profiter de cet adorable festival en famille, mais bon... Ça fait un moment que je n'ai pas eu de ses nouvelles... Où diable est-il donc parti cette fois<hex:021D0103>?"
13,"TEXT_FESEST2021ADDPUBENPC_00713_JULYAN_000_017","Rhaaa<hex:021D0103>! Mon Hildinounet... Où se cache-t-il donc<hex:021D0103>? Toi, si jamais tu le croises, dis-lui que son papa et sa maman se font un sang d'encre pour lui<hex:021D0103>!"
14,"TEXT_FESEST2021ADDPUBENPC_00713_GODBERT_000_018","Si seulement mon fiston adoré était dans les parages, on pourrait profiter de ce merveilleux festival en famille, mais bon... Ça fait un moment que je n'ai pas eu de ses nouvelles... Où diable est-il donc parti cette fois<hex:021D0103>?"
15,"TEXT_FESEST2021ADDPUBENPC_00713_JULYAN_000_019","Rhaaa<hex:021D0103>! Mon Hildinounet... Où se cache-t-il donc<hex:021D0103>?"
16,"TEXT_FESEST2021ADDPUBENPC_00713_EDITHA_000_025","Ooooh<hex:021D0103>! Mais c'est <hex:02080CE905FF03>ma<hex:FF04>mon<hex:03> garde du corps préféré<hex:020808E905FF02>e<hex:FF01><hex:03><hex:021D0103>! Vous êtes venu<hex:020808E905FF02>e<hex:FF01><hex:03> chasser<hex:021D0103>?"
17,"TEXT_FESEST2021ADDPUBENPC_00713_LASSENCHOU_000_026","Les repré<hex:02160103>sen<hex:02160103>ta<hex:02160103>tions à l'amphithéâtre de Mih Khetto sont repoussées jusqu'à la fin des festivités, mais soyez certain<hex:020808E905FF02>e<hex:FF01><hex:03> que notre étoile montante du clavecin attire toujours autant les foules<hex:021D0103>!"
18,"TEXT_FESEST2021ADDPUBENPC_00713_LASSENCHOU_000_027","Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment vous savez que la notoriété a un prix... Par chance, avec ces costumes, aucun risque qu'on ne reconnaisse ma<hex:02160103>de<hex:02160103>moi<hex:02160103>sel<hex:02160103>le<hex:021D0103>!"
19,"TEXT_FESEST2021ADDPUBENPC_00713_EDITHA_000_028","Ah, il fait trop chaud<hex:021D0103>! Et ça me serre trop<hex:021D0103>! Je voudrais au moins enlever la tête..."
20,"TEXT_FESEST2021ADDPUBENPC_00713_LASSENCHOU_000_029","Mademoiselle, nous n'avons pas de garde du corps, alors il faut que vous gardiez votre costume pour éviter qu'on ne vous reconnaisse<hex:021D0103>!"
21,"TEXT_FESEST2021ADDPUBENPC_00713_EDITHA_000_030","Ah, il fait trop chaud<hex:021D0103>! Et ça me serre trop<hex:021D0103>! Je voudrais au moins enlever la tête..."
22,"TEXT_FESEST2021ADDPUBENPC_00713_SILVAIRRE_000_035","Quoi<hex:021D0103>? Qu'est-ce que vous regardez là<hex:021D0103>? Vous êtes venu<hex:020808E905FF02>e<hex:FF01><hex:03> vous moquer de moi, c'est ça<hex:021D0103>?"
23,"TEXT_FESEST2021ADDPUBENPC_00713_LEIHALIAPOH_000_036","Allons, allons, ne soyez pas aussi grincheux, Silvairre<hex:021D0103>! Nous sommes ici en tant que rrre<hex:02160103>pré<hex:02160103>sen<hex:02160103>tants de la guilde, alors faites au moins semblant de vous amuser<hex:021D0103>!"
24,"TEXT_FESEST2021ADDPUBENPC_00713_SILVAIRRE_000_037","Peuh... Maintenant j'y réfléchirai à deux fois avant d'accepter un boulot..."
