key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_REGUNI5BASEOMICRON_00760_M051_000_000","Unité M-051. Mes systèmes fonctionnent à performance nominale. Veuillez faire part de votre demande de manière claire et concise."
1,"TEXT_REGUNI5BASEOMICRON_00760_Q1_000_000","Sur quoi vous renseignez-vous<hex:021D0103>?"
2,"TEXT_REGUNI5BASEOMICRON_00760_A1_000_001","Votre interlocuteur"
3,"TEXT_REGUNI5BASEOMICRON_00760_A1_000_002","Cet endroit"
4,"TEXT_REGUNI5BASEOMICRON_00760_A1_000_003","Rien en particulier"
5,"TEXT_REGUNI5BASEOMICRON_00760_M051_000_010","Ma dénomination est M-051. Je supervise les ondoliennes qui alimentent cette base en énergie."
6,"TEXT_REGUNI5BASEOMICRON_00760_M051_000_011","Veuillez m'adresser toute demande ou plainte que vous pourriez avoir à leur sujet. Votre requête sera traitée dans les meilleurs délais."
7,"TEXT_REGUNI5BASEOMICRON_00760_M051_000_020","Cette base est un poste avancé parmi d'autres. Il a été établi afin d'affronter des formes de vie différentes, et ainsi atteindre notre objectif<hex:021D0103>: évoluer pour asseoir notre supériorité."
8,"TEXT_REGUNI5BASEOMICRON_00760_M051_000_021","Nous suivons ac<hex:02160103>tu<hex:02160103>el<hex:02160103>le<hex:02160103>ment la dernière directive que l'unité Maître nous a donnée, à savoir consolider nos forces et nos défenses. Nous prions tous nos visiteurs de bien vouloir coopérer en vue de cet objectif."
9,"TEXT_REGUNI5BASEOMICRON_00760_M051_000_022","Nous avons récemment détecté des com<hex:02160103>por<hex:02160103>te<hex:02160103>ments atypiques chez les unités res<hex:02160103>pon<hex:02160103>sa<hex:02160103>bles de cette base. Nous soupçonnons qu'il s'agit de différences dans l'interprétation des directives de l'unité Maître. Ces variations évoquent un concept nommé <hex:021A020203>espoir<hex:021A020103>. Pourquoi, nous ne saurions le dire."
10,"TEXT_REGUNI5BASEOMICRON_00760_TALK_ACTOR","（★未使用／削除予定★）"
