key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CTSMJICROPLAND_00804_TALK_ACTOR","0"
1,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_008_000","Ah, vous voilà<hex:021D0103>! Chamoiselle m'avait prévenu que vous viendriez cer<hex:02160103>tai<hex:02160103>ne<hex:02160103>ment me voir. Voulez-vous préparer le terrain<hex:021D0103>?"
2,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_008_005","D'accord, c'est parti<hex:021D0103>!"
3,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_008_010","D'accord, revenez me voir si vous changez d'avis."
4,"TEXT_CTSMJICROPLAND_00804_SYSTEM_008_000","Voulez-vous débloquer les terres arables<hex:021D0103>?"
5,"TEXT_CTSMJICROPLAND_00804_Q1_008_000","Oui, dégageons un peu tout ça<hex:021D0103>!"
6,"TEXT_CTSMJICROPLAND_00804_Q1_008_005","Non, pas pour le moment."
7,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_009_000","Et voilà, j'ai labouré la terre pour vous<hex:021D0103>! Tenez, je vous offre ces graines pour marquer le coup. N'oubliez pas de les arroser pour obtenir de belles cultures<hex:021D0103>!"
8,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_009_005","Venez me trouver si vous avez des questions."
9,"TEXT_CTSMJICROPLAND_00804_SYSTEM_009_000","Le mode “Semer” est désormais disponible<hex:021D0103>! Utilisez-le pour planter des graines sur vos parcelles vierges."
10,"TEXT_CTSMJICROPLAND_00804_SYSTEM_009_005","（★未使用／削除予定★）"
11,"TEXT_CTSMJICROPLAND_00804_SYSTEM_009_010","Le mode “Arroser” est désormais disponible<hex:021D0103>! Utilisez-le pour arroser vos cultures."
12,"TEXT_CTSMJICROPLAND_00804_SYSTEM_009_015","（★未使用／削除予定★）"
13,"TEXT_CTSMJICROPLAND_00804_SYSTEM_009_020","（★未使用／削除予定★）"
14,"TEXT_CTSMJICROPLAND_00804_SYSTEM_009_025","（★未使用／削除予定★）"
15,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_010_000","Vous pouvez planter les graines que je vous ai offertes sur les terres de l'île."
16,"TEXT_CTSMJICROPLAND_00804_SYSTEM_010_000","Sélectionnez des graines pour les planter sur les parcelles disponibles depuis le mode correspondant."
17,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_011_000","N'oubliez pas d'arroser vos cultures<hex:021D0103>! Elles pousseront après quelque temps."
18,"TEXT_CTSMJICROPLAND_00804_SYSTEM_011_000","Accédez aux parcelles pour les arroser avec le mode correspondant."
19,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_012_000","Vous vous êtes <hex:020820E905FF0E>débrouillée<hex:FF0D>débrouillé<hex:03> à merveille<hex:021D0103>! Si jamais vous obtenez d'autres graines, venez les planter ici."
20,"TEXT_CTSMJICROPLAND_00804_SYSTEM_012_000","Vos cultures pousseront quelque temps après les avoir arrosées, et cesseront de croître si vous ne leur donnez pas d'eau. Elles seront au<hex:02160103>to<hex:02160103>ma<hex:02160103>ti<hex:02160103>que<hex:02160103>ment arrosées les jours de pluie."
21,"TEXT_CTSMJICROPLAND_00804_SYSTEM_012_005","Passez en mode “Collecter” pour ramasser les cultures dont la croissance est terminée ou en mode “Labourer” pour vous en débarrasser."
22,"TEXT_CTSMJICROPLAND_00804_SYSTEM_012_010","（★未使用／削除予定★）"
23,"TEXT_CTSMJICROPLAND_00804_SYSTEM_012_015","（★未使用／削除予定★）"
24,"TEXT_CTSMJICROPLAND_00804_SYSTEM_100_000","Que voulez-vous faire<hex:021D0103>?"
25,"TEXT_CTSMJICROPLAND_00804_SYSTEM_100_005","Que voulez-vous faire<hex:021D0103>?<hex:02100103>L'agrandissement des terres arables sera terminé dans environ <hex:022003E80203>h."
26,"TEXT_CTSMJICROPLAND_00804_Q2_100_000","Voir l'état des champs"
27,"TEXT_CTSMJICROPLAND_00804_Q2_100_005","Agrandir les terres"
28,"TEXT_CTSMJICROPLAND_00804_Q2_100_010","Terminer l'agrandissement des terres"
29,"TEXT_CTSMJICROPLAND_00804_Q2_100_015","S'informer sur les cultivateurs"
30,"TEXT_CTSMJICROPLAND_00804_Q2_100_020","Acheter des graines"
31,"TEXT_CTSMJICROPLAND_00804_Q2_100_025","Parler"
32,"TEXT_CTSMJICROPLAND_00804_Q2_100_030","Rien"
33,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_200_000","Vous savez quoi<hex:021D0103>? À force de travailler ici, nous aussi on s'améliore<hex:021D0103>! Je peux vous proposer d'agrandir les terres arables, si vous voulez<hex:021D0103>!"
34,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_200_005","Et voilà, les terres arables ont été agrandies<hex:021D0103>! Vous pouvez faire pousser plus de cultures, maintenant<hex:021D0103>!"
35,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_300_000","On est devenus encore meilleurs depuis la dernière fois<hex:021D0103>! Je peux vous proposer d'agrandir davantage les terres arables, si vous voulez<hex:021D0103>!"
36,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_300_005","Et voilà, les terres arables ont été agrandies<hex:021D0103>! Vous pouvez faire pousser encore plus de cultures, maintenant<hex:021D0103>!"
37,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_300_010","Maintenant qu'on est plus nombreux sur l'île, on pourra vous aider à vous occuper des cultures<hex:021D0103>! Il nous faudra cependant les outils d'agriculteur adaptés... "
38,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_300_015","Je vais vous dire comment les fabriquer, revenez me voir quand ils seront prêts<hex:021D0103>!"
39,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_300_020","Vu la taille des terres, réunir assez de graines pour exploiter chaque parcelle ne sera pas une mince affaire... Mais vous pouvez compter sur moi<hex:021D0103>!"
40,"TEXT_CTSMJICROPLAND_00804_TAGAYASU_300_025","Je vais en préparer de différents types, venez me trouver s'il vous en faut."
41,"TEXT_CTSMJICROPLAND_00804_SYSTEM_300_000","Vous avez obtenu la recette des outils d'agriculteur taille réduite<hex:021D0103>! N'oubliez pas de les remettre à Rodolfermier lorsque vous les aurez fabriqués."
42,"TEXT_CTSMJICROPLAND_00804_SYSTEM_300_005","La boutique de Rodolfermier est désormais disponible<hex:021D0103>! Vous pouvez lui échanger des assignats insulaires azur contre des graines in<hex:02160103>trou<hex:02160103>va<hex:02160103>bles sur l'île."
43,"TEXT_CTSMJICROPLAND_00804_SYSTEM_400_000","Utiliser <hex:022003E80203> assignats insulaires azur pour agrandir les terres arables<hex:021D0103>?<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>* L'opération prendra environ <hex:022003E80303>h.<hex:02100103>Vous pouvez continuer d'utiliser les terres pendant leur agrandissement.<hex:0249020103><hex:0248020103>"
44,"TEXT_CTSMJICROPLAND_00804_Q3_400_000","Oui, dégageons un peu tout ça<hex:021D0103>!"
