key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_000","Bssshhh... Bssshhh... Cet endroit intéresse <hex:02082AE905FF13>la brave voyageuse<hex:FF12>le brave voyageur<hex:03>, peut-être<hex:021D0103>?"
1,"TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_001","Bssshhh... Bssshhh... Flonichiq est qontente que les suqcesseurs de l'Aurarque aient été décidés<hex:021D0103>! La petite Mobeline est sûre qu'elle va pouvoir faire de nouvelles affaires<hex:021D0103>! Alors, cet endroit intéresse <hex:02082AE905FF13>la brave voyageuse<hex:FF12>le brave voyageur<hex:03><hex:021D0103>?"
2,"TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_002","Bssshhh... Bssshhh... Les voyageurs et les marchands sont tous unis pour faire prospérer le royaume<hex:021D0103>! Ça réjouit Flonichiq<hex:021D0103>! Alors, cet endroit intéresse l'humain<hex:020808E905FF02>e<hex:FF01><hex:03><hex:021D0103>?"
3,"TEXT_REGYOK6MANYFIRES_00874_Q1_000_000","Que voulez-vous savoir<hex:021D0103>?"
4,"TEXT_REGYOK6MANYFIRES_00874_A1_000_001","Que faites-vous ici<hex:021D0103>?"
5,"TEXT_REGYOK6MANYFIRES_00874_A1_000_002","Quel est cet endroit<hex:021D0103>?"
6,"TEXT_REGYOK6MANYFIRES_00874_A1_000_003","Annuler"
7,"TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_010","Flonichiq est chargée de guider les gens qui passent par ici<hex:021D0103>! Elle prend soin des marchands et leur fournit de quoi manger, notamment de la bonne viande grillée<hex:021D0103>!"
8,"TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_011","La gentille Mobeline sait que les humains sont généreux quand on s'oqqupe bien d'eux<hex:021D0103>! Flonichiq aime beauqoup les délicieuses grillades, elle aussi<hex:021D0103>! Bssshhh... miam miam<hex:021D0103>!"
9,"TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_020","Ce relais s'appelle Maints-Feux<hex:021D0103>! C'est ici que passent de nombreux explorateurs et qommerçants venus de tout le Tuliyollal<hex:021D0103>!"
10,"TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_021","Les voyageurs fatigués peuvent se reposer tran<hex:02160103>quil<hex:02160103>le<hex:02160103>ment ici. Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, le grand esqalier est tout qassé... Alors Flonichiq espère qu'il sera réparé très bientôt pour pouvoir faire un délicieux repas autour d'un bon feu aveq tout le monde<hex:021D0103>! Bssshhh..."
