key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_000_000","Salutations, <hex:02082EE905FF16>chère collaboratrice<hex:FF13>cher collaborateur<hex:03> ! Je suis Scanningway, membre du projet d'exploration cosmique. Si d'aventure vous aviez l'intention de nous rejoindre, j'espère pouvoir compter sur votre soutien !"
1,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_000","Salutations, <hex:02082EE905FF16>chère collaboratrice<hex:FF13>cher collaborateur<hex:03> ! Je suis Scanningway, membre du projet d'exploration cosmique."
2,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_010","Mon rôle est de garder une trace des efforts de chaque participant sous forme de données, que je compile ré<hex:02160103>gu<hex:02160103>liè<hex:02160103>re<hex:02160103>ment."
3,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_020","Ceci permet non seulement d'assurer une certaine efficacité du projet dans son ensemble, mais aussi de mesurer au mieux votre con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion et de la récompenser à la hauteur de votre implication."
4,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_030","Par exemple, le ou la volontaire ayant le plus œuvré sur une période donnée se verra attribuer le titre honorifique de “contributeur exemplaire” par les organisateurs."
5,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_035","Si par chance vous êtes l'<hex:020821E905FF0F>heureuse élue<hex:FF0D>heureux élu<hex:03>, vous aurez le privilège de voir votre nom inscrit sur le tableau des con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tions. Ce n'est qu'une modeste recon<hex:02160103>nais<hex:02160103>san<hex:02160103>ce, mais nous espérons ainsi rendre justice aux efforts que vous avez fournis !"
6,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_040","Si vous avez des doutes sur quoi que ce soit, vous devriez trouver vos réponses en consultant votre tablette cosmique !"
7,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_200_000","Merci pour votre soutien envers le projet d'exploration cosmique ! Actuellement, aucune collecte de données n'est en cours."
8,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_000","Merci pour votre soutien envers le projet d'exploration cosmique ! Je suis en train de collecter des données sur la con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion des différents par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pants au projet pour la période en cours."
9,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SYSTEM_300_000","Que voulez-vous faire<hex:021D0103>?"
10,"TEXT_CTSWKSDELEGATIONMEMBER_00927_Q1_300_000","Vérifier votre con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion actuelle"
11,"TEXT_CTSWKSDELEGATIONMEMBER_00927_Q1_300_010","Discuter"
12,"TEXT_CTSWKSDELEGATIONMEMBER_00927_Q1_300_020","Rien en particulier"
13,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_010","Nous ne sommes pour le moment pas en période de collecte de données, je n'ai donc enregistré aucune information concernant votre con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion. Toutes mes excuses."
14,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_020","Vous souhaitez connaître vos données de con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion pour la période en cours ? Bien entendu, laissez-moi un instant... Voilà, j'ai accès aux données !"
15,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_030","Quant à vous, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>... S-sapristi ! Vous êtes ac<hex:02160103>tu<hex:02160103>el<hex:02160103>le<hex:02160103>ment dans le top 10% des meilleurs contributeurs du projet ! Peut-être que ce sera vous, le “contributeur exemplaire” du moment !?"
16,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_040","Quant à vous, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>... Ooooh ! Vous êtes ac<hex:02160103>tu<hex:02160103>el<hex:02160103>le<hex:02160103>ment dans le top 20% des meilleurs contributeurs du projet ! Le titre de “contributeur exemplaire” est à la portée de votre main !"
17,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_050","Quant à vous, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>... Vous vous maintenez dans le top 30% des meilleurs contributeurs du projet. Vos efforts sont tout à fait honorables, continuez comme ça !"
18,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_060","Quant à vous, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>... Vous êtes pile dans la moyenne ! Autrement dit, vous êtes ac<hex:02160103>tu<hex:02160103>el<hex:02160103>le<hex:02160103>ment dans le top 50% des meilleurs contributeurs du projet. Courage, je sais que vous pouvez faire encore mieux !"
19,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_070","Quant à vous, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>... Vous êtes dans le bas du classement, mais vous contribuez ré<hex:02160103>gu<hex:02160103>liè<hex:02160103>re<hex:02160103>ment, à votre rythme. Et c'est très bien comme ça !"
20,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_080","Eh bien, pour le moment, je n'ai aucune donnée concernant votre con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion actuelle. Je compte sur votre soutien continu envers le projet !"
21,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_090","Oh ! Mais vous êtes <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, détent<hex:02080EE905FF05>rice<hex:FF04>eur<hex:03> du titre de “contributeur exemplaire” ! J'espère que vous travaillerez toujours avec autant d'ardeur sur le projet !"
22,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_100","Oh ! Mais vous êtes <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, détent<hex:02080EE905FF05>rice<hex:FF04>eur<hex:03> du titre de “contributeur exemplaire” !"
23,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_110","Permettez-moi de renouveler votre par<hex:02160103>ti<hex:02160103>ci<hex:02160103>pa<hex:02160103>tion au classement pour la période de collecte de données en cours. J'espère que vous travaillerez toujours avec autant d'ardeur sur le projet !"
24,"TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_120","Ah, pardon ! Vous souhaitiez connaître vos données de con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion pour la période en cours, n'est-ce pas ? Bien entendu, laissez-moi un instant... Voilà, j'ai accès aux données !"
