key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_VOICEMAN_04004_000010_ALPHINAUD","Laissez-moi vous présenter le plan d'attaque auquel j'ai pensé. Notre objectif est de conquérir la base où sont stationnées les troupes impériales, à savoir le Château de Doma."
1,"TEXT_VOICEMAN_04004_000020_ALPHINAUD","Pour commencer, les Domiens et toi allez provoquer des émeutes à différents endroits afin d'attirer l'attention des Impériaux."
2,"TEXT_VOICEMAN_04004_000030_ALPHINAUD","Au même moment, les Ao Ra de la Steppe d'Azim encercleront le château à l'aide de leurs créatures ailées."
3,"TEXT_VOICEMAN_04004_000040_ALPHINAUD","En prenant le contrôle des cieux, ils pourront non seulement prévenir toute tentative de fuite par la voie aérienne, mais aussi nous protéger d'éventuelles attaques d'engins volants."
4,"TEXT_VOICEMAN_04004_000050_ALPHINAUD","Profitant de la panique, les ninja de Doma, Alisaie et moi-même nous infiltrerons par les portes lune de Dairyu, et ferons tout notre possible pour désactiver les générateurs de bouclier magitek."
5,"TEXT_VOICEMAN_04004_000060_ALPHINAUD","Une fois le champ de force dissipé, nous pourrons alors nous approcher du château par la voie fluviale. C'est là qu'interviendront les pirates de la Confédération et les Kojin."
6,"TEXT_VOICEMAN_04004_000070_ALPHINAUD","Ils procèderont à des tirs d'artillerie coordonnés, et se dirigeront vers la rive ouest de la Muni."
7,"TEXT_VOICEMAN_04004_000080_LYSE","La rive ouest<hex:021D0103>? Ils ne vont pas attaquer directement le château<hex:021D0103>!?"
8,"TEXT_VOICEMAN_04004_000090_ALPHINAUD","De nombreux civils vivent dans la ville qui entoure la forteresse."
9,"TEXT_VOICEMAN_04004_000100_ALPHINAUD","Les Impériaux risquent de prendre des otages pour se protéger. Je préfère donc que les pirates et les Kojin assurent la protection de ces gens pour que nous puissions poursuivre notre offensive sans les mettre en péril."
10,"TEXT_VOICEMAN_04004_000110_ALPHINAUD","Lorsque ces districts auront été sécurisés, nous lancerons l'assaut sur le Château de Doma. J'aimerais confier cette mission à l'armée rebelle du seigneur Hien ainsi qu'à votre escouade d'aventuriers."
11,"TEXT_VOICEMAN_04004_000120_ALPHINAUD","Dès que nous aurons percé leurs lignes, la priorité sera donnée à l'élimination de la vice-gouverneure Yotsuyu. Sans leur chef pour les diriger, les troupes impériales agiront de façon désordonnée, ce qui nous permettra de les avoir plus facilement. Ensemble, nous libérerons Doma<hex:021D0103>!"
12,"TEXT_VOICEMAN_04004_000130_ALPHINAUD","Y a-t-il quelque chose qui vous tracasse, seigneur Hien<hex:021D0103>? Si jamais vous trouvez que mon plan d'attaque manque de cohérence, n'hésitez pas à me le dire."
13,"TEXT_VOICEMAN_04004_000140_HIEN","Au contraire, je trouve votre approche excellente. Vous faites preuve d'un talent digne d'un stratège militaire."
14,"TEXT_VOICEMAN_04004_000150_HIEN","Nous allons mettre en œuvre le plan proposé par Alphinaud. Que tout le monde se prépare au plus vite<hex:021D0103>! Le temps joue contre nous<hex:021D0103>!"
15,"TEXT_VOICEMAN_04004_000160_ALISAIE","L'émissaire des Verts est arrivé."
16,"TEXT_VOICEMAN_04004_000170_SOROBAN","Bonjouuuur<hex:021D0103>! J'ai été désigné par notre vénérable ancien pour représenter mon peuuuuple<hex:021D0103>!"
17,"TEXT_VOICEMAN_04004_000180_LYSE","Soroban<hex:021D0103>!? Ça me fait trop plaisir de te revoir<hex:021D0103>!"
18,"TEXT_VOICEMAN_04004_000190_HIEN","Alphinaud, si ça ne vous dérange pas, j'aimerais vérifier quelque chose auprès de notre ami kojin."
19,"TEXT_VOICEMAN_04004_000200_HIEN","Merci d'avoir fait le déplacement jusqu'ici, Soroban. Je pense que tu as déjà con<hex:02160103>nais<hex:02160103>san<hex:02160103>ce de notre plan, et j'ai justement une question à te poser à ce sujet."
20,"TEXT_VOICEMAN_04004_000210_HIEN","Peu importe le moyen, je veux savoir si tes camarades et toi pourriez détruire la partie immergée des remparts du château."
21,"TEXT_VOICEMAN_04004_000220_SOROBAN","Oui, ça doit être possiiiible... Avec des explosifs et nos incantations, nous devrions pouvoir les réduire en mieeeettes..."
22,"TEXT_VOICEMAN_04004_000230_HIEN","Parfait. Dans ce cas-là, je souhaiterais apporter une modification à notre stratégie initiale."
23,"TEXT_VOICEMAN_04004_000240_HIEN","Je voudrais que les Kojin et les pirates de la Confédération agissent séparément."
24,"TEXT_VOICEMAN_04004_000250_HIEN","Dès que l'opération commencera, les Kojin remonteront la Muni pour s'approcher des remparts sous l'eau, et ils les détruiront de façon à inonder le château."
25,"TEXT_VOICEMAN_04004_000260_GOSETSU","Mon Seigneur<hex:021D0103>! Le château est certes aux mains de l'ennemi, mais il n'en reste pas moins un symbole important de notre pays. Notre devoir est de le protéger, et non pas de le transformer en baignoire<hex:021D0103>!"
26,"TEXT_VOICEMAN_04004_000270_HIEN","“Qui veut la fin, veut les moyens”. Cette méthode est certes brutale, mais elle présente deux avantages<hex:021D0103>: le premier, c'est de neutraliser une grande partie des troupes impériales stationnées dans le palais<hex:021D0103>; le deuxième, c'est de limiter les possibilités de fuite pour Yotsuyu, qui ne pourra trouver refuge qu'au sommet de la tour centrale."
27,"TEXT_VOICEMAN_04004_000280_GOSETSU","Êtes-vous certain de vouloir aller jusque-là<hex:021D0103>? Vous n'êtes pas sans savoir que votre père était très attaché à cet édifice, et je sais que vous l'êtes aussi."
28,"TEXT_VOICEMAN_04004_000290_HIEN","Doma n'est rien sans ses habitants. Même si nous perdons notre château dans la bataille, nous pourrons toujours le reconstruire plus tard."
29,"TEXT_VOICEMAN_04004_000300_HIEN","Si je dois le submerger afin d'obtenir la victoire et d'assurer la survie de mes sujets, alors je le ferai sans hésiter<hex:021D0103>!"
30,"TEXT_VOICEMAN_04004_000310_ALPHINAUD","Votre décision semble mûrement réfléchie. Je ne vois par conséquent aucune raison de m'y opposer. Courage, mes amis<hex:021D0103>! La bataille sera longue et difficile, mais nous la gagnerons<hex:021D0103>!"
31,"TEXT_VOICEMAN_04004_000320_SOROBAN","J'ai bien pris note de votre souhaiiiit. Vous pouvez compter sur ma tribu pour vous assister dans votre combaaaat. Je vais im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment faire un rapport au vénérable ancien et organiser les troupes en vue du sièèèège."
32,"TEXT_VOICEMAN_04004_000330_HIEN","Désormais, tous les pions sont en place sur l'échiquier. Nous passerons à l'offensive aussitôt que les Kojin nous donneront le signal. Tenez-vous prêts<hex:021D0103>!"
33,"TEXT_VOICEMAN_04004_000340_LYSE","Tiens, tu es encore debout<hex:021D0103>? Les villageois m'ont dit d'aller me coucher, car je dois être au mieux de ma forme demain."
34,"TEXT_VOICEMAN_04004_000350_LYSE","Nous sommes à l'aube d'un terrible af<hex:02160103>fron<hex:02160103>te<hex:02160103>ment... Je suis très tendue, mais j'ai aussi hâte que ça commence. C'est une drôle de sensation."
