key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_DUNGEONDEEPDUNGEON2_00000_KYUSEI_000_000","(-Homme en habit traditionnel-)Les dix premiers étages n'ont pas posé le moindre problème à notre <hex:020821E905FF0F>vaillante amie<hex:FF0D>vaillant ami<hex:03>. Ou bien devrais-je dire “<hex:020822E905FF11>à la Guerrière<hex:FF0C>au Guerrier<hex:03> de la Lumière”<hex:021D0103>?"
1,"TEXT_DUNGEONDEEPDUNGEON2_00000_KYUSEI_000_001","(-Homme en habit traditionnel-)Après tout, n'est-<hex:02080DE905FF05>elle<hex:FF03>il<hex:03> pas <hex:02081BE905FF0C>l'héroïne<hex:FF0A>le héros<hex:03> de tous les Éorzéens<hex:021D0103>? <hex:020816E905FF09>La seule<hex:FF08>Le seul<hex:03> qui a réussi à triompher du redoutable loup noir..."
2,"TEXT_DUNGEONDEEPDUNGEON2_00000_RASHO_000_002","Je ne savais pas que tu étais au fait de ce qui se trame à l'Ouest. Jusqu'où s'étend l'influence de ton or<hex:02160103>ga<hex:02160103>ni<hex:02160103>sa<hex:02160103>tion, au juste<hex:021D0103>?"
3,"TEXT_DUNGEONDEEPDUNGEON2_00000_RASHO_000_003","Hmph, tu fais bien trop de secrets à mon goût. Bah, comme tu veux."
4,"TEXT_DUNGEONDEEPDUNGEON2_00000_KYUSEI_000_004","(-Homme en habit traditionnel-)J'ai hâte de voir de quoi notre “<hex:020816E905FF0A>héroïne<hex:FF07>héros<hex:03>” est vraiment capable..."
5,"TEXT_DUNGEONDEEPDUNGEON2_00000_KYUSEI_000_010","(-Homme en habit traditionnel-)Notre <hex:020818E905FF0A>candidate<hex:FF09>candidat<hex:03> vient de franchir le vingtième étage, et ce n'est qu'une question de temps avant qu'<hex:02080DE905FF05>elle<hex:FF03>il<hex:03> arrive pour t'affronter. Je te conseille de..."
6,"TEXT_DUNGEONDEEPDUNGEON2_00000_KYUSEI_000_011","(-Homme en habit traditionnel-)Je t'ai mis en colère<hex:021D0103>? Bien sûr, tu n'as nullement besoin qu'on te rappelle ce que tu dois faire, après toutes ces années..."
