key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_OPENINGGRIDANIA_BERTENNANT_000_01","Hé, toi<hex:021D0103>! Par ici<hex:021D0103>!"
1,"TEXT_OPENINGGRIDANIA_BERTENNANT_000_02","Dis donc<hex:021D0103>! Où tu vas<hex:021D0103>? Je t'ai dit de venir ici, tu n'as pas entendu<hex:021D0103>?"
2,"TEXT_OPENINGGRIDANIA_ULTA_000_03","Il faut que tu ailles parler à Miounne, aux Feuilles de carline, l'ami<hex:020808E905FF02>e<hex:FF01><hex:03><hex:021D0103>!"
3,"TEXT_OPENINGGRIDANIA_CAPUCINE_000_05","Tu es <hex:020816E905FF09>nouvelle<hex:FF08>nouveau<hex:03> ici, pas vrai<hex:021D0103>? Va parler à Miounne, aux Feuilles de carline<hex:021D0103>! Elle pourrait t'aiguiller et t'apprendre plein de choses sur la ville. Maintenant que tu es chez nous, il faut te plier à nos coutumes, tu comprends<hex:021D0103>?"
4,"TEXT_OPENINGGRIDANIA_ADALHARD_000_10","Hé, toi<hex:021D0103>! Avant toute chose, tu dois aller saluer Miounne. Tout le monde le fait en arrivant dans cette ville<hex:021D0103>!"
5,"TEXT_OPENINGGRIDANIA_BERTENNANT_000_15","Hum, ta tête ne me dit rien... Un<hex:020808E905FF02>e<hex:FF01><hex:03> nouvel<hex:020809E905FF03>le<hex:FF01><hex:03> aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03>, je me trompe<hex:021D0103>?"
6,"TEXT_OPENINGGRIDANIA_BERTENNANT_000_16","Je fais partie des gardes de la ville, les vigiles sombres. Je vais t'expliquer où aller, viens voir<hex:021D0103>!"
7,"TEXT_OPENINGGRIDANIA_FST_SYSTEM_000_20","Le tutoriel de base du jeu va commencer."
8,"TEXT_OPENINGGRIDANIA_FST_SYSTEM_000_21","Regardez les ex<hex:02160103>pli<hex:02160103>ca<hex:02160103>tions sur les commandes de base et essayez de faire bouger votre personnage."
9,"TEXT_OPENINGGRIDANIA_FST_SYSTEM_000_22","Lorsque vous maîtriserez les déplacements, allez parler à Bertennant qui vous attend tout près."
10,"TEXT_OPENINGGRIDANIA_FST_SYSTEM_000_23","Veuillez choisir votre mode de jeu."
11,"TEXT_OPENINGGRIDANIA_FST_SYSTEM_Q_01","Quel mode utilisez-vous prin<hex:02160103>ci<hex:02160103>pa<hex:02160103>le<hex:02160103>ment<hex:021D0103>?"
12,"TEXT_OPENINGGRIDANIA_FST_SYSTEM_A_01","Jeu à la souris et au clavier"
13,"TEXT_OPENINGGRIDANIA_FST_SYSTEM_A_02","Jeu à la manette"
