key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CLSALC001_00190_SEQ_00",""
1,"TEXT_CLSALC001_00190_SEQ_01",""
2,"TEXT_CLSALC001_00190_SEQ_02",""
3,"TEXT_CLSALC001_00190_SEQ_03",""
4,"TEXT_CLSALC001_00190_SEQ_04",""
5,"TEXT_CLSALC001_00190_SEQ_05",""
6,"TEXT_CLSALC001_00190_SEQ_06",""
7,"TEXT_CLSALC001_00190_SEQ_07",""
8,"TEXT_CLSALC001_00190_SEQ_08",""
9,"TEXT_CLSALC001_00190_SEQ_09",""
10,"TEXT_CLSALC001_00190_SEQ_10",""
11,"TEXT_CLSALC001_00190_SEQ_11",""
12,"TEXT_CLSALC001_00190_SEQ_12",""
13,"TEXT_CLSALC001_00190_SEQ_13",""
14,"TEXT_CLSALC001_00190_SEQ_14",""
15,"TEXT_CLSALC001_00190_SEQ_15",""
16,"TEXT_CLSALC001_00190_SEQ_16",""
17,"TEXT_CLSALC001_00190_SEQ_17",""
18,"TEXT_CLSALC001_00190_SEQ_18",""
19,"TEXT_CLSALC001_00190_SEQ_19",""
20,"TEXT_CLSALC001_00190_SEQ_20",""
21,"TEXT_CLSALC001_00190_SEQ_21",""
22,"TEXT_CLSALC001_00190_SEQ_22",""
23,"TEXT_CLSALC001_00190_SEQ_23",""
24,"TEXT_CLSALC001_00190_TODO_00",""
25,"TEXT_CLSALC001_00190_TODO_01",""
26,"TEXT_CLSALC001_00190_TODO_02",""
27,"TEXT_CLSALC001_00190_TODO_03",""
28,"TEXT_CLSALC001_00190_TODO_04",""
29,"TEXT_CLSALC001_00190_TODO_05",""
30,"TEXT_CLSALC001_00190_TODO_06",""
31,"TEXT_CLSALC001_00190_TODO_07",""
32,"TEXT_CLSALC001_00190_TODO_08",""
33,"TEXT_CLSALC001_00190_TODO_09",""
34,"TEXT_CLSALC001_00190_TODO_10",""
35,"TEXT_CLSALC001_00190_TODO_11",""
36,"TEXT_CLSALC001_00190_TODO_12",""
37,"TEXT_CLSALC001_00190_TODO_13",""
38,"TEXT_CLSALC001_00190_TODO_14",""
39,"TEXT_CLSALC001_00190_TODO_15",""
40,"TEXT_CLSALC001_00190_TODO_16",""
41,"TEXT_CLSALC001_00190_TODO_17",""
42,"TEXT_CLSALC001_00190_TODO_18",""
43,"TEXT_CLSALC001_00190_TODO_19",""
44,"TEXT_CLSALC001_00190_TODO_20",""
45,"TEXT_CLSALC001_00190_TODO_21",""
46,"TEXT_CLSALC001_00190_TODO_22",""
47,"TEXT_CLSALC001_00190_TODO_23",""
48,"TEXT_CLSALC001_00190_DEITRICH_000","Ah, un<hex:020808E905FF02>e<hex:FF01><hex:03> aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03><hex:021D0103>! J'adore les gens comme vous. La curiosité dévorante qui vous caractérise n'est pas sans me rappeler l'insatiable soif de savoir de nos membres. Bienvenue à la guilde des alchimistes<hex:021D0103>!"
49,"TEXT_CLSALC001_00190_DEITRICH_001","Les gens ont tendance à réduire l'alchimie à la simple concoction de potions et d'élixirs, mais notre champ d'expertise va bien au-delà. En plus des remèdes guérissant blessures et maladies, bénignes comme graves, nos alchimistes les plus éminents peuvent fabriquer de remarquables toniques capables d'améliorer les capacités physiques et mentales de ceux qui les boivent."
50,"TEXT_CLSALC001_00190_DEITRICH_002","Un<hex:020808E905FF02>e<hex:FF01><hex:03> <hex:020811E905FF06>femme<hex:FF06>homme<hex:03> de votre profession comprend sûrement tous les avantages que nos produits ont à lui offrir, je me trompe<hex:021D0103>? Et puisque l'on n'est jamais mieux servi que par soi-même, pourquoi ne pas apprendre l'art de l'alchimie<hex:021D0103>?"
51,"TEXT_CLSALC001_00190_Q1_1","Voulez-vous rejoindre la guilde des alchimistes<hex:021D0103>?"
52,"TEXT_CLSALC001_00190_A1_1","Oui"
53,"TEXT_CLSALC001_00190_A1_2","Non"
54,"TEXT_CLSALC001_00190_DEITRICH_010","C-comment<hex:021D0103>!? Vous refusez de nous rejoindre malgré tous les bénéfices que notre savoir pourrait vous apporter<hex:021D0103>? Mes ex<hex:02160103>pli<hex:02160103>ca<hex:02160103>tions étaient pourtant convaincantes<hex:021D0103>! Vous... vous avez peut-être entendu parler de notre maître de guilde, alors...<hex:021D0103>?"
55,"TEXT_CLSALC001_00190_DEITRICH_011","Ce... Ce n'est pas grave. Si vous n'êtes pas intéressé<hex:020808E905FF02>e<hex:FF01><hex:03>, il vaut mieux pour vous, comme pour moi, que vous abandonniez. Ce serait une perte de temps pour tout le monde."
56,"TEXT_CLSALC001_00190_DEITRICH_020","Vraiment<hex:021D0103>? Excellent<hex:021D0103>! Alors commençons par... Oh. J'ai peur de m'être laissé emporter par mon enthousiasme et le vôtre."
57,"TEXT_CLSALC001_00190_DEITRICH_021","J'aurais dû d'abord vérifier que vous aviez la permission de votre maître de guilde, ce qui n'est pas, semble-t-il, le cas. Toutes mes excuses. N'hésitez pas à revenir lorsque vous l'aurez obtenue<hex:021D0103>!"
58,"TEXT_CLSALC001_00190_SYS_022","Il faut avoir atteint le niveau 10 dans sa classe de départ avant de pouvoir apprendre une nouvelle discipline."
59,"TEXT_CLSALC001_00190_DEITRICH_030","Excellent<hex:021D0103>! Avant de commencer les formalités d'inscription, j'aimerais vous raconter brièvement l'histoire de notre guilde."
60,"TEXT_CLSALC001_00190_DEITRICH_031","Aujourd'hui, on nous connaît surtout comme des “faiseurs de potions”, mais notre profession trouve sa source dans un rêve irréalisé."
61,"TEXT_CLSALC001_00190_DEITRICH_032","Notre art est né du désir de transformer les métaux vils en métaux précieux, plus par<hex:02160103>ti<hex:02160103>cu<hex:02160103>liè<hex:02160103>rement l'or et l'argent. Le moyen d'y parvenir résidait, pensait-on, dans la découverte de la pierre philosophale. Ce composant mystique serait également une panacée, qui pourrait même selon certains conférer la vie éternelle."
62,"TEXT_CLSALC001_00190_DEITRICH_033","Bien que son secret nous échappe encore, des siècles de recherches infructueuses ont eu comme conséquence involontaire d'élargir nos con<hex:02160103>nais<hex:02160103>san<hex:02160103>ces médicales."
63,"TEXT_CLSALC001_00190_DEITRICH_034","Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, les profanes ont une fâcheuse tendance à se méfier des sciences nouvelles, et les gens qualifièrent tout d'abord l'alchimie d'hérésie et la rejetèrent, alors qu'elle avait le potentiel d'améliorer leur vie<hex:021D0103>!"
64,"TEXT_CLSALC001_00190_DEITRICH_035","Cependant, elle gagna ses lettres de noblesse à Ul'dah grâce aux efforts de l'Académie médicale de Frondale, qui l'intégra progressivement aux techniques de la médecine tra<hex:02160103>di<hex:02160103>tion<hex:02160103>nel<hex:02160103>le. L'institut devint rapidement réputé pour former les meilleurs praticiens d'Éorzéa."
