key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_MANSEA009_00545_SEQ_00","Baderon a quelques conseils à vous donner au sujet du grand banquet."
1,"TEXT_MANSEA009_00545_SEQ_01","Le grand banquet est sur le point de commencer. Mettez <hex:02330DFF05>Item<hex:03F20EB0020203> que Baderon vous a donnée et parlez à Zanthael, au pont de l'amirauté.<hex:02100103>Si vous avez égaré cet objet, vous pouvez demander à J'nasshym de vous en donner un autre exemplaire."
2,"TEXT_MANSEA009_00545_SEQ_02","L'Amirale vous a raconté que, jadis, des braves surnommés les Guerriers de la Lumière se sont battus pour sauver Éorzéa lors de la bataille de Carteneau. Vous avez eu une vision par<hex:02160103>ti<hex:02160103>cu<hex:02160103>liè<hex:02160103>rement réaliste de leur combat... avant de perdre con<hex:02160103>nais<hex:02160103>san<hex:02160103>ce. À votre réveil, Baderon vous a dit que Merlwyb souhaitait s'entretenir avec vous. Rendez-vous sans attendre au pont de l'amirauté et demandez à Zanthael de vous conduire dans les quartiers de l'Amirale."
3,"TEXT_MANSEA009_00545_SEQ_03","L'amirale Bloefhiswyn vous a dit qu'elle avait quelque chose d'important à vous demander. Peut-être s'agit-il d'une nouvelle mission<hex:021D0103>? Parlez-lui pour en avoir le cœur net."
4,"TEXT_MANSEA009_00545_SEQ_04",""
5,"TEXT_MANSEA009_00545_SEQ_05",""
6,"TEXT_MANSEA009_00545_SEQ_06",""
7,"TEXT_MANSEA009_00545_SEQ_07",""
8,"TEXT_MANSEA009_00545_SEQ_08",""
9,"TEXT_MANSEA009_00545_SEQ_09",""
10,"TEXT_MANSEA009_00545_SEQ_10",""
11,"TEXT_MANSEA009_00545_SEQ_11",""
12,"TEXT_MANSEA009_00545_SEQ_12",""
13,"TEXT_MANSEA009_00545_SEQ_13",""
14,"TEXT_MANSEA009_00545_SEQ_14",""
15,"TEXT_MANSEA009_00545_SEQ_15",""
16,"TEXT_MANSEA009_00545_SEQ_16",""
17,"TEXT_MANSEA009_00545_SEQ_17",""
18,"TEXT_MANSEA009_00545_SEQ_18",""
19,"TEXT_MANSEA009_00545_SEQ_19",""
20,"TEXT_MANSEA009_00545_SEQ_20",""
21,"TEXT_MANSEA009_00545_SEQ_21",""
22,"TEXT_MANSEA009_00545_SEQ_22",""
23,"TEXT_MANSEA009_00545_SEQ_23",""
24,"TEXT_MANSEA009_00545_TODO_00","Mettre <hex:02330DFF05>Item<hex:03F20EB0020203> et parler à Zanthael"
25,"TEXT_MANSEA009_00545_TODO_01","Aller au pont de l'amirauté et parler à Merlwyb"
26,"TEXT_MANSEA009_00545_TODO_02",""
27,"TEXT_MANSEA009_00545_TODO_03",""
28,"TEXT_MANSEA009_00545_TODO_04",""
29,"TEXT_MANSEA009_00545_TODO_05",""
30,"TEXT_MANSEA009_00545_TODO_06",""
31,"TEXT_MANSEA009_00545_TODO_07",""
32,"TEXT_MANSEA009_00545_TODO_08",""
33,"TEXT_MANSEA009_00545_TODO_09",""
34,"TEXT_MANSEA009_00545_TODO_10",""
35,"TEXT_MANSEA009_00545_TODO_11",""
36,"TEXT_MANSEA009_00545_TODO_12",""
37,"TEXT_MANSEA009_00545_TODO_13",""
38,"TEXT_MANSEA009_00545_TODO_14",""
39,"TEXT_MANSEA009_00545_TODO_15",""
40,"TEXT_MANSEA009_00545_TODO_16",""
41,"TEXT_MANSEA009_00545_TODO_17",""
42,"TEXT_MANSEA009_00545_TODO_18",""
43,"TEXT_MANSEA009_00545_TODO_19",""
44,"TEXT_MANSEA009_00545_TODO_20",""
45,"TEXT_MANSEA009_00545_TODO_21",""
46,"TEXT_MANSEA009_00545_TODO_22",""
47,"TEXT_MANSEA009_00545_TODO_23",""
48,"TEXT_MANSEA009_00545_BADERON_000_1","Il va falloir s'activer, le banquet est sur le point de commencer<hex:021D0103>!"
49,"TEXT_MANSEA009_00545_BADERON_000_2","T'as bien pensé à mettre tes chaussures, j'espère<hex:021D0103>? J'ai dû faire des pieds et des mains pour les avoir, alors t'as pas intérêt à les laisser croupir dans ton sac<hex:021D0103>!"
50,"TEXT_MANSEA009_00545_BADERON_000_3","Le banquet se tiendra dans la salle de briefing du pont de l'amirauté."
51,"TEXT_MANSEA009_00545_BADERON_000_4","Va au Bastingage et parle à Zanthael, il t'expliquera comment y accéder."
52,"TEXT_MANSEA009_00545_BADERON_000_5","Te fais pas de bile, tout se passera bien. T'es <hex:02081BE905FF0C>l'héroïne<hex:FF0A>le héros<hex:03> qui a sauvé notre nation, tu peux y aller la tête haute et le cœur léger."
53,"TEXT_MANSEA009_00545_ZANTHAEL_000_10","<hex:020824E905FF11>Une aventurière<hex:FF0E>Un aventurier<hex:03> avec des chaussures de soirée... <hex:020824E905FF11>Une aventurière<hex:FF0E>Un aventurier<hex:03> avec des chaussures de soirée... <hex:020824E905FF11>Une aventurière<hex:FF0E>Un aventurier<hex:03> avec des chaussures de soirée..."
54,"TEXT_MANSEA009_00545_ZANTHAEL_000_11","Raaah<hex:021D0103>! J'en ai marre de regarder les pieds de tous ceux qui passent<hex:021D0103>! Baderon aurait pu me donner des indications plus claires, quand même<hex:021D0103>!"
55,"TEXT_MANSEA009_00545_ZANTHAEL_000_12","Hein<hex:021D0103>? C'est toi l'invité<hex:020808E905FF02>e<hex:FF01><hex:03> d'honneur de l'Amirale, tu dis<hex:021D0103>!? Excuse-moi, mais il est hors de question que je te laisse entrer dans cette tenue. Retire ces grolles cradingues et enfile les chaussures qu'on t'a données."
56,"TEXT_MANSEA009_00545_ZANTHAEL_000_13","Ah, te voilà<hex:021D0103>! Je vois que tu as mis tes beaux souliers. C'est parfait<hex:021D0103>! Suis-moi, je vais te conduire à la salle de briefing."
57,"TEXT_MANSEA009_00545_000010_MERLWYB","Fier peuple de la mer<hex:021D0103>!"
58,"TEXT_MANSEA009_00545_000020_MERLWYB","Cet<hex:020809E905FF03>te<hex:FF01><hex:03> aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03> a fait preuve d'une bravoure exemplaire pour défendre Limsa Lominsa<hex:021D0103>!"
59,"TEXT_MANSEA009_00545_000030_MERLWYB","Que Llymlaen offre sa bénédiction <hex:02081EE905FF0F>à l'héroïne<hex:FF0A>au héros<hex:03> de notre nation<hex:021D0103>!"
60,"TEXT_MANSEA009_00545_000040_MERLWYB","Les individus au visage tatoué que tu as vus appartiennent aux pillards du serpent, une bande de vauriens qui a juré fidélité à Léviathan."
61,"TEXT_MANSEA009_00545_000050_MERLWYB","C'est eux qui kidnappaient nos concitoyens. Ils cherchaient à les asservir à la cause du Primordial pour accroître le nombre de ses fidèles."
62,"TEXT_MANSEA009_00545_000060_MERLWYB","Le conflit qui oppose les Limséens aux Sahuagins dure depuis des années. Voir ces pirates à la botte de notre ennemi juré me débecte..."
63,"TEXT_MANSEA009_00545_000070_MERLWYB","Enfin, grâce à toi, nous avons pu lever le voile sur leurs agissements. Et pour cela, je te remercie."
