key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_SUBSEA910_00701_SEQ_00","R'ashaht Rhiki veut vous expliquer comment obtenir votre chocobo personnel."
1,"TEXT_SUBSEA910_00701_SEQ_01","La colonelle Rhiki vous a dit que pour obtenir votre chocobo personnel, vous deviez d'abord acquérir <hex:02330DFF05>Item<hex:02F21781020203> en échange de sceaux de compagnie auprès de l'officier de la logistique, puis remettre ce document à la palefrenière Fraegeim. Vérifiez que vous avez assez de sceaux et passez à la caisse."
2,"TEXT_SUBSEA910_00701_SEQ_02","Fraegeim vous a présenté votre nouvelle monture. À présent, vous devez lui choisir un nom pour créer un lien intime entre vous deux."
3,"TEXT_SUBSEA910_00701_SEQ_03","Vous avez nommé votre chocobo “<hex:022903EB3803>”. Reparlez à Fraegeim."
4,"TEXT_SUBSEA910_00701_SEQ_04","Fraegeim vous a remis un sifflet ainsi qu'un permis de chocobo. Maintenant que tout est en ordre, il ne vous reste plus qu'à chevaucher votre fidèle compagnon à plumes et partir ensemble à l'aventure<hex:021D0103>!"
5,"TEXT_SUBSEA910_00701_SEQ_05",""
6,"TEXT_SUBSEA910_00701_SEQ_06",""
7,"TEXT_SUBSEA910_00701_SEQ_07",""
8,"TEXT_SUBSEA910_00701_SEQ_08",""
9,"TEXT_SUBSEA910_00701_SEQ_09",""
10,"TEXT_SUBSEA910_00701_SEQ_10",""
11,"TEXT_SUBSEA910_00701_SEQ_11",""
12,"TEXT_SUBSEA910_00701_SEQ_12",""
13,"TEXT_SUBSEA910_00701_SEQ_13",""
14,"TEXT_SUBSEA910_00701_SEQ_14",""
15,"TEXT_SUBSEA910_00701_SEQ_15",""
16,"TEXT_SUBSEA910_00701_SEQ_16",""
17,"TEXT_SUBSEA910_00701_SEQ_17",""
18,"TEXT_SUBSEA910_00701_SEQ_18",""
19,"TEXT_SUBSEA910_00701_SEQ_19",""
20,"TEXT_SUBSEA910_00701_SEQ_20",""
21,"TEXT_SUBSEA910_00701_SEQ_21",""
22,"TEXT_SUBSEA910_00701_SEQ_22",""
23,"TEXT_SUBSEA910_00701_SEQ_23",""
24,"TEXT_SUBSEA910_00701_TODO_00","Remettre <hex:02330DFF05>Item<hex:02F21781020203> à Fraegeim"
25,"TEXT_SUBSEA910_00701_TODO_01","Donner un nom à votre chocobo"
26,"TEXT_SUBSEA910_00701_TODO_02","Parler à Fraegeim"
27,"TEXT_SUBSEA910_00701_TODO_03",""
28,"TEXT_SUBSEA910_00701_TODO_04",""
29,"TEXT_SUBSEA910_00701_TODO_05",""
30,"TEXT_SUBSEA910_00701_TODO_06",""
31,"TEXT_SUBSEA910_00701_TODO_07",""
32,"TEXT_SUBSEA910_00701_TODO_08",""
33,"TEXT_SUBSEA910_00701_TODO_09",""
34,"TEXT_SUBSEA910_00701_TODO_10",""
35,"TEXT_SUBSEA910_00701_TODO_11",""
36,"TEXT_SUBSEA910_00701_TODO_12",""
37,"TEXT_SUBSEA910_00701_TODO_13",""
38,"TEXT_SUBSEA910_00701_TODO_14",""
39,"TEXT_SUBSEA910_00701_TODO_15",""
40,"TEXT_SUBSEA910_00701_TODO_16",""
41,"TEXT_SUBSEA910_00701_TODO_17",""
42,"TEXT_SUBSEA910_00701_TODO_18",""
43,"TEXT_SUBSEA910_00701_TODO_19",""
44,"TEXT_SUBSEA910_00701_TODO_20",""
45,"TEXT_SUBSEA910_00701_TODO_21",""
46,"TEXT_SUBSEA910_00701_TODO_22",""
47,"TEXT_SUBSEA910_00701_TODO_23",""
48,"TEXT_SUBSEA910_00701_Rashaht_000","Salutations, <hex:022BF0FAFFF0F7><hex:0208F0F2E1E93501FF45><hex:020841E905FF1F><hex:02281BFF16>GCRankLimsaFemaleText<hex:E9350103><hex:FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:03><hex:FFA7><hex:0208A3E1E93601FF4B><hex:020847E905FF22><hex:02281EFF19>GCRankGridaniaFemaleText<hex:E9360103><hex:FF20><hex:02281CFF17>GCRankGridaniaMaleText<hex:E9360103><hex:03><hex:FF51><hex:02084DE1E93701FF45><hex:020841E905FF1F><hex:02281BFF16>GCRankUldahFemaleText<hex:E9370103><hex:FF1D><hex:022819FF14>GCRankUldahMaleText<hex:E9370103><hex:03><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:021D0103>! Le récit de tes exploits ne cesse de cirrrculer parmi nos rangs, tu es devenu<hex:020808E905FF02>e<hex:FF01><hex:03> un modèle pour la plupart de nos recrues."
49,"TEXT_SUBSEA910_00701_Rashaht_001","Je parie que tu as parrrcouru un grand nombre de malms à pied depuis que tu nous as rejoints."
50,"TEXT_SUBSEA910_00701_Rashaht_002","Je pense qu'un membre accompli du Maelstrom comme toi mérite tout à fait sa propre monture. Je vais m'assurer qu'on t'en préparrre une."
51,"TEXT_SUBSEA910_00701_Rashaht_003","De ton côté, il va falloirrr que tu obtiennes <hex:02330DFF05>Item<hex:02F21781020203> auprès de notre officier de la logistique. Tu n'auras ensuite qu'à remettre ce document à Fraegeim, notre palefrenière, et elle te prrrésentera un de nos meilleurs volatiles."
52,"TEXT_SUBSEA910_00701_Rashaht_010","Pour obtenir ton chocobo, il faut que tu acquièrrres <hex:02330DFF05>Item<hex:02F21781020203> auprès de notre officier de la logistique. Tu n'auras ensuite qu'à remettre ce document à Fraegeim, notre palefrenière, et elle te prrrésentera un de nos meilleurs volatiles."
53,"TEXT_SUBSEA910_00701_Fraegeim_000","Vous êtes venu<hex:020808E905FF02>e<hex:FF01><hex:03> récupérer votre monture personnelle<hex:021D0103>? Dans ce cas, je dois vous demander <hex:02330DFF05>Item<hex:02F21781020203>."
54,"TEXT_SUBSEA910_00701_Fraegeim_010","... Tout semble en règle."
55,"TEXT_SUBSEA910_00701_Fraegeim_011","Donnez-moi un moment, s'il vous plaît. Je vais vous présenter votre chocobo."
56,"TEXT_SUBSEA910_00701_Fraegeim_012","Et voilà<hex:021D0103>! Il est tout excité depuis tout à l'heure. J'ai le sentiment qu'il savait que <hex:020830E905FF17>sa nouvelle maîtresse<hex:FF14>son nouveau maître<hex:03> était arrivé<hex:020808E905FF02>e<hex:FF01><hex:03>."
57,"TEXT_SUBSEA910_00701_Fraegeim_013","Et maintenant, il ne vous reste plus qu'à lui donner un nom, et vous serez tous les deux unis par un lien intime. Choisissez bien."
58,"TEXT_SUBSEA910_00701_Fraegeim_020","Vous êtes venu<hex:020808E905FF02>e<hex:FF01><hex:03> récupérer votre monture<hex:021D0103>? Dans ce cas, je dois vous demander <hex:02330DFF05>Item<hex:02F21781020203>. Si vous n'en avez pas, allez au quartier général du Maelstrom."
59,"TEXT_SUBSEA910_00701_Fraegeim_021","Vous pourrez obtenir ce document en échange de sceaux de compagnie."
60,"TEXT_SUBSEA910_00701_CHOCOBO_000","Kwéé<hex:021D0103>!"
