key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_GAIUSA910_00805_SEQ_00","Marcette veut que vous l'aidiez, que ça vous plaise ou non."
1,"TEXT_GAIUSA910_00805_SEQ_01","Vous avez été nommé<hex:020808E905FF02>e<hex:FF01><hex:03> sixième assistant<hex:020808E905FF02>e<hex:FF01><hex:03> de l'estimée Marcette, et devez vous mettre im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment au travail. Il lui faut un spécimen vivant d'élémentaire de foudre. Affaiblissez-en un et enfermez-le dans <hex:023313FF0A>EventItem<hex:03F61E86F8020203> qu'elle vous a remis."
2,"TEXT_GAIUSA910_00805_SEQ_02","Vous avez réussi à capturer un élémentaire de foudre vivant. Allez le livrer à Marcette."
3,"TEXT_GAIUSA910_00805_SEQ_03","Marcette est aux anges<hex:021D0103>: elle va pouvoir vérifier les réactions des spores de champignons humanoïdes face au danger, et confirmer ainsi sa théorie. Mais malgré votre indéniable con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion, elle a déjà oublié votre numéro."
4,"TEXT_GAIUSA910_00805_SEQ_04",""
5,"TEXT_GAIUSA910_00805_SEQ_05",""
6,"TEXT_GAIUSA910_00805_SEQ_06",""
7,"TEXT_GAIUSA910_00805_SEQ_07",""
8,"TEXT_GAIUSA910_00805_SEQ_08",""
9,"TEXT_GAIUSA910_00805_SEQ_09",""
10,"TEXT_GAIUSA910_00805_SEQ_10",""
11,"TEXT_GAIUSA910_00805_SEQ_11",""
12,"TEXT_GAIUSA910_00805_SEQ_12",""
13,"TEXT_GAIUSA910_00805_SEQ_13",""
14,"TEXT_GAIUSA910_00805_SEQ_14",""
15,"TEXT_GAIUSA910_00805_SEQ_15",""
16,"TEXT_GAIUSA910_00805_SEQ_16",""
17,"TEXT_GAIUSA910_00805_SEQ_17",""
18,"TEXT_GAIUSA910_00805_SEQ_18",""
19,"TEXT_GAIUSA910_00805_SEQ_19",""
20,"TEXT_GAIUSA910_00805_SEQ_20",""
21,"TEXT_GAIUSA910_00805_SEQ_21",""
22,"TEXT_GAIUSA910_00805_SEQ_22",""
23,"TEXT_GAIUSA910_00805_SEQ_23",""
24,"TEXT_GAIUSA910_00805_TODO_00","Affaiblir <hex:023311FF09>BNpcName<hex:02F2088E020203> et l'enfermer dans <hex:023313FF0A>EventItem<hex:03F61E86F8020203>"
25,"TEXT_GAIUSA910_00805_TODO_01","Livrer <hex:023313FF0A>EventItem<hex:03F61E86F9020203> à Marcette"
26,"TEXT_GAIUSA910_00805_TODO_02",""
27,"TEXT_GAIUSA910_00805_TODO_03",""
28,"TEXT_GAIUSA910_00805_TODO_04",""
29,"TEXT_GAIUSA910_00805_TODO_05",""
30,"TEXT_GAIUSA910_00805_TODO_06",""
31,"TEXT_GAIUSA910_00805_TODO_07",""
32,"TEXT_GAIUSA910_00805_TODO_08",""
33,"TEXT_GAIUSA910_00805_TODO_09",""
34,"TEXT_GAIUSA910_00805_TODO_10",""
35,"TEXT_GAIUSA910_00805_TODO_11",""
36,"TEXT_GAIUSA910_00805_TODO_12",""
37,"TEXT_GAIUSA910_00805_TODO_13",""
38,"TEXT_GAIUSA910_00805_TODO_14",""
39,"TEXT_GAIUSA910_00805_TODO_15",""
40,"TEXT_GAIUSA910_00805_TODO_16",""
41,"TEXT_GAIUSA910_00805_TODO_17",""
42,"TEXT_GAIUSA910_00805_TODO_18",""
43,"TEXT_GAIUSA910_00805_TODO_19",""
44,"TEXT_GAIUSA910_00805_TODO_20",""
45,"TEXT_GAIUSA910_00805_TODO_21",""
46,"TEXT_GAIUSA910_00805_TODO_22",""
47,"TEXT_GAIUSA910_00805_TODO_23",""
48,"TEXT_GAIUSA910_00805_MARCETTE_000_000","Ah, assistant<hex:020808E905FF02>e<hex:FF01><hex:03> numéro six, vous arrivez au bon moment. Oui, oui, c'est à vous que je parle, qui d'autre<hex:021D0103>? C'est bien vous qui m'avez assistée dans mes recherches sur les champignons humanoïdes, non<hex:021D0103>?"
49,"TEXT_GAIUSA910_00805_MARCETTE_000_001","Alors au travail, vite<hex:021D0103>! J'ai besoin d'un élémentaire de foudre vivant. Prenez ce vase de verre épais, allez affaiblir un élémentaire de foudre et enfermez-le dedans<hex:021D0103>!"
50,"TEXT_GAIUSA910_00805_DUMMY_000_000","<hex:02280FFF09>BNpcName<hex:F2088E0103>を弱らせて、<hex:022811FF0A>EventItem<hex:F61E86F80103>に<hex:022811FF0A>EventItem<hex:F61E86F90103>をいれる×1"
51,"TEXT_GAIUSA910_00805_MARCETTE_000_010","Vous avez mon spécimen d'élémentaire de foudre<hex:021D0103>? Oui<hex:021D0103>? Eh bien qu'attendez-vous, donnez-le-moi<hex:021D0103>!"
52,"TEXT_GAIUSA910_00805_MARCETTE_000_020","Hé hé hé, il est bien vivant, excellent travail. Un monde de possibilités s'ouvre devant moi... Le prochain assistant qui fera preuve d'insubordination va avoir un <hex:021A020203>choc<hex:021A020103>."
53,"TEXT_GAIUSA910_00805_MARCETTE_000_021","Mais plus sé<hex:02160103>rieu<hex:02160103>se<hex:02160103>ment, si ma théorie est correcte, utiliser des chocs électriques sur les spores des vesses-de-crapaud devrait déclencher une réaction face au danger, et les obliger à se reproduire à une vitesse bien plus grande."
54,"TEXT_GAIUSA910_00805_MARCETTE_000_022","Mon génie est sans limite<hex:021D0103>! Si seulement je pouvais avoir ne serait-ce qu'un assistant capable, mes recherches iraient bien plus vite. Bon, vous, assistant<hex:020808E905FF02>e<hex:FF01><hex:03> numéro quatre... cinq<hex:021D0103>? Peu importe, partez et laissez-moi me concentrer pour changer<hex:021D0103>!"
