key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_GAIUSC412_00987_SEQ_00","Aganbold semble survolté, comme s'il voulait demander de l'aide."
1,"TEXT_GAIUSC412_00987_SEQ_01","Aganbold vous a demandé de lui apporter <hex:023313FF0A>EventItem<hex:02F61E8774020203>. Commencez d'abord par obtenir trois <hex:023313FF0A>EventItem<hex:0DF61E8775030203> sur ces créatures."
2,"TEXT_GAIUSC412_00987_SEQ_02","Dispersez les <hex:023313FF0A>EventItem<hex:0DF61E8775030203> près de trois <hex:02330EFF05>EObj<hex:0DF61E8D1B030203> de Hâtegel."
3,"TEXT_GAIUSC412_00987_SEQ_03","Cachez-vous à l'endroit indiqué, attendez qu'<hex:023311FF09>BNpcName<hex:02F207CC020203> fasse son apparition, et abattez-l<hex:02081BFF13><hex:02280FFF09>BNpcName<hex:F207CC0703><hex:FF02>a<hex:FF02>e<hex:03><hex:021D0103>!"
4,"TEXT_GAIUSC412_00987_SEQ_04","Vous avez obtenu <hex:023313FF0A>EventItem<hex:03F61E8774020203> demandé<hex:02081CFF15><hex:022811FF0A>EventItem<hex:F61E87740703><hex:FF02>e<hex:FF01><hex:03> par Aganbold. Allez lui remettre."
5,"TEXT_GAIUSC412_00987_SEQ_05","Aganbold vous a révélé que son organisme a tendance à concentrer l'électricité, et qu'un chercheur lui avait demandé de lui obtenir <hex:023313FF0A>EventItem<hex:02F61E8774020203> chargé<hex:02081CFF15><hex:022811FF0A>EventItem<hex:F61E87740703><hex:FF02>e<hex:FF01><hex:03> d'énergie de la foudre."
6,"TEXT_GAIUSC412_00987_SEQ_06",""
7,"TEXT_GAIUSC412_00987_SEQ_07",""
8,"TEXT_GAIUSC412_00987_SEQ_08",""
9,"TEXT_GAIUSC412_00987_SEQ_09",""
10,"TEXT_GAIUSC412_00987_SEQ_10",""
11,"TEXT_GAIUSC412_00987_SEQ_11",""
12,"TEXT_GAIUSC412_00987_SEQ_12",""
13,"TEXT_GAIUSC412_00987_SEQ_13",""
14,"TEXT_GAIUSC412_00987_SEQ_14",""
15,"TEXT_GAIUSC412_00987_SEQ_15",""
16,"TEXT_GAIUSC412_00987_SEQ_16",""
17,"TEXT_GAIUSC412_00987_SEQ_17",""
18,"TEXT_GAIUSC412_00987_SEQ_18",""
19,"TEXT_GAIUSC412_00987_SEQ_19",""
20,"TEXT_GAIUSC412_00987_SEQ_20",""
21,"TEXT_GAIUSC412_00987_SEQ_21",""
22,"TEXT_GAIUSC412_00987_SEQ_22",""
23,"TEXT_GAIUSC412_00987_SEQ_23",""
24,"TEXT_GAIUSC412_00987_TODO_00","Abattre des <hex:02330FFF09>BNpcName<hex:0D2F030203> et obtenir des <hex:023313FF0A>EventItem<hex:0DF61E8775030203>"
25,"TEXT_GAIUSC412_00987_TODO_01","Utiliser <hex:023313FF0A>EventItem<hex:03F61E8775030203> sur les arbres cristallisés"
26,"TEXT_GAIUSC412_00987_TODO_02","Attendre à l'endroit indiqué et abattre <hex:023311FF09>BNpcName<hex:03F207CC020203>"
27,"TEXT_GAIUSC412_00987_TODO_03","Donner <hex:023313FF0A>EventItem<hex:03F61E8774020203> à Aganbold"
28,"TEXT_GAIUSC412_00987_TODO_04",""
29,"TEXT_GAIUSC412_00987_TODO_05",""
30,"TEXT_GAIUSC412_00987_TODO_06",""
31,"TEXT_GAIUSC412_00987_TODO_07",""
32,"TEXT_GAIUSC412_00987_TODO_08",""
33,"TEXT_GAIUSC412_00987_TODO_09",""
34,"TEXT_GAIUSC412_00987_TODO_10",""
35,"TEXT_GAIUSC412_00987_TODO_11",""
36,"TEXT_GAIUSC412_00987_TODO_12",""
37,"TEXT_GAIUSC412_00987_TODO_13",""
38,"TEXT_GAIUSC412_00987_TODO_14",""
39,"TEXT_GAIUSC412_00987_TODO_15",""
40,"TEXT_GAIUSC412_00987_TODO_16",""
41,"TEXT_GAIUSC412_00987_TODO_17",""
42,"TEXT_GAIUSC412_00987_TODO_18",""
43,"TEXT_GAIUSC412_00987_TODO_19",""
44,"TEXT_GAIUSC412_00987_TODO_20",""
45,"TEXT_GAIUSC412_00987_TODO_21",""
46,"TEXT_GAIUSC412_00987_TODO_22",""
47,"TEXT_GAIUSC412_00987_TODO_23",""
48,"TEXT_GAIUSC412_00987_AGANBOLD_000_000","Dis, tu as déjà vu ces créatures qu'on appelle <hex:02330FFF09>BNpcName<hex:0D2F030203><hex:021D0103>?"
49,"TEXT_GAIUSC412_00987_AGANBOLD_000_001","Tu sais donc qu'on peut obtenir des catalyseurs en les abattant, n'est-ce pas<hex:021D0103>?"
50,"TEXT_GAIUSC412_00987_AGANBOLD_000_002","Ce que tu ignores pro<hex:02160103>ba<hex:02160103>ble<hex:02160103>ment, c'est que si tu disperses ça près des arbres cristallisés à Hâtegel, eh bien, il est possible de faire venir <hex:023311FF09>BNpcName<hex:02F207CC020203>, un truc très im<hex:02160103>pres<hex:02160103>sion<hex:02160103>nant<hex:021D0103>!"
51,"TEXT_GAIUSC412_00987_AGANBOLD_000_003","Bien sûr, <hex:02081FFF13><hex:02280FFF09>BNpcName<hex:F207CC0703><hex:FF05>elle<hex:FF03>il<hex:03> t'attaquera sûrement, mais par expérience, je peux te dire que ces créatures ne sont pas si coriaces."
52,"TEXT_GAIUSC412_00987_AGANBOLD_000_004","En fait, si je te raconte tout ceci, c'est parce que je voudrais que tu tues un de ces monstres et que tu me rapportes <hex:023313FF0A>EventItem<hex:02F61E8774020203>. Je t'expliquerai pourquoi après."
53,"TEXT_GAIUSC412_00987_DUMMY_000_010","2.ウィスプを討伐し、結晶を入手　×３"
54,"TEXT_GAIUSC412_00987_DUMMY_000_020","3.早霜峠の指定地点に結晶を使う　×３"
55,"TEXT_GAIUSC412_00987_DUMMY_100_020","3.早霜峠の指定地点で待機"
56,"TEXT_GAIUSC412_00987_DUMMY_000_030","4.巨大ウィスプ出現、討伐すると巨大結晶入手"
57,"TEXT_GAIUSC412_00987_TODO_000_010",""
58,"TEXT_GAIUSC412_00987_TODO_000_020",""
59,"TEXT_GAIUSC412_00987_TODO_100_020",""
60,"TEXT_GAIUSC412_00987_TODO_000_030","（★未使用／削除予定★）"
61,"TEXT_GAIUSC412_00987_AGANBOLD_000_040","Alors<hex:021D0103>? Tu m'as rapporté ce que je t'ai demandé...<hex:021D0103>?"
62,"TEXT_GAIUSC412_00987_AGANBOLD_000_045","Ouuuuiiiiille<hex:021D0103>! Aïe<hex:021D0103>! Ouille...<hex:021D0103>! Raaah, la vache<hex:021D0103>! Qu'est-ce que ça fait mal<hex:021D0103>!"
63,"TEXT_GAIUSC412_00987_AGANBOLD_000_046","En fait, mon corps a tendance à concentrer l'électricité statique, et donc quand je vais dans un endroit où il fait froid ou qu'il y a beaucoup d'énergie de la foudre, je prends des coups de jus comme ça."
