key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_JOBMNK300_01061_SEQ_00","Gagaruna semble contente de vous voir."
1,"TEXT_JOBMNK300_01061_SEQ_01","Gagaruna vous a demandé de servir de garde du corps et assistant<hex:020808E905FF02>e<hex:FF01><hex:03> auprès du professeur Erik, un historien célèbre, pour vous assurer qu'il ne lui arrive rien de fâcheux lors de l'étude d'anciens champs de bataille. Le réceptionniste vous a bien fait comprendre qu'il en allait autant de la crédibilité de la guilde des pugilistes... que de la possibilité d'obtenir la somme d'argent que le professeur a promis en échange de sa protection. Allez parler à Erik à la guilde des orfèvres."
2,"TEXT_JOBMNK300_01061_SEQ_02","Le professeur Erik vous a expliqué qu'il étudiait d'anciens champs de bataille pour apporter un nouvel éclairage sur les guerres éorzéennes. Il vous a demandé d'aller placer <hex:023313FF0A>EventItem<hex:02F61E8837020203> à l'endroit indiqué aux vestiges de Sil'dih dans le Thanalan central."
3,"TEXT_JOBMNK300_01061_SEQ_03","La forte con<hex:02160103>cen<hex:02160103>tra<hex:02160103>tion d'éther présente aux vestiges vous a fait subir une transformation intérieure. D'après Widargelt, vous avez ouvert un des “chakras” de votre corps. Reconnaissant votre potentiel, le moine mhigois vous a remis <hex:023313FF05>Item<hex:02FF08>　4543<hex:020203>. Pendant que vous discutiez avec lui, Erik est parti. Allez récupérer <hex:023313FF0A>EventItem<hex:03F61E8837020203> pour lui."
4,"TEXT_JOBMNK300_01061_SEQ_04","Vous avez repris <hex:023313FF0A>EventItem<hex:03F61E8837020203>. Allez le porter à Erik."
5,"TEXT_JOBMNK300_01061_SEQ_05","Erik vous a prévenu<hex:020808E905FF02>e<hex:FF01><hex:03> qu'il vous enverrait la prochaine fois dans un lieu dangereux pour y mesurer l'éther et vous a recommandé de vous entraîner.<hex:02100103>* Erik propose la prochaine quête aux moines de niveau 35."
6,"TEXT_JOBMNK300_01061_SEQ_06",""
7,"TEXT_JOBMNK300_01061_SEQ_07",""
8,"TEXT_JOBMNK300_01061_SEQ_08",""
9,"TEXT_JOBMNK300_01061_SEQ_09",""
10,"TEXT_JOBMNK300_01061_SEQ_10",""
11,"TEXT_JOBMNK300_01061_SEQ_11",""
12,"TEXT_JOBMNK300_01061_SEQ_12",""
13,"TEXT_JOBMNK300_01061_SEQ_13",""
14,"TEXT_JOBMNK300_01061_SEQ_14",""
15,"TEXT_JOBMNK300_01061_SEQ_15",""
16,"TEXT_JOBMNK300_01061_SEQ_16",""
17,"TEXT_JOBMNK300_01061_SEQ_17",""
18,"TEXT_JOBMNK300_01061_SEQ_18",""
19,"TEXT_JOBMNK300_01061_SEQ_19",""
20,"TEXT_JOBMNK300_01061_SEQ_20",""
21,"TEXT_JOBMNK300_01061_SEQ_21",""
22,"TEXT_JOBMNK300_01061_SEQ_22",""
23,"TEXT_JOBMNK300_01061_SEQ_23",""
24,"TEXT_JOBMNK300_01061_TODO_00","Parler à Erik à la guilde des orfèvres"
25,"TEXT_JOBMNK300_01061_TODO_01","Placer <hex:023313FF0A>EventItem<hex:03F61E8837020203> aux vestiges de Sil'dih"
26,"TEXT_JOBMNK300_01061_TODO_02","Récupérer <hex:023313FF0A>EventItem<hex:03F61E8837020203>"
27,"TEXT_JOBMNK300_01061_TODO_03","Rendre <hex:023313FF0A>EventItem<hex:03F61E8837020203> à Erik à la guilde des orfèvres"
28,"TEXT_JOBMNK300_01061_TODO_04",""
29,"TEXT_JOBMNK300_01061_TODO_05",""
30,"TEXT_JOBMNK300_01061_TODO_06",""
31,"TEXT_JOBMNK300_01061_TODO_07",""
32,"TEXT_JOBMNK300_01061_TODO_08",""
33,"TEXT_JOBMNK300_01061_TODO_09",""
34,"TEXT_JOBMNK300_01061_TODO_10",""
35,"TEXT_JOBMNK300_01061_TODO_11",""
36,"TEXT_JOBMNK300_01061_TODO_12",""
37,"TEXT_JOBMNK300_01061_TODO_13",""
38,"TEXT_JOBMNK300_01061_TODO_14",""
39,"TEXT_JOBMNK300_01061_TODO_15",""
40,"TEXT_JOBMNK300_01061_TODO_16",""
41,"TEXT_JOBMNK300_01061_TODO_17",""
42,"TEXT_JOBMNK300_01061_TODO_18",""
43,"TEXT_JOBMNK300_01061_TODO_19",""
44,"TEXT_JOBMNK300_01061_TODO_20",""
45,"TEXT_JOBMNK300_01061_TODO_21",""
46,"TEXT_JOBMNK300_01061_TODO_22",""
47,"TEXT_JOBMNK300_01061_TODO_23",""
48,"TEXT_JOBMNK300_01061_GAGARUNA_000_000","<hex:02083DE3E90C0DFF1B><hex:020817E3E90C05FF08>Bonsoir<hex:FF08>Bonjour<hex:03><hex:FF1B><hex:020817E3E90C12FF08>Bonjour<hex:FF08>Bonsoir<hex:03><hex:03>, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. Connaissez-vous le professeur Erik<hex:021D0103>? C'est un historien connu, spécialiste des guerres éorzéennes."
49,"TEXT_JOBMNK300_01061_GAGARUNA_000_001","Il est aussi tristement célèbre pour ses discours longs comme un jour sans pain, et sa propension à dépenser sans compter les fonds destinés à ses recherches..."
50,"TEXT_JOBMNK300_01061_GAGARUNA_000_002","Sa dernière lubie est d'aller étudier sur place d'anciens champs de bataille."
51,"TEXT_JOBMNK300_01061_GAGARUNA_000_003","Évidemment, les endroits les mieux conservés sont ceux dont les hommes ne s'approchent pas, pour diverses raisons... notamment la présence de monstres dangereux."
52,"TEXT_JOBMNK300_01061_GAGARUNA_000_004","Seulement, le danger n'est pas un concept que ce cher professeur semble comprendre. Ce qui ne nous arrange pas du tout, car la banque qui finance ses recherches nous a demandé d'assurer sa protection. Si jamais il venait à mourir, la guilde des pugilistes perdrait toute crédibilité<hex:021D0103>!"
53,"TEXT_JOBMNK300_01061_GAGARUNA_000_005","... Et bien sûr, ce serait une perte terrible pour la communauté scien<hex:02160103>ti<hex:02160103>fi<hex:02160103>que. "
54,"TEXT_JOBMNK300_01061_GAGARUNA_000_006","Toujours est-il que nous avons engagé un moine mhigois, car ce sont des combattants absolument remarquables, mais Erik se plaint de son attitude et a exigé un autre garde du corps, pouvant également faire office d'assistant."
55,"TEXT_JOBMNK300_01061_GAGARUNA_000_007","Vous êtes <hex:02082FE905FF16>une de nos meilleures<hex:FF14>un de nos meilleurs<hex:03> pugilistes, seriez-vous <hex:02081EE905FF0D>intéressée<hex:FF0C>intéressé<hex:03> par ce travail<hex:021D0103>?"
56,"TEXT_JOBMNK300_01061_GAGARUNA_000_008","Qui sait, ce sera peut-être pour vous l'occasion d'apprendre quelque chose sur les moines, si celui que nous avons embauché se décide à faire son travail sé<hex:02160103>rieu<hex:02160103>se<hex:02160103>ment..."
57,"TEXT_JOBMNK300_01061_GAGARUNA_000_009","Le professeur est à la guilde des orfèvres, je vous recommande d'aller vous présenter dès que possible."
