key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_BANIXA504_01512_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>Règle spéciale<hex:021D0103>:  synchronisation de quête<hex:0249020103><hex:0248020103><hex:02100103>* <hex:021A020203>Avant de commencer cette quête, il est recommandé d'être au niveau 15 minimum pour les disciples de la main, et au niveau 48 minimum pour les disciples de la guerre et de la magie.<hex:021A020103><hex:02100103><hex:02100103>Duzal Meyean a besoin de vous pour faire face à une situation imprévue."
1,"TEXT_BANIXA504_01512_SEQ_01","* <hex:021A020203>Cette quête est <hex:024804F201FC03><hex:024904F201FD03> synchronisée<hex:0249020103><hex:0248020103> avec votre niveau.<hex:021A020103><hex:02100103><hex:02100103>Suite à un vice de conception, Duzal Meyean veut que vous fabriquiez deux <hex:023315FF07>ItemHQ<hex:0DFF08>　8115<hex:030203>. Rendez-vous à La Forge de diamant, au Glas des revenants, et demandez à Fyrbryda l'au<hex:02160103>to<hex:02160103>ri<hex:02160103>sa<hex:02160103>tion d'utiliser ses ins<hex:02160103>tal<hex:02160103>la<hex:02160103>tions d'artisanat."
2,"TEXT_BANIXA504_01512_SEQ_02","Fyrbryda est prête à vous laisser utiliser les équipements de La Forge de diamant en échange d'un simple service. Partez à la chasse aux <hex:023316FF09>BNpcName<hex:0DFF07>　237<hex:030203> dans L'Enchevêtrement pour obtenir <hex:023313FF0A>EventItem<hex:02F61E8A0A020203>."
3,"TEXT_BANIXA504_01512_SEQ_03","Vous avez obtenu <hex:023313FF0A>EventItem<hex:03F61E8A0A020203>. Allez l'apporter à Fyrbryda tout en lui montrant votre <hex:023313FF0A>EventItem<hex:0DF61E8A09020203> afin qu'elle vous donne sa bénédiction pour vous servir des ins<hex:02160103>tal<hex:02160103>la<hex:02160103>tions d'artisanat de La Forge de diamant."
4,"TEXT_BANIXA504_01512_SEQ_04","Tout est prêt pour que vous commenciez à travailler. En vous servant des matériaux, fabriquez deux <hex:023315FF07>ItemHQ<hex:0DFF08>　8115<hex:030203> et remettez-les à Duzal Meyean, au centre d'essais d'Ehcatl.<hex:02100103>* <hex:021A020203>Adressez-vous de nouveau à Fyrbryda si vous n'avez plus de matériaux ou si vous avez perdu l'effet Installation<hex:021D0103>: spécialité.<hex:021A020103>"
5,"TEXT_BANIXA504_01512_SEQ_05","Duzal Meyean était satisfait des <hex:02330FFF07>ItemHQ<hex:0DF21FB3030203> que vous lui avez apportés. Grâce à vous, le problème de conception du Dezul Qualan n'aura pas de con<hex:02160103>sé<hex:02160103>quen<hex:02160103>ces. L'Ixal vous a aussi confié être au départ réticent à l'idée de s'attacher les services d'artisans humains, mais avoir maintenant compris pourquoi Sezul Totoloc avait pris cette décision."
6,"TEXT_BANIXA504_01512_SEQ_06",""
7,"TEXT_BANIXA504_01512_SEQ_07",""
8,"TEXT_BANIXA504_01512_SEQ_08",""
9,"TEXT_BANIXA504_01512_SEQ_09",""
10,"TEXT_BANIXA504_01512_SEQ_10",""
11,"TEXT_BANIXA504_01512_SEQ_11",""
12,"TEXT_BANIXA504_01512_SEQ_12",""
13,"TEXT_BANIXA504_01512_SEQ_13",""
14,"TEXT_BANIXA504_01512_SEQ_14",""
15,"TEXT_BANIXA504_01512_SEQ_15",""
16,"TEXT_BANIXA504_01512_SEQ_16",""
17,"TEXT_BANIXA504_01512_SEQ_17",""
18,"TEXT_BANIXA504_01512_SEQ_18",""
19,"TEXT_BANIXA504_01512_SEQ_19",""
20,"TEXT_BANIXA504_01512_SEQ_20",""
21,"TEXT_BANIXA504_01512_SEQ_21",""
22,"TEXT_BANIXA504_01512_SEQ_22",""
23,"TEXT_BANIXA504_01512_SEQ_23",""
24,"TEXT_BANIXA504_01512_TODO_00","Parler à Fyrbryda"
25,"TEXT_BANIXA504_01512_TODO_01","Obtenir <hex:023313FF0A>EventItem<hex:02F61E8A0A020203> sur <hex:023316FF09>BNpcName<hex:02FF07>　237<hex:020203>"
26,"TEXT_BANIXA504_01512_TODO_02","Apporter <hex:023313FF0A>EventItem<hex:03F61E8A0A020203> et <hex:023313FF0A>EventItem<hex:03F61E8A09020203> à Fyrbryda"
27,"TEXT_BANIXA504_01512_TODO_03","<hex:02085DE3E802E803FF23>Fabriquer <hex:023315FF07>ItemHQ<hex:02FF08>　8115<hex:030203><hex:FF32>Apporter <hex:023315FF07>ItemHQ<hex:03FF08>　8115<hex:030203> à Duzal Meyean<hex:03>"
28,"TEXT_BANIXA504_01512_TODO_04",""
29,"TEXT_BANIXA504_01512_TODO_05",""
30,"TEXT_BANIXA504_01512_TODO_06",""
31,"TEXT_BANIXA504_01512_TODO_07",""
32,"TEXT_BANIXA504_01512_TODO_08",""
33,"TEXT_BANIXA504_01512_TODO_09",""
34,"TEXT_BANIXA504_01512_TODO_10",""
35,"TEXT_BANIXA504_01512_TODO_11",""
36,"TEXT_BANIXA504_01512_TODO_12",""
37,"TEXT_BANIXA504_01512_TODO_13",""
38,"TEXT_BANIXA504_01512_TODO_14",""
39,"TEXT_BANIXA504_01512_TODO_15",""
40,"TEXT_BANIXA504_01512_TODO_16",""
41,"TEXT_BANIXA504_01512_TODO_17",""
42,"TEXT_BANIXA504_01512_TODO_18",""
43,"TEXT_BANIXA504_01512_TODO_19",""
44,"TEXT_BANIXA504_01512_TODO_20",""
45,"TEXT_BANIXA504_01512_TODO_21",""
46,"TEXT_BANIXA504_01512_TODO_22",""
47,"TEXT_BANIXA504_01512_TODO_23",""
48,"TEXT_BANIXA504_01512_DUZALMEYEAN_000_000","Ah, <hex:020819E905FF0A>celle-là<hex:FF0A>ç'ui-là<hex:03> arrive au meilleur moment<hex:021D0103>! Ç'ui-ci a b'soin d'deux <hex:023313FF05>Item<hex:0DFF08>　8115<hex:030203>, et c'est urgent<hex:021D0103>! Bien sûr, pas question d'faire de concessions sur la qualité, seul le meilleur sied au Dezul Qualan."
49,"TEXT_BANIXA504_01512_DUZALMEYEAN_000_010","Comme <hex:020819E905FF0A>celle-là<hex:FF0A>ç'ui-là<hex:03> sait sûrement, faut parfois évacuer l'carburant pour alléger l'appareil en cas d'urgence. Y s'trouve que l'système qu'ceux-ci ont choisi pour l'Dezul Qualan a un vice d'conception<hex:021D0103>! Pour remédier à c'problème, va falloir qu'<hex:020819E905FF0A>celle-là<hex:FF0A>ç'ui-là<hex:03> fabrique des câbles métalliques."
50,"TEXT_BANIXA504_01512_DUZALMEYEAN_000_020","Comme <hex:020819E905FF0A>celle-là<hex:FF0A>ç'ui-là<hex:03> sait sûrement, faut parfois évacuer l'carburant pour alléger l'appareil en cas d'urgence. Y s'trouve que l'système qu'ceux-ci ont choisi pour l'Dezul Qualan a un vice d'conception<hex:021D0103>! Pour remédier à c'problème, va falloir qu'<hex:020819E905FF0A>celle-là<hex:FF0A>ç'ui-là<hex:03> fabrique une solution capable d'empêcher l'inflammation du céruleum."
