key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_JOBBLM560_01681_SEQ_00","Lalai souhaite vous parler d'un autre pli qu'elle a reçu."
1,"TEXT_JOBBLM560_01681_SEQ_01","Lalai a reçu une lettre envoyée par Dozol Meloc. L'Ixal se trouve dans une situation critique et a besoin de votre aide. Il vous attend aux sources de l'Aulne, dans la Forêt du nord."
2,"TEXT_JOBBLM560_01681_SEQ_02","Vous avez vaincu les mages dissidents, mais vous devez encore secourir Dozol Meloc aux sources de l'Aulne<hex:021D0103>!"
3,"TEXT_JOBBLM560_01681_SEQ_03","Vous avez sauvé l'Ixal des griffes des mages dissidents, et Zhai'a Nelhah est arrivé juste à temps pour constater que vous n'étiez visiblement pas la cause du massacre, car les cadavres semblaient avoir brûlé de l'intérieur. Dozol Meloc pense que ceci serait dû au fait que les mages dissidents pratiquent la magie noire sans s'être procuré au préalable de joyaux de Shatotto pour se protéger. De bonne foi, Zhai'a Nelhah a admis son erreur et vous a même présenté ses excuses. Il ne vous reste plus qu'à retourner à Ul'dah et à faire votre rapport à Lalai."
4,"TEXT_JOBBLM560_01681_SEQ_04","Votre récit a permis à Lalai de comprendre que les mages dissidents ne contrôlent visiblement pas la magie ancienne et que c'est pour cette raison que leur nombre ne peut pas augmenter. Elle vous a demandé de vous entraîner en attendant que vos ennemis, pressés par le temps, passent à l'action.<hex:02100103>* Lalai propose la prochaine quête aux mages noirs de niveau 58."
5,"TEXT_JOBBLM560_01681_SEQ_05",""
6,"TEXT_JOBBLM560_01681_SEQ_06",""
7,"TEXT_JOBBLM560_01681_SEQ_07",""
8,"TEXT_JOBBLM560_01681_SEQ_08",""
9,"TEXT_JOBBLM560_01681_SEQ_09",""
10,"TEXT_JOBBLM560_01681_SEQ_10",""
11,"TEXT_JOBBLM560_01681_SEQ_11",""
12,"TEXT_JOBBLM560_01681_SEQ_12",""
13,"TEXT_JOBBLM560_01681_SEQ_13",""
14,"TEXT_JOBBLM560_01681_SEQ_14",""
15,"TEXT_JOBBLM560_01681_SEQ_15",""
16,"TEXT_JOBBLM560_01681_SEQ_16",""
17,"TEXT_JOBBLM560_01681_SEQ_17",""
18,"TEXT_JOBBLM560_01681_SEQ_18",""
19,"TEXT_JOBBLM560_01681_SEQ_19",""
20,"TEXT_JOBBLM560_01681_SEQ_20",""
21,"TEXT_JOBBLM560_01681_SEQ_21",""
22,"TEXT_JOBBLM560_01681_SEQ_22",""
23,"TEXT_JOBBLM560_01681_SEQ_23",""
24,"TEXT_JOBBLM560_01681_TODO_00","Chercher Dozol Meloc aux sources de l'Aulne"
25,"TEXT_JOBBLM560_01681_TODO_01","Sauver Dozol Meloc"
26,"TEXT_JOBBLM560_01681_TODO_02","Faire un rapport à Lalai au sanctuaire de Milvaneth"
27,"TEXT_JOBBLM560_01681_TODO_03",""
28,"TEXT_JOBBLM560_01681_TODO_04",""
29,"TEXT_JOBBLM560_01681_TODO_05",""
30,"TEXT_JOBBLM560_01681_TODO_06",""
31,"TEXT_JOBBLM560_01681_TODO_07",""
32,"TEXT_JOBBLM560_01681_TODO_08",""
33,"TEXT_JOBBLM560_01681_TODO_09",""
34,"TEXT_JOBBLM560_01681_TODO_10",""
35,"TEXT_JOBBLM560_01681_TODO_11",""
36,"TEXT_JOBBLM560_01681_TODO_12",""
37,"TEXT_JOBBLM560_01681_TODO_13",""
38,"TEXT_JOBBLM560_01681_TODO_14",""
39,"TEXT_JOBBLM560_01681_TODO_15",""
40,"TEXT_JOBBLM560_01681_TODO_16",""
41,"TEXT_JOBBLM560_01681_TODO_17",""
42,"TEXT_JOBBLM560_01681_TODO_18",""
43,"TEXT_JOBBLM560_01681_TODO_19",""
44,"TEXT_JOBBLM560_01681_TODO_20",""
45,"TEXT_JOBBLM560_01681_TODO_21",""
46,"TEXT_JOBBLM560_01681_TODO_22",""
47,"TEXT_JOBBLM560_01681_TODO_23",""
48,"TEXT_JOBBLM560_01681_LALAI_000_000","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, l'heure est grave. J'ai reçu une seconde lettre."
49,"TEXT_JOBBLM560_01681_LALAI_000_001","“Des chacals des cités veulent la mort de celui-ci, qui est parti se cacher aux sources de l'Aulne<hex:021D0103>! Demande <hex:0209F20109E948FF1D><hex:020819E905FF0C>à la Hyure<hex:FF08>au Hyur<hex:03><hex:FF27><hex:020823E905FF10>à l'Élézenne<hex:FF0E>à l'Élézen<hex:03><hex:FF25><hex:020821E905FF10>à la Lalafelle<hex:FF0C>au Lalafell<hex:03><hex:FF22><hex:02081EE905FF0E>à la Miqo'te<hex:FF0B>au Miqo'te<hex:03><hex:FF25><hex:020821E905FF10>à la Roegadyne<hex:FF0C>au Roegadyn<hex:03><hex:FF0B>à l'Ao Ra<hex:FF24><hex:020820E905FF0F>à la Hrothgar<hex:FF0C>au Hrothgar<hex:03><hex:FF20><hex:02081CE905FF0D>à la Viéra<hex:FF0A>au Viéra<hex:03><hex:03> de venir au plus vite.<hex:02100103>Dozol”"
50,"TEXT_JOBBLM560_01681_LALAI_000_002","C'est tout... Des mots écrits avec hésitation sur un papier signé Dozol."
51,"TEXT_JOBBLM560_01681_LALAI_000_003","Je ne pense pas me tromper en affirmant qu'il s'agit de Dozol Meloc, et que c'est cer<hex:02160103>tai<hex:02160103>ne<hex:02160103>ment votre aide qu'il réclame."
52,"TEXT_JOBBLM560_01681_LALAI_000_004","Il va bien falloir prévenir Zhai'a Nelhah. Enfin, quoi qu'il ait pu vous en dire, vous ne devez pas craindre le pouvoir de la magie ancienne. Je sais que vous parviendrez à la maîtriser<hex:021D0103>!"
53,"TEXT_JOBBLM560_01681_LALAI_000_005","Ce sera peut-être justement l'occasion rêvée de lui montrer comment vous vous battez et ce que c'est que d'être un mage noir digne de ce nom<hex:021D0103>!"
54,"TEXT_JOBBLM560_01681_LALAI_000_006","Mais je ne vous retiens pas plus longtemps. Partez vite sauver Dozol Meloc. Il vous attend aux sources de l'Aulne<hex:021D0103>!"
55,"TEXT_JOBBLM560_01681_LALAI_000_007","Dozol Meloc vous attend aux sources de l'Aulne. En route, mon ami<hex:020808E905FF02>e<hex:FF01><hex:03>."
