key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_FESEVN101_02206_SEQ_00","* <hex:021A020203>Cette quête est un événement à durée limitée.<hex:021A020103><hex:02100103><hex:02100103>Remumu a besoin de l'aide d'un aventurier expérimenté pour son prochain reportage."
1,"TEXT_FESEVN101_02206_SEQ_01","Cette quête ne peut être commencée et effectuée que pendant la durée de l'événement saisonnier correspondant. Pour plus de détails, veuillez consulter The Lodestone.<hex:02100103><hex:02100103>Remumu, une journaliste du Limséen Averti, vous a expliqué qu'elle désirerait interviewer une mystérieuse voyageuse venue d'Orient. Cette dernière ayant été aperçue dans des endroits dangereux, Remumu aimerait que vous l'escortiez. Allez la rejoindre à Costa del Sol, dans la Noscea orientale."
2,"TEXT_FESEVN101_02206_SEQ_02","Après avoir retrouvé Remumu, vous avez fait con<hex:02160103>nais<hex:02160103>san<hex:02160103>ce avec Iroha, la mystérieuse voyageuse venue d'Orient. Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, elle a perdu la mémoire et ne peut donc pas répondre aux questions de la journaliste... Cependant, elle se rappelle avoir été chargée d'une importante mission et pense pouvoir retrouver ses souvenirs en maîtrisant une technique appelée “Amatsu<hex:021D0103>: Kyôri”. Aidez-la à s'entraîner en participant à l'ALÉA “Crabes martyrs” à l'est de la tour de la Mouette, dans la Noscea orientale, pour obtenir <hex:023313FF0A>EventItem<hex:02F61E8C08020203>."
3,"TEXT_FESEVN101_02206_SEQ_03","Vous avez trouvé <hex:023313FF0A>EventItem<hex:02F61E8C08020203>. Allez retrouver Iroha au Bastingage, à Limsa Lominsa, et montrez-le-lui."
4,"TEXT_FESEVN101_02206_SEQ_04","Iroha a partiellement recouvré la mémoire. Continuez à lui apporter votre soutien en participant à l'ALÉA “De l'excellence du samouraï” près du Manoir des Haukke, dans la Forêt centrale, pour obtenir <hex:023313FF0A>EventItem<hex:02F61E8C09020203>."
5,"TEXT_FESEVN101_02206_SEQ_05","Vous avez trouvé <hex:023313FF0A>EventItem<hex:02F61E8C09020203>. Allez retrouver Iroha aux Feuilles de carline, à Gridania, et montrez-le-lui."
6,"TEXT_FESEVN101_02206_SEQ_06","Grâce à votre aide, Iroha s'est rappelé de nouveaux détails. Une fois de plus, assistez-la dans son en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment en participant à l'ALÉA “Un scorpion pas si pacifique” à l'est de la Foreuse de Byregot, dans le Thanalan méridional, pour obtenir <hex:023313FF0A>EventItem<hex:02F61E8C0A020203>."
7,"TEXT_FESEVN101_02206_SEQ_07","Vous avez trouvé <hex:023313FF0A>EventItem<hex:02F61E8C0A020203>. Allez retrouver Iroha aux Sables mouvants, à Ul'dah, et montrez-le-lui."
8,"TEXT_FESEVN101_02206_SEQ_08","Iroha est sur le point de pénétrer les arcanes de la technique Amatsu<hex:021D0103>: Kyôri et de retrouver toute sa mémoire, mais il lui faut pour cela surmonter une dernière épreuve. Accompagnez-la dans ce moment décisif en ac<hex:02160103>com<hex:02160103>plis<hex:02160103>sant l'ALÉA “Le secret d'Amatsu<hex:021D0103>: Kyôri” au lac d'Airain, dans la Haute-Noscea."
9,"TEXT_FESEVN101_02206_SEQ_09","Iroha a enfin réussi à maîtriser la technique Amatsu<hex:021D0103>: Kyôri à la perfection. Allez la retrouver au Bastingage, à Limsa Lominsa, pour écouter son histoire."
10,"TEXT_FESEVN101_02206_SEQ_10","Iroha vous a raconté son histoire. Elle vient de Vana'diel, un monde différent d'Éorzéa. Tout ce qu'elle vous a relaté depuis votre rencontre lui vient des récits des exploits de son maître, un illustre aventurier. Retrouvez Remumu au Dauphin noyé, à Limsa Lominsa, et mettez-la au courant de ce que vous avez appris."
11,"TEXT_FESEVN101_02206_SEQ_11","Iroha a continué à se confier à vous. Alors que Vana'diel était sur le point de disparaître et qu'elle en était la dernière survivante, elle a décidé de voyager dans le passé pour aller à la rencontre de son maître dans la force de l'âge et lui demander son aide, afin de sauver son monde du funeste destin qui l'attendait. Cependant, les méandres du temps l'ont fait s'échouer en Éorzéa. Heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, votre rencontre lui a permis de retrouver sa mémoire et de maîtriser la technique Amatsu<hex:021D0103>: Kyôri. Désormais prête à faire face à sa destinée, elle vous a chaudement remercié<hex:020808E905FF02>e<hex:FF01><hex:03> avant de reprendre sa route vers Vana'diel..."
12,"TEXT_FESEVN101_02206_SEQ_12",""
13,"TEXT_FESEVN101_02206_SEQ_13",""
14,"TEXT_FESEVN101_02206_SEQ_14",""
15,"TEXT_FESEVN101_02206_SEQ_15",""
16,"TEXT_FESEVN101_02206_SEQ_16",""
17,"TEXT_FESEVN101_02206_SEQ_17",""
18,"TEXT_FESEVN101_02206_SEQ_18",""
19,"TEXT_FESEVN101_02206_SEQ_19",""
20,"TEXT_FESEVN101_02206_SEQ_20",""
21,"TEXT_FESEVN101_02206_SEQ_21",""
22,"TEXT_FESEVN101_02206_SEQ_22",""
23,"TEXT_FESEVN101_02206_SEQ_23",""
24,"TEXT_FESEVN101_02206_TODO_00","Parler à Remumu, à Costa del Sol"
25,"TEXT_FESEVN101_02206_TODO_01","Participer à l'ALÉA à l'est de la tour de la Mouette et obtenir <hex:023313FF0A>EventItem<hex:02F61E8C08020203>"
26,"TEXT_FESEVN101_02206_TODO_02","Parler à Iroha, à Limsa Lominsa"
27,"TEXT_FESEVN101_02206_TODO_03","Participer à l'ALÉA près du Manoir des Haukke et obtenir <hex:023313FF0A>EventItem<hex:02F61E8C09020203>"
28,"TEXT_FESEVN101_02206_TODO_04","Parler à Iroha, à Gridania"
29,"TEXT_FESEVN101_02206_TODO_05","Participer à l'ALÉA à l'est de la Foreuse de Byregot et obtenir <hex:023313FF0A>EventItem<hex:02F61E8C0A020203>"
30,"TEXT_FESEVN101_02206_TODO_06","Parler à Iroha, à Ul'dah"
31,"TEXT_FESEVN101_02206_TODO_07","Se poster à l'endroit indiqué au lac d'Airain et réussir l'ALÉA"
32,"TEXT_FESEVN101_02206_TODO_08","Parler à Iroha, à Limsa Lominsa"
33,"TEXT_FESEVN101_02206_TODO_09","Parler à Remumu, au Dauphin noyé"
34,"TEXT_FESEVN101_02206_TODO_10",""
35,"TEXT_FESEVN101_02206_TODO_11",""
36,"TEXT_FESEVN101_02206_TODO_12",""
37,"TEXT_FESEVN101_02206_TODO_13",""
38,"TEXT_FESEVN101_02206_TODO_14",""
39,"TEXT_FESEVN101_02206_TODO_15",""
40,"TEXT_FESEVN101_02206_TODO_16",""
41,"TEXT_FESEVN101_02206_TODO_17",""
42,"TEXT_FESEVN101_02206_TODO_18",""
43,"TEXT_FESEVN101_02206_TODO_19",""
44,"TEXT_FESEVN101_02206_TODO_20",""
45,"TEXT_FESEVN101_02206_TODO_21",""
46,"TEXT_FESEVN101_02206_TODO_22",""
47,"TEXT_FESEVN101_02206_TODO_23",""
