key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_JOBREL101_02212_SEQ_00","<hex:024804F201F603><hex:024904F201F703>Règle spéciale<hex:021D0103>:  classe ou job fixe<hex:0249020103><hex:0248020103><hex:02100103>Ardashir est impatient à l'idée de se mettre au travail."
1,"TEXT_JOBREL101_02212_SEQ_01","* <hex:021A020203>Cette quête fait l'objet de la règle spéciale <hex:024804F201F603><hex:024904F201F703> classe ou job fixe<hex:0249020103><hex:0248020103>. Il n'est possible de progresser qu'avec la classe ou le job qui a servi à la commencer.<hex:021A020103><hex:02100103><hex:02100103>Pour donner naissance à un esprit synthétique, Ardashir aimerait que vous lui apportiez <hex:02330DFF05>Item<hex:02F23507020203> et <hex:02330DFF05>Item<hex:02F23508020203>. Rendez-vous au Glas des revenants et demandez à Rowena comment les obtenir."
2,"TEXT_JOBREL101_02212_SEQ_02","Rowena vous a appris comment obtenir <hex:02330DFF05>Item<hex:03F23507020203> et <hex:02330DFF05>Item<hex:03F23508020203> dont Ardashir a besoin. Allez vous adresser à Syndony, une spécialiste en gemmologie qui se trouve à la maison des splendeurs de Rowena."
3,"TEXT_JOBREL101_02212_SEQ_03","Syndony vous a confirmé pouvoir vous fournir <hex:02330DFF05>Item<hex:0AF23507020203> et <hex:02330DFF05>Item<hex:0AF23508020203> dont Ardashir a besoin, et elle vous a proposé un échange. Vous pouvez lui remettre, au choix, une arme du zodiaque zêta ou des assortiments de cristaux lumineux. Une fois la transaction terminée, retournez à l'Hélice pour apporter à Ardashir ce qu'il attend.<hex:02100103><hex:02100103>* Attention, si vous choisissez d'échanger une arme du zodiaque zêta, elle sera définitivement perdue.<hex:02100103><hex:02100103>* Vous pouvez parfois obtenir des cristaux lumineux en participant à des ALÉA aux endroits suivants<hex:021D0103>:<hex:02100103>- Azys Lla<hex:021D0103>: <hex:02330DFF05>Item<hex:0DF23503030203><hex:02100103>- L'Écume des cieux d'Abalathia<hex:021D0103>: <hex:02330DFF05>Item<hex:0DF23502030203><hex:02100103>- L'Écume des cieux de Dravania<hex:021D0103>: <hex:02330DFF05>Item<hex:0DF23505030203><hex:02100103>- Hautes terres du Coerthas occidental<hex:021D0103>: <hex:02330DFF05>Item<hex:0DF23501030203><hex:02100103>- Avant-pays dravanien<hex:021D0103>: <hex:02330DFF05>Item<hex:0DF23504030203><hex:02100103>- Arrière-pays dravanien<hex:021D0103>: <hex:02330DFF05>Item<hex:0DF23506030203><hex:02100103><hex:02100103>Apportez 1 <hex:02330DFF05>Item<hex:0DF23503020203>, 1 <hex:02330DFF05>Item<hex:0DF23502020203> et 1 <hex:02330DFF05>Item<hex:0DF23505020203> à Syndony pour obtenir <hex:02330DFF05>Item<hex:02F23507020203>.<hex:02100103>Apportez-lui 1 <hex:02330DFF05>Item<hex:0DF23501020203>, 1 <hex:02330DFF05>Item<hex:0DF23504020203> et 1 <hex:02330DFF05>Item<hex:0DF23506020203> pour obtenir <hex:02330DFF05>Item<hex:02F23508020203>."
4,"TEXT_JOBREL101_02212_SEQ_04","Vous avez apporté à Ardashir <hex:02330DFF05>Item<hex:03F23507020203> et <hex:02330DFF05>Item<hex:03F23508020203> qu'il vous avait demandés. Il a im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment créé un esprit synthétique grâce à une pierre d'âme, et Gerolt s'est chargé de l'incorporer à l'arme qu'il avait fabriquée, créant ainsi une arme anima. Cependant, le vieux forgeron vous a rappelé que le travail n'était pas terminé et qu'il fallait désormais que vous combattiez avec l'arme pour que l'esprit s'aguerrisse et se renforce. Prévenez Ardashir quand vous serez <hex:020812E905FF07>prête<hex:FF06>prêt<hex:03> à passer à l'étape suivante."
5,"TEXT_JOBREL101_02212_SEQ_05",""
6,"TEXT_JOBREL101_02212_SEQ_06",""
7,"TEXT_JOBREL101_02212_SEQ_07",""
8,"TEXT_JOBREL101_02212_SEQ_08",""
9,"TEXT_JOBREL101_02212_SEQ_09",""
10,"TEXT_JOBREL101_02212_SEQ_10",""
11,"TEXT_JOBREL101_02212_SEQ_11",""
12,"TEXT_JOBREL101_02212_SEQ_12",""
13,"TEXT_JOBREL101_02212_SEQ_13",""
14,"TEXT_JOBREL101_02212_SEQ_14",""
15,"TEXT_JOBREL101_02212_SEQ_15",""
16,"TEXT_JOBREL101_02212_SEQ_16",""
17,"TEXT_JOBREL101_02212_SEQ_17",""
18,"TEXT_JOBREL101_02212_SEQ_18",""
19,"TEXT_JOBREL101_02212_SEQ_19",""
20,"TEXT_JOBREL101_02212_SEQ_20",""
21,"TEXT_JOBREL101_02212_SEQ_21",""
22,"TEXT_JOBREL101_02212_SEQ_22",""
23,"TEXT_JOBREL101_02212_SEQ_23",""
24,"TEXT_JOBREL101_02212_TODO_00","Parler à Rowena, au Glas des revenants"
25,"TEXT_JOBREL101_02212_TODO_01","Parler à Syndony"
26,"TEXT_JOBREL101_02212_TODO_02","Apporter <hex:02330DFF05>Item<hex:02F23507020203> et <hex:02330DFF05>Item<hex:02F23508020203> à Ardashir, à l'Hélice"
27,"TEXT_JOBREL101_02212_TODO_03",""
28,"TEXT_JOBREL101_02212_TODO_04",""
29,"TEXT_JOBREL101_02212_TODO_05",""
30,"TEXT_JOBREL101_02212_TODO_06",""
31,"TEXT_JOBREL101_02212_TODO_07",""
32,"TEXT_JOBREL101_02212_TODO_08",""
33,"TEXT_JOBREL101_02212_TODO_09",""
34,"TEXT_JOBREL101_02212_TODO_10",""
35,"TEXT_JOBREL101_02212_TODO_11",""
36,"TEXT_JOBREL101_02212_TODO_12",""
37,"TEXT_JOBREL101_02212_TODO_13",""
38,"TEXT_JOBREL101_02212_TODO_14",""
39,"TEXT_JOBREL101_02212_TODO_15",""
40,"TEXT_JOBREL101_02212_TODO_16",""
41,"TEXT_JOBREL101_02212_TODO_17",""
42,"TEXT_JOBREL101_02212_TODO_18",""
43,"TEXT_JOBREL101_02212_TODO_19",""
44,"TEXT_JOBREL101_02212_TODO_20",""
45,"TEXT_JOBREL101_02212_TODO_21",""
46,"TEXT_JOBREL101_02212_TODO_22",""
47,"TEXT_JOBREL101_02212_TODO_23",""
