key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_JOBRDM560_02580_SEQ_00","X'rhun s'inquiète du bon réta<hex:02160103>blis<hex:02160103>se<hex:02160103>ment d'Arya."
1,"TEXT_JOBRDM560_02580_SEQ_01","Bien qu'Aria se porte beaucoup mieux sur le plan physique, il semblerait que ses souvenirs tardent à lui revenir. X'rhun pense que le grand air pourrait lui rafraîchir la mémoire, aussi vous demande-t-il de l'accompagner, le temps d'une balade en extérieur. Parlez à Arya, à l'auberge."
2,"TEXT_JOBRDM560_02580_SEQ_02","Arya s'est réjouie de votre proposition. Conformément à son choix, retrouvez-la en haut des fortifications de Port-aux-Ales, là où la vue est, paraît-il, splendide."
3,"TEXT_JOBRDM560_02580_SEQ_03","Vous avez partagé un moment privilégié avec Arya, dont la vue du paysage portuaire a fait remonter un douloureux souvenir à la surface. Après ce bol d'air salutaire, revenez à l'auberge pour parler à X'rhun."
4,"TEXT_JOBRDM560_02580_SEQ_04","D'après les ren<hex:02160103>sei<hex:02160103>gne<hex:02160103>ments glanés par X'rhun auprès des casaques jaunes, Arya avait pour seule famille un oncle, qu'elle a perdu lors de l'attaque qui a conduit à son enlèvement. Suite à cette terrible nouvelle, la jeune fille a souhaité vous accompagner dans vos pérégrinations, en dépit des quelques réticences initiales de votre maître. Par ailleurs, elle s'est souvenue que ses ravisseurs avaient prévu de se réunir aux îles d'Ombra. Rejoignez-y X'rhun, une fois que vous serez <hex:020812E905FF07>parée<hex:FF06>paré<hex:03> à en découdre...<hex:02100103>Pour avoir accès aux îles d'Ombra, vous devez avoir accepté la quête de l'épopée “En route pour les îles d'Ombra”."
5,"TEXT_JOBRDM560_02580_SEQ_05","Arya avait vu juste<hex:021D0103>: les îles d'Ombra pullulaient d'assassins déterminés à vous éliminer au point d'offrir leur vie pour invoquer un être obscur. Heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, vous vous en êtes sortis grâce à un travail d'équipe exemplaire. Il ne vous reste plus qu'à tenter de débusquer leur chef. Parlez à X'rhun Tia, au cimetière de bateaux."
6,"TEXT_JOBRDM560_02580_SEQ_06","Vous vous êtes enfin <hex:02081AE905FF0B>retrouvée<hex:FF0A>retrouvé<hex:03> face à face avec le chef des assassins, un dénommé Lambard que X'rhun a im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment identifié comme l'un de ses anciens camarades de l'Ouragan pourpre. Alors que les deux hommes étaient sur le point d'en venir aux mains, une énorme boule de feu lancée contre toute attente par Arya a forcé votre ennemi à battre en retraite. Suite à ces amères retrouvailles, rentrez à Port-aux-Ales et écoutez ce que X'rhun a à vous dire."
7,"TEXT_JOBRDM560_02580_SEQ_07","X'rhun vous a conté la tragique histoire de l'Ouragan pourpre, qui a vu tous ses membres assassinés par le traître Lambard à la veille de l'invasion garlemaldaise. Alors qu'il était l'un des meilleurs amis du mage rouge, Lambard a un beau jour retourné sa veste en faveur de l'Empire pour des raisons obscures, avant de disparaître de la circulation. Sa réapparition soudaine a ravivé la flamme de la vengeance chez X'rhun. Cependant, le mage rouge a suggéré qu'Arya et vous restiez à l'écart, affaire personnelle oblige. Allez le voir, près du relais à chocobos de Port-aux-Ales, et faites-lui part de votre intention de ne pas en rester là."
8,"TEXT_JOBRDM560_02580_SEQ_08","Conscient des risques mais touché par votre détermination, X'rhun a accepté qu'Arya et vous l'accompagniez dans sa quête de vengeance. La jeune femme a quant à elle pris la décision de devenir à son tour mage rouge, et de cultiver ainsi son talent inné pour les arts occultes. La prochaine confrontation avec Lambard s'annonce plus explosive que jamais...<hex:02100103>* X'rhun Tia propose la prochaine quête aux mages rouges de niveau 58."
9,"TEXT_JOBRDM560_02580_SEQ_09",""
10,"TEXT_JOBRDM560_02580_SEQ_10",""
11,"TEXT_JOBRDM560_02580_SEQ_11",""
12,"TEXT_JOBRDM560_02580_SEQ_12",""
13,"TEXT_JOBRDM560_02580_SEQ_13",""
14,"TEXT_JOBRDM560_02580_SEQ_14",""
15,"TEXT_JOBRDM560_02580_SEQ_15",""
16,"TEXT_JOBRDM560_02580_SEQ_16",""
17,"TEXT_JOBRDM560_02580_SEQ_17",""
18,"TEXT_JOBRDM560_02580_SEQ_18",""
19,"TEXT_JOBRDM560_02580_SEQ_19",""
20,"TEXT_JOBRDM560_02580_SEQ_20",""
21,"TEXT_JOBRDM560_02580_SEQ_21",""
22,"TEXT_JOBRDM560_02580_SEQ_22",""
23,"TEXT_JOBRDM560_02580_SEQ_23",""
24,"TEXT_JOBRDM560_02580_TODO_00","Parler à Arya"
25,"TEXT_JOBRDM560_02580_TODO_01","Reparler à Arya"
26,"TEXT_JOBRDM560_02580_TODO_02","Rejoindre X'rhun Tia"
27,"TEXT_JOBRDM560_02580_TODO_03","Rejoindre X'rhun Tia aux îles d'Ombra"
28,"TEXT_JOBRDM560_02580_TODO_04","Parler à X'rhun Tia"
29,"TEXT_JOBRDM560_02580_TODO_05","Rejoindre X'rhun Tia à Port-aux-Ales"
30,"TEXT_JOBRDM560_02580_TODO_06","Parler à X'rhun Tia"
31,"TEXT_JOBRDM560_02580_TODO_07",""
32,"TEXT_JOBRDM560_02580_TODO_08",""
33,"TEXT_JOBRDM560_02580_TODO_09",""
34,"TEXT_JOBRDM560_02580_TODO_10",""
35,"TEXT_JOBRDM560_02580_TODO_11",""
36,"TEXT_JOBRDM560_02580_TODO_12",""
37,"TEXT_JOBRDM560_02580_TODO_13",""
38,"TEXT_JOBRDM560_02580_TODO_14",""
39,"TEXT_JOBRDM560_02580_TODO_15",""
40,"TEXT_JOBRDM560_02580_TODO_16",""
41,"TEXT_JOBRDM560_02580_TODO_17",""
42,"TEXT_JOBRDM560_02580_TODO_18",""
43,"TEXT_JOBRDM560_02580_TODO_19",""
44,"TEXT_JOBRDM560_02580_TODO_20",""
45,"TEXT_JOBRDM560_02580_TODO_21",""
46,"TEXT_JOBRDM560_02580_TODO_22",""
47,"TEXT_JOBRDM560_02580_TODO_23",""
48,"TEXT_JOBRDM560_02580_SYSTEM_000_000","Arya dort paisiblement..."
49,"TEXT_JOBRDM560_02580_XRHUNTIA_000_030","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, j'ai une mauvaise nouvelle... C'est à propos d'Arya<hex:021D0103>: je ne sais pas quel poison ils ont utilisé sur elle, mais il est plus puissant que je croyais... Sa mémoire n'a pas l'air de vouloir revenir, et je commence à me demander si elle ne va pas rester amnésique à vie..."
50,"TEXT_JOBRDM560_02580_XRHUNTIA_000_031","Pour autant, il est encore trop tôt pour baisser les bras. On pourrait l'emmener faire un tour ici et là pour stimuler sa mémoire... Il paraît que ça marche. Enfin, si tu veux bien t'y coller<hex:021D0103>; moi, j'ai l'impression que je lui fais peur..."
