key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_STMBDB108_02969_SEQ_00","Le cerveau de Nanamo est en ébullition."
1,"TEXT_STMBDB108_02969_SEQ_01",""
2,"TEXT_STMBDB108_02969_SEQ_02",""
3,"TEXT_STMBDB108_02969_SEQ_03",""
4,"TEXT_STMBDB108_02969_SEQ_04",""
5,"TEXT_STMBDB108_02969_SEQ_05",""
6,"TEXT_STMBDB108_02969_SEQ_06",""
7,"TEXT_STMBDB108_02969_SEQ_07",""
8,"TEXT_STMBDB108_02969_SEQ_08",""
9,"TEXT_STMBDB108_02969_SEQ_09",""
10,"TEXT_STMBDB108_02969_SEQ_10",""
11,"TEXT_STMBDB108_02969_SEQ_11",""
12,"TEXT_STMBDB108_02969_SEQ_12",""
13,"TEXT_STMBDB108_02969_SEQ_13",""
14,"TEXT_STMBDB108_02969_SEQ_14",""
15,"TEXT_STMBDB108_02969_SEQ_15",""
16,"TEXT_STMBDB108_02969_SEQ_16",""
17,"TEXT_STMBDB108_02969_SEQ_17",""
18,"TEXT_STMBDB108_02969_SEQ_18",""
19,"TEXT_STMBDB108_02969_SEQ_19",""
20,"TEXT_STMBDB108_02969_SEQ_20",""
21,"TEXT_STMBDB108_02969_SEQ_21",""
22,"TEXT_STMBDB108_02969_SEQ_22",""
23,"TEXT_STMBDB108_02969_SEQ_23",""
24,"TEXT_STMBDB108_02969_TODO_00","Parler à Hancock, à Kugane"
25,"TEXT_STMBDB108_02969_TODO_01","Parler à Nanamo, à Ul'dah"
26,"TEXT_STMBDB108_02969_TODO_02","Parler à Nanamo, au Refuge des sables"
27,"TEXT_STMBDB108_02969_TODO_03","Reparler à Nanamo"
28,"TEXT_STMBDB108_02969_TODO_04",""
29,"TEXT_STMBDB108_02969_TODO_05",""
30,"TEXT_STMBDB108_02969_TODO_06",""
31,"TEXT_STMBDB108_02969_TODO_07",""
32,"TEXT_STMBDB108_02969_TODO_08",""
33,"TEXT_STMBDB108_02969_TODO_09",""
34,"TEXT_STMBDB108_02969_TODO_10",""
35,"TEXT_STMBDB108_02969_TODO_11",""
36,"TEXT_STMBDB108_02969_TODO_12",""
37,"TEXT_STMBDB108_02969_TODO_13",""
38,"TEXT_STMBDB108_02969_TODO_14",""
39,"TEXT_STMBDB108_02969_TODO_15",""
40,"TEXT_STMBDB108_02969_TODO_16",""
41,"TEXT_STMBDB108_02969_TODO_17",""
42,"TEXT_STMBDB108_02969_TODO_18",""
43,"TEXT_STMBDB108_02969_TODO_19",""
44,"TEXT_STMBDB108_02969_TODO_20",""
45,"TEXT_STMBDB108_02969_TODO_21",""
46,"TEXT_STMBDB108_02969_TODO_22",""
47,"TEXT_STMBDB108_02969_TODO_23",""
48,"TEXT_STMBDB108_02969_NANAMOULNAMO_000_001","Quelque chose de bénéfique à Ul'dah... Je me rends compte à quel point j'ai été naïve."
49,"TEXT_STMBDB108_02969_NANAMOULNAMO_000_002","Mais rien ne sert de me lamenter sur mon manque d'expérience. Je dois apprendre petit à petit<hex:021D0103>!"
50,"TEXT_STMBDB108_02969_NANAMOULNAMO_000_003","Au fait, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, n'as-tu pas des marchands parmi tes con<hex:02160103>nais<hex:02160103>san<hex:02160103>ces<hex:021D0103>? C'est exactement le genre de personne qui saurait me dire comment faire en sorte que mon projet génère des profits."
51,"TEXT_STMBDB108_02969_NANAMOULNAMO_000_004","Le tabellion de la Firme du commerce de l'Aldenard oriental à Kugane, dis-tu<hex:021D0103>? Ce Hancock pourrait avoir le savoir et les compétences qui me manquent, en effet. Son aide me serait très précieuse..."
52,"TEXT_STMBDB108_02969_NANAMOULNAMO_000_005","Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, il m'est impossible d'aller à l'étranger. Je suis désolée de te demander ça, mais pourrais-tu le contacter de ma part, s'il te plaît<hex:021D0103>? Nous n'aurons qu'à nous retrouver près de la place de l'Éthérite d'Ul'dah ensuite. À plus tard, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>!"
53,"TEXT_STMBDB108_02969_HANCOCK_000_010","Oh, quel plaisir de vous revoir, <hex:020818E905FF0A>ma chère<hex:FF09>mon cher<hex:03> <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>. Dites-moi, quel bon vent vous amène<hex:021D0103>?"
54,"TEXT_STMBDB108_02969_HANCOCK_000_011","Comment<hex:021D0103>? Sa Majesté Nanamo souhaite que je lui donne des conseils<hex:021D0103>?"
55,"TEXT_STMBDB108_02969_HANCOCK_000_012","C'est un grand honneur, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, mais je crains que la Sultane ne se trompe d'interlocuteur<hex:021D0103>!"
56,"TEXT_STMBDB108_02969_HANCOCK_000_013","Je n'ai que très peu d'importance, voyez-vous, et à mon avis, notre président, le seigneur Lolorito, est assurément la personne la mieux placée pour répondre à toutes les interrogations de Sa Majesté. Ce n'est pas pour rien qu'on le surnomme “le milliardaire”<hex:021D0103>!"
57,"TEXT_STMBDB108_02969_HANCOCK_000_014","Je vais me charger de le contacter pour vous et d'arranger un rendez-vous... hmmm, disons aux locaux des Héritiers dans le Thanalan<hex:021D0103>! J'espère que la Sultane et vous-même obtiendrez ce que vous souhaitez de cet échange<hex:021D0103>! Je suis de tout cœur avec vous, en tout cas<hex:021D0103>!"
58,"TEXT_STMBDB108_02969_HANCOCK_000_015","Si la Sultane souhaite faire de son projet une affaire profitable, elle a tout intérêt à faire du seigneur Lolorito son allié<hex:021D0103>! Quoi qu'il en soit, toute cette histoire m'a l'air pas<hex:02160103>sion<hex:02160103>nan<hex:02160103>te<hex:021D0103>! Je suis de tout cœur avec vous<hex:021D0103>!"
59,"TEXT_STMBDB108_02969_NANAMOULNAMO_000_020","Ah, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! J'attendais ton retour avec impatience<hex:021D0103>! As-tu réussi à obtenir l'aide de Hancock<hex:021D0103>?"
60,"TEXT_STMBDB108_02969_NANAMOULNAMO_000_021","Comment<hex:021D0103>!? Demander conseil au seigneur Lolorito<hex:021D0103>!?"
61,"TEXT_STMBDB108_02969_NANAMOULNAMO_000_022","Il n'y a en effet personne de plus compétent que lui pour m'aider dans mon projet... Mais c'est également le chef de file des monétaristes..."
62,"TEXT_STMBDB108_02969_NANAMOULNAMO_000_023","Mais qu'est-ce que je raconte<hex:021D0103>!? Si je veux assumer pleinement mon rôle de sultane, je dois absolument savoir traiter habilement avec des gens comme Lolorito<hex:021D0103>!"
