key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_BANANA006_03041_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>Règle spéciale<hex:021D0103>:  synchronisation de quête avec limitation de job ou de classe<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Alpa est impatiente de vous revoir."
1,"TEXT_BANANA006_03041_SEQ_01","* <hex:021A020203>Cette quête est <hex:024804F201FC03><hex:024904F201FD03> synchronisée<hex:0249020103><hex:0248020103> avec votre niveau.<hex:021A020103><hex:02100103>* <hex:021A020203>Il n'est possible de progresser dans cette quête qu'avec la classe ou le job qui a servi à la commencer.<hex:021A020103> <hex:02100103><hex:02100103>Alpa veut organiser une fête en l'honneur de tous ceux qui ont collaboré avec les garde-frontières de la Velodyna. Elle vous a donné <hex:023313FF0A>EventItem<hex:02F61E8DFE030203> à remettre en main propre à M'zhet Tia aux Rochers d'aguet et à Tahla Molkoh à Castrum Oriens. Rendez-leur visite."
2,"TEXT_BANANA006_03041_SEQ_02","Vous avez fait passer le message aux invités d'honneur du banquet. Retournez à Castellum Velodyna et faites votre rapport à Alpa."
3,"TEXT_BANANA006_03041_SEQ_03","La capitaine vous a indiqué qu'il y avait eu du grabuge près du poste. Allez voir ce qui se passe et parlez à Alpa."
4,"TEXT_BANANA006_03041_SEQ_04","Un voyageur s'étant fait attaquer par des monstres, Alpa a décidé de mettre tous les éléments de sa troupe à con<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion pour éliminer la menace sans vous demander votre aide. Maintenant qu'elle s'est acquittée de sa tâche avec brio, parlez-lui à nouveau."
5,"TEXT_BANANA006_03041_SEQ_05","Les garde-frontières de la Velodyna sont devenus une véritable unité d'élite, et Alpa est fière d'avoir réussi à rassembler des gens d'horizons aussi différents autour d'une cause commune. Soudés par une amitié indestructible et par la volonté de défendre leur patrie d'Ala Mhigo, plus rien ne peut les arrêter<hex:021D0103>!"
6,"TEXT_BANANA006_03041_SEQ_06",""
7,"TEXT_BANANA006_03041_SEQ_07",""
8,"TEXT_BANANA006_03041_SEQ_08",""
9,"TEXT_BANANA006_03041_SEQ_09",""
10,"TEXT_BANANA006_03041_SEQ_10",""
11,"TEXT_BANANA006_03041_SEQ_11",""
12,"TEXT_BANANA006_03041_SEQ_12",""
13,"TEXT_BANANA006_03041_SEQ_13",""
14,"TEXT_BANANA006_03041_SEQ_14",""
15,"TEXT_BANANA006_03041_SEQ_15",""
16,"TEXT_BANANA006_03041_SEQ_16",""
17,"TEXT_BANANA006_03041_SEQ_17",""
18,"TEXT_BANANA006_03041_SEQ_18",""
19,"TEXT_BANANA006_03041_SEQ_19",""
20,"TEXT_BANANA006_03041_SEQ_20",""
21,"TEXT_BANANA006_03041_SEQ_21",""
22,"TEXT_BANANA006_03041_SEQ_22",""
23,"TEXT_BANANA006_03041_SEQ_23",""
24,"TEXT_BANANA006_03041_TODO_00","Donner <hex:023313FF0A>EventItem<hex:03F61E8DFE020203> à M'zhet Tia, aux Rochers d'aguet"
25,"TEXT_BANANA006_03041_TODO_01","Donner <hex:023313FF0A>EventItem<hex:03F61E8DFE020203> à Tahla Molkoh, à Castrum Oriens"
26,"TEXT_BANANA006_03041_TODO_02","Faire un rapport à Alpa, à Castellum Velodyna"
27,"TEXT_BANANA006_03041_TODO_03","Parler à Alpa"
28,"TEXT_BANANA006_03041_TODO_04","Reparler à Alpa"
29,"TEXT_BANANA006_03041_TODO_05",""
30,"TEXT_BANANA006_03041_TODO_06",""
31,"TEXT_BANANA006_03041_TODO_07",""
32,"TEXT_BANANA006_03041_TODO_08",""
33,"TEXT_BANANA006_03041_TODO_09",""
34,"TEXT_BANANA006_03041_TODO_10",""
35,"TEXT_BANANA006_03041_TODO_11",""
36,"TEXT_BANANA006_03041_TODO_12",""
37,"TEXT_BANANA006_03041_TODO_13",""
38,"TEXT_BANANA006_03041_TODO_14",""
39,"TEXT_BANANA006_03041_TODO_15",""
40,"TEXT_BANANA006_03041_TODO_16",""
41,"TEXT_BANANA006_03041_TODO_17",""
42,"TEXT_BANANA006_03041_TODO_18",""
43,"TEXT_BANANA006_03041_TODO_19",""
44,"TEXT_BANANA006_03041_TODO_20",""
45,"TEXT_BANANA006_03041_TODO_21",""
46,"TEXT_BANANA006_03041_TODO_22",""
47,"TEXT_BANANA006_03041_TODO_23",""
48,"TEXT_BANANA006_03041_ALPA_100_001","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, vous voilà enfin<hex:021D0103>! Ssss..."
49,"TEXT_BANANA006_03041_ALPA_200_001","Gales<hex:021D0103>! Venez par ici, je vous prie<hex:021D0103>! Ssss..."
50,"TEXT_BANANA006_03041_ALPA_000_001","... Bien, on dirait que tout le monde est là. Ssss..."
51,"TEXT_BANANA006_03041_ALPA_000_002","Je suis bien contente de vous voir, car figurez-vous que j'ai prévu d'organiser une petite fête en l'honneur de tous ceux qui ont contribué à faire des garde-frontières de la Velodyna ce que nous sommes aujourd'hui. Dont vous tous, bien sûr<hex:021D0103>! Ssss..."
52,"TEXT_BANANA006_03041_ALPA_100_002","Gales, je compte sur vous pour nous préparer vos meilleures spécialités, d'accord<hex:021D0103>? Ssss..."
53,"TEXT_BANANA006_03041_GALES_000_005","Bien reçu, Capitaine<hex:021D0103>! Je vais me mettre aux fourneaux de ce pas<hex:021D0103>!"
54,"TEXT_BANANA006_03041_ALPA_200_002","Quant à vous, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, j'aimerais vous demander un petit service, si ça ne vous dérange pas trop. Cela concerne deux de nos alliés les plus dévoués. Ssss..."
55,"TEXT_BANANA006_03041_ALPA_000_003","J'ai envie d'une célébration dans les règles de l'art, et j'aimerais donc que vous portiez une invitation à M'zhet Tia aux Rochers d'aguet, ainsi qu'à Tahla Molkoh à Castrum Oriens. Ssss..."
56,"TEXT_BANANA006_03041_ALPA_000_004","Pendant ce temps-là, mes camarades et moi nous chargerons des préparatifs en bonne et due forme. À tout à l'heure<hex:021D0103>! Ssss..."
57,"TEXT_BANANA006_03041_MZHETTIA_000_010","Maître<hex:021D0103>! Comme ça me fait chaud au cœurrr de vous revoir<hex:021D0103>!"
58,"TEXT_BANANA006_03041_MZHETTIA_000_011","... Alpa organise une fête<hex:021D0103>? C'est vraiment très gentil de sa parrrt de m'inviter<hex:021D0103>!"
59,"TEXT_BANANA006_03041_MZHETTIA_000_012","Il va sans dire que j'accepte avec grand plaisirrr<hex:021D0103>! Laissez-moi me faire beau et je vous retrouverai sur place dès que possible."
