key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_SUBCTS620_03139_SEQ_00","Cet émissaire kojin semble chercher quelqu'un du regard..."
1,"TEXT_SUBCTS620_03139_SEQ_01",""
2,"TEXT_SUBCTS620_03139_SEQ_02",""
3,"TEXT_SUBCTS620_03139_SEQ_03",""
4,"TEXT_SUBCTS620_03139_SEQ_04",""
5,"TEXT_SUBCTS620_03139_SEQ_05",""
6,"TEXT_SUBCTS620_03139_SEQ_06",""
7,"TEXT_SUBCTS620_03139_SEQ_07",""
8,"TEXT_SUBCTS620_03139_SEQ_08",""
9,"TEXT_SUBCTS620_03139_SEQ_09",""
10,"TEXT_SUBCTS620_03139_SEQ_10",""
11,"TEXT_SUBCTS620_03139_SEQ_11",""
12,"TEXT_SUBCTS620_03139_SEQ_12",""
13,"TEXT_SUBCTS620_03139_SEQ_13",""
14,"TEXT_SUBCTS620_03139_SEQ_14",""
15,"TEXT_SUBCTS620_03139_SEQ_15",""
16,"TEXT_SUBCTS620_03139_SEQ_16",""
17,"TEXT_SUBCTS620_03139_SEQ_17",""
18,"TEXT_SUBCTS620_03139_SEQ_18",""
19,"TEXT_SUBCTS620_03139_SEQ_19",""
20,"TEXT_SUBCTS620_03139_SEQ_20",""
21,"TEXT_SUBCTS620_03139_SEQ_21",""
22,"TEXT_SUBCTS620_03139_SEQ_22",""
23,"TEXT_SUBCTS620_03139_SEQ_23",""
24,"TEXT_SUBCTS620_03139_TODO_00","Parler à la damoiselle orientale, à Tamamizu"
25,"TEXT_SUBCTS620_03139_TODO_01",""
26,"TEXT_SUBCTS620_03139_TODO_02",""
27,"TEXT_SUBCTS620_03139_TODO_03",""
28,"TEXT_SUBCTS620_03139_TODO_04",""
29,"TEXT_SUBCTS620_03139_TODO_05",""
30,"TEXT_SUBCTS620_03139_TODO_06",""
31,"TEXT_SUBCTS620_03139_TODO_07",""
32,"TEXT_SUBCTS620_03139_TODO_08",""
33,"TEXT_SUBCTS620_03139_TODO_09",""
34,"TEXT_SUBCTS620_03139_TODO_10",""
35,"TEXT_SUBCTS620_03139_TODO_11",""
36,"TEXT_SUBCTS620_03139_TODO_12",""
37,"TEXT_SUBCTS620_03139_TODO_13",""
38,"TEXT_SUBCTS620_03139_TODO_14",""
39,"TEXT_SUBCTS620_03139_TODO_15",""
40,"TEXT_SUBCTS620_03139_TODO_16",""
41,"TEXT_SUBCTS620_03139_TODO_17",""
42,"TEXT_SUBCTS620_03139_TODO_18",""
43,"TEXT_SUBCTS620_03139_TODO_19",""
44,"TEXT_SUBCTS620_03139_TODO_20",""
45,"TEXT_SUBCTS620_03139_TODO_21",""
46,"TEXT_SUBCTS620_03139_TODO_22",""
47,"TEXT_SUBCTS620_03139_TODO_23",""
48,"TEXT_SUBCTS620_03139_KOUJIN03139_000_000","Ohéééé... Vous dégagez une aura différente des gens d'iciiii. Vous ne seriez pas <hex:02082DE905FF17>une aventurièèèère<hex:FF11>un aventurieeeer<hex:03><hex:021D0103>? Vous ne connaîtriez pas <hex:02081DE905FF0D>une certaine<hex:FF0B>un certain<hex:03> “<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>”, par hasaaaard<hex:021D0103>?"
49,"TEXT_SUBCTS620_03139_KOUJIN03139_000_001","Ooooh, j'en ai de la chaaaance<hex:021D0103>! C'est une jeune damoiselle orientale du Palais aux Marées violettes qui m'envoiiiie... J'ai oublié son noooom. En tout cas, elle vous cherchaiiiit."
50,"TEXT_SUBCTS620_03139_KOUJIN03139_000_002","Les Kojin, auxquels j'appartiens, prêtent fréquemment main-forte à la tribu aoranne des Sui, mais les choses ne sont pas si faciles cette fois-ciiii."
51,"TEXT_SUBCTS620_03139_KOUJIN03139_000_003","C'est pour ça que cette damoiselle orientale a conseillé que nous ayons recours à vos serviiiices. Ce serait vraiment très aimable de votre part d'aller la rejoindre à Tamamizuuuu."
52,"TEXT_SUBCTS620_03139_KOUJIN03139_000_010","La damoiselle aoranne qui m'a demandé de vous joindre se trouve à Tamamizuuuu. Essayez de ne pas trop la faire atteeeendre."
53,"TEXT_SUBCTS620_03139_SANANA_000_020","De larges épaules, un air assuré, des biscoteaux qui font rêver... Me dis rien, t'es <hex:020824E905FF11>une aventurière<hex:FF0E>un aventurier<hex:03>. Je dirais même plus, t'es <hex:02080BE905FF03>la<hex:FF03>le<hex:03> tant attendu<hex:020808E905FF02>e<hex:FF01><hex:03> “<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>”...<hex:021D0103>!"
54,"TEXT_SUBCTS620_03139_KURENAI_000_050","Je suis si heureuse de vous revoir<hex:021D0103>! Je craignais que vous ayez mieux à faire..."
55,"TEXT_SUBCTS620_03139_KURENAI_000_051","Je lis le doute sur votre visage. Je suppose que vous ne savez pas si vous vous trouvez en présence de Hisui ou de Kurenai...<hex:021D0103>? Je sais que ma tenue n'est pas celle de mon rang, mais je suis bel et bien la Princesse de Rubis."
56,"TEXT_SUBCTS620_03139_Q1_000_000","Que dites-vous<hex:021D0103>?"
57,"TEXT_SUBCTS620_03139_A1_000_001","Vous faites un peu de tourisme<hex:021D0103>?"
58,"TEXT_SUBCTS620_03139_A1_000_002","Vous ne devriez pas être au palais, en train de régner<hex:021D0103>?"
59,"TEXT_SUBCTS620_03139_KURENAI_000_060","À vrai dire, c'est avec une idée derrière la tête que je suis venue voir les Kojin. J'aimerais qu'un grand changement s'opère à Sui-no-Sato... Je voudrais que l'on s'ouvre enfin au monde<hex:021D0103>!"
60,"TEXT_SUBCTS620_03139_KURENAI_000_070","Vous savez bien que je n'ai pas peur de braver les interdits et que je n'ai aucun mal à quitter cet endroit dis<hex:02160103>crè<hex:02160103>te<hex:02160103>ment... C'est d'ailleurs dans l'intérêt des miens si je suis ici, car j'aimerais qu'un grand changement s'opère à Sui-no-Sato... Je voudrais que l'on s'ouvre enfin au monde."
61,"TEXT_SUBCTS620_03139_KURENAI_000_080","C'est vous qui m'avez ouvert les yeux. C'est grâce à vous si j'ai eu accès au savoir et à tout ce qui se trouve hors du village. Je suis allée de surprise en surprise et j'ai compris l'intérêt que nous aurions à changer."
62,"TEXT_SUBCTS620_03139_KURENAI_000_081","Or, Sui-no-Sato a coupé le contact avec la surface. Si certaines voies d'échange existaient avec Doma avant que les Garlemaldais ne l'envahissent, elles ont disparu aujourd'hui et nous n'obtenons le nécessaire qu'en le faisant importer depuis Tamamizu."
63,"TEXT_SUBCTS620_03139_KURENAI_000_082","Mais pourquoi devrions-nous encore interdire toute interaction, maintenant que l'ombre de Garlemald a disparu<hex:021D0103>? Si ça ne tenait qu'à moi, nous rouvririons les portes<hex:021D0103>! Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, les choses ne sont pas si simples..."
