key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_LUCKMA102_03280_SEQ_00","L'exarque du Cristal est perdu dans ses pensées."
1,"TEXT_LUCKMA102_03280_SEQ_01",""
2,"TEXT_LUCKMA102_03280_SEQ_02",""
3,"TEXT_LUCKMA102_03280_SEQ_03",""
4,"TEXT_LUCKMA102_03280_SEQ_04",""
5,"TEXT_LUCKMA102_03280_SEQ_05",""
6,"TEXT_LUCKMA102_03280_SEQ_06",""
7,"TEXT_LUCKMA102_03280_SEQ_07",""
8,"TEXT_LUCKMA102_03280_SEQ_08",""
9,"TEXT_LUCKMA102_03280_SEQ_09",""
10,"TEXT_LUCKMA102_03280_SEQ_10",""
11,"TEXT_LUCKMA102_03280_SEQ_11",""
12,"TEXT_LUCKMA102_03280_SEQ_12",""
13,"TEXT_LUCKMA102_03280_SEQ_13",""
14,"TEXT_LUCKMA102_03280_SEQ_14",""
15,"TEXT_LUCKMA102_03280_SEQ_15",""
16,"TEXT_LUCKMA102_03280_SEQ_16",""
17,"TEXT_LUCKMA102_03280_SEQ_17",""
18,"TEXT_LUCKMA102_03280_SEQ_18",""
19,"TEXT_LUCKMA102_03280_SEQ_19",""
20,"TEXT_LUCKMA102_03280_SEQ_20",""
21,"TEXT_LUCKMA102_03280_SEQ_21",""
22,"TEXT_LUCKMA102_03280_SEQ_22",""
23,"TEXT_LUCKMA102_03280_SEQ_23",""
24,"TEXT_LUCKMA102_03280_TODO_00","S'harmoniser avec l'éthérite de Cristarium"
25,"TEXT_LUCKMA102_03280_TODO_01","Parler à Katliss, à la halle du Juste"
26,"TEXT_LUCKMA102_03280_TODO_02","Parler à Moren, au cabinet de curiosités"
27,"TEXT_LUCKMA102_03280_TODO_03","Parler à Bragi, à Musica Universalis"
28,"TEXT_LUCKMA102_03280_TODO_04","Parler à l'exarque du Cristal, sur la place de l'Exedra"
29,"TEXT_LUCKMA102_03280_TODO_05",""
30,"TEXT_LUCKMA102_03280_TODO_06",""
31,"TEXT_LUCKMA102_03280_TODO_07",""
32,"TEXT_LUCKMA102_03280_TODO_08",""
33,"TEXT_LUCKMA102_03280_TODO_09",""
34,"TEXT_LUCKMA102_03280_TODO_10",""
35,"TEXT_LUCKMA102_03280_TODO_11",""
36,"TEXT_LUCKMA102_03280_TODO_12",""
37,"TEXT_LUCKMA102_03280_TODO_13",""
38,"TEXT_LUCKMA102_03280_TODO_14",""
39,"TEXT_LUCKMA102_03280_TODO_15",""
40,"TEXT_LUCKMA102_03280_TODO_16",""
41,"TEXT_LUCKMA102_03280_TODO_17",""
42,"TEXT_LUCKMA102_03280_TODO_18",""
43,"TEXT_LUCKMA102_03280_TODO_19",""
44,"TEXT_LUCKMA102_03280_TODO_20",""
45,"TEXT_LUCKMA102_03280_TODO_21",""
46,"TEXT_LUCKMA102_03280_TODO_22",""
47,"TEXT_LUCKMA102_03280_TODO_23",""
48,"TEXT_LUCKMA102_03280_GARLONDMAN03279_100_000","Je suis chargé de veiller sur le dispositif que vous avez découvert. Voulez-vous l'utiliser<hex:021D0103>?"
49,"TEXT_LUCKMA102_03280_Q0_100_000","Toucher le dispositif et aller dans le premier reflet<hex:021D0103>?"
50,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_000","Une discussion privée dans mes quartiers semble s'imposer, mais avant ça..."
51,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_001","Je pense qu'une petite visite des lieux te permettrait d'avoir une meilleure idée de la situation et fa<hex:02160103>ci<hex:02160103>li<hex:02160103>te<hex:02160103>rait notre con<hex:02160103>ver<hex:02160103>sa<hex:02160103>tion."
52,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_002","J'aimerais que tu ailles trouver les personnes en charge des principales ins<hex:02160103>tal<hex:02160103>la<hex:02160103>tions de Cristarium pour en savoir plus au sujet de ce monde et du mal qui l'atteint."
53,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_003","Ah, j'allais oublier<hex:021D0103>! Cette voie te mènera directement à l'éthérite, une commodité à laquelle tu es sûrement bien <hex:020818E905FF0A>habituée<hex:FF09>habitué<hex:03>."
54,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_004","Si, comme je le pense, je t'ai <hex:020818E905FF0A>invoquée<hex:FF09>invoqué<hex:03> cor<hex:02160103>rec<hex:02160103>te<hex:02160103>ment, tu ne devrais avoir aucune difficulté à remonter ta trace éthérée pour trouver une connexion avec le monde primitif."
55,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_005","Je te recommande <hex:021A020203>fortement<hex:021A020103> de t'harmoniser im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment, avant même de t'atteler à la tâche que je t'ai confiée."
56,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_006","Très bien, continuons. Les escaliers sur la gauche de l'éthérite te mèneront à la halle du Juste. Là-bas, tu pourras trouver nos associations d'artisans ainsi que leur re<hex:02160103>pré<hex:02160103>sen<hex:02160103>tante générale, une femme du nom de Katliss."
57,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_007","Pour trouver le jeune Moren, tu devras prendre la sortie sur la gauche, sans monter les escaliers. Son “cabinet de curiosités” se trouve au bout du passage."
58,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_008","La sortie sur la droite de la place de l'éthérite communique avec les marchés. Bragi est l'homme qui s'occupe du commerce et de la dis<hex:02160103>tri<hex:02160103>bu<hex:02160103>tion."
59,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_009","Voilà, c'est tout pour les quartiers principaux de la ville. Mes ex<hex:02160103>pli<hex:02160103>ca<hex:02160103>tions étaient-elles suf<hex:02160103>fi<hex:02160103>sam<hex:02160103>ment claires<hex:021D0103>?"
60,"TEXT_LUCKMA102_03280_Q1_000_010","Que répondez-vous<hex:021D0103>?"
61,"TEXT_LUCKMA102_03280_A1_000_011","Claires comme de l'eau de roche<hex:021D0103>!"
62,"TEXT_LUCKMA102_03280_A1_000_012","Euh... Couloir de gauche, dernière porte à droite<hex:021D0103>?"
63,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_013","Tant mieux, alors<hex:021D0103>! Cristarium s'est développée de façon remarquablement complexe au fil des années, mais je suis convaincu que tu vas vite t'y sentir comme un poisson dans l'eau."
64,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_014","Cristarium s'est développée de façon remarquablement complexe au fil des années... Mais ne t'en fais pas, je suis convaincu que tu vas vite t'y sentir comme un poisson dans l'eau."
65,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_015","... À vrai dire, la véritable difficulté sera peut-être de trouver comment t'y prendre avec ses habitants."
66,"TEXT_LUCKMA102_03280_MYSTERYVOICE_000_016","Comme tu as pu t'en rendre compte lors de ta rencontre avec notre capitaine de la garde, les gens du premier reflet ignorent l'existence des autres mondes. Ils risquent donc d'avoir du mal à comprendre d'où tu viens vraiment..."
