key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_LUCKMB105_03306_SEQ_00","Thancred veut s'extraire du piège tendu par les Pixies le plus vite possible."
1,"TEXT_LUCKMB105_03306_SEQ_01","Thancred pense que le charme pixie vous mènera directement chez elles, à Lydha Lran, quelle que soit la direction que vous prenez. Il a donc préconisé que vous marchiez tout droit. Parlez-lui, une fois arrivé<hex:020808E905FF02>e<hex:FF01><hex:03> au village pixie."
2,"TEXT_LUCKMB105_03306_SEQ_02","Thancred semble avoir une idée derrière la tête, et vous a demandé de trouver <hex:023313FF0A>EventItem<hex:02F61E8E65020203>. Allez en chercher, mais n'adressez surtout pas la parole aux Pixies."
3,"TEXT_LUCKMB105_03306_SEQ_03","Vous avez obtenu <hex:023313FF0A>EventItem<hex:02F61E8E65020203>. Allez le remettre à Thancred."
4,"TEXT_LUCKMB105_03306_SEQ_04","Les Pixies ont enfin daigné se montrer, mais étaient encore réticentes à vous laisser partir. Elles ont accepté de vous libérer au prix de quelques menus travaux."
5,"TEXT_LUCKMB105_03306_SEQ_05",""
6,"TEXT_LUCKMB105_03306_SEQ_06",""
7,"TEXT_LUCKMB105_03306_SEQ_07",""
8,"TEXT_LUCKMB105_03306_SEQ_08",""
9,"TEXT_LUCKMB105_03306_SEQ_09",""
10,"TEXT_LUCKMB105_03306_SEQ_10",""
11,"TEXT_LUCKMB105_03306_SEQ_11",""
12,"TEXT_LUCKMB105_03306_SEQ_12",""
13,"TEXT_LUCKMB105_03306_SEQ_13",""
14,"TEXT_LUCKMB105_03306_SEQ_14",""
15,"TEXT_LUCKMB105_03306_SEQ_15",""
16,"TEXT_LUCKMB105_03306_SEQ_16",""
17,"TEXT_LUCKMB105_03306_SEQ_17",""
18,"TEXT_LUCKMB105_03306_SEQ_18",""
19,"TEXT_LUCKMB105_03306_SEQ_19",""
20,"TEXT_LUCKMB105_03306_SEQ_20",""
21,"TEXT_LUCKMB105_03306_SEQ_21",""
22,"TEXT_LUCKMB105_03306_SEQ_22",""
23,"TEXT_LUCKMB105_03306_SEQ_23",""
24,"TEXT_LUCKMB105_03306_TODO_00","Rejoindre Thancred"
25,"TEXT_LUCKMB105_03306_TODO_01","Obtenir <hex:023313FF0A>EventItem<hex:02F61E8E65020203> en examinant <hex:02330EFF05>EObj<hex:03F61EAAD8030203>"
26,"TEXT_LUCKMB105_03306_TODO_02","Donner <hex:023313FF0A>EventItem<hex:03F61E8E65020203> à Thancred"
27,"TEXT_LUCKMB105_03306_TODO_03",""
28,"TEXT_LUCKMB105_03306_TODO_04",""
29,"TEXT_LUCKMB105_03306_TODO_05",""
30,"TEXT_LUCKMB105_03306_TODO_06",""
31,"TEXT_LUCKMB105_03306_TODO_07",""
32,"TEXT_LUCKMB105_03306_TODO_08",""
33,"TEXT_LUCKMB105_03306_TODO_09",""
34,"TEXT_LUCKMB105_03306_TODO_10",""
35,"TEXT_LUCKMB105_03306_TODO_11",""
36,"TEXT_LUCKMB105_03306_TODO_12",""
37,"TEXT_LUCKMB105_03306_TODO_13",""
38,"TEXT_LUCKMB105_03306_TODO_14",""
39,"TEXT_LUCKMB105_03306_TODO_15",""
40,"TEXT_LUCKMB105_03306_TODO_16",""
41,"TEXT_LUCKMB105_03306_TODO_17",""
42,"TEXT_LUCKMB105_03306_TODO_18",""
43,"TEXT_LUCKMB105_03306_TODO_19",""
44,"TEXT_LUCKMB105_03306_TODO_20",""
45,"TEXT_LUCKMB105_03306_TODO_21",""
46,"TEXT_LUCKMB105_03306_TODO_22",""
47,"TEXT_LUCKMB105_03306_TODO_23",""
48,"TEXT_LUCKMB105_03306_ALPHINAUD_000_000","Alors ce ne sont pas les voix désincarnées de fantômes, mais celles de créatures magiques<hex:021D0103>? C'est déjà ça..."
49,"TEXT_LUCKMB105_03306_ALISAIE_000_005","Je m'inquiétais pour Lyna, mais on n'a pas l'air plus en sécurité ici qu'à Grand-Lac..."
50,"TEXT_LUCKMB105_03306_RYNE_000_010","Je... Je suis désolée... C'est comme si mes souvenirs du chemin pour aller chez Urianger s'étaient évaporés..."
51,"TEXT_LUCKMB105_03306_THANCRED_000_020","Bon. Plutôt que de courir comme des poulets sans tête, on devrait forcer les Pixies à dissoudre leur charme de confusion."
52,"TEXT_LUCKMB105_03306_THANCRED_000_021","À en juger par les ricanements qu'on a entendus tout à l'heure, je dirais qu'elles ne cherchent qu'à s'amuser avec nous. Et pour ce faire, elles comptent pro<hex:02160103>ba<hex:02160103>ble<hex:02160103>ment nous guider vers leur village..."
53,"TEXT_LUCKMB105_03306_THANCRED_000_022","Si j'ai vu juste, quelle que soit la direction que nous allons choisir, nous finirons à Lydha Lran<hex:021D0103>; donc autant partir tout droit. "
54,"TEXT_LUCKMB105_03306_THANCRED_000_023","Une dernière chose<hex:021D0103>: j'ai expliqué à Minfilia d'où nous venons. Vous pouvez parler du monde primitif ou de n'importe quoi d'autre en sa présence. Allons-y, maintenant."
55,"TEXT_LUCKMB105_03306_ALPHINAUD_000_030","Quelle sensation étrange. Je n'arrive à conserver aucun repère. D'où venons-nous déjà<hex:021D0103>?"
56,"TEXT_LUCKMB105_03306_ALISAIE_000_035","Ces habitations semblent vides, et pourtant... je me sens comme épiée..."
57,"TEXT_LUCKMB105_03306_RYNE_000_040","Piégés par les Pixies... Qu'est-ce qu'il fallait faire dans ce cas, déjà...<hex:021D0103>?"
58,"TEXT_LUCKMB105_03306_THANCRED_000_050","C'est bien ce que je pensais, nous sommes arrivés à Lydha Lran. En revanche, aucune Pixie en vue. Voilà qui ne va pas faciliter le dialogue..."
59,"TEXT_LUCKMB105_03306_THANCRED_000_051","Bon... <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, vous allez m'aider. Je cherche une herbe en forme de spirale."
60,"TEXT_LUCKMB105_03306_THANCRED_000_052","On appelle ça de la lentillette. Il y en a forcément dans le coin, et elle nous permettra de voir où se cachent les Pixies."
61,"TEXT_LUCKMB105_03306_THANCRED_000_053","Ah, et quoi qu'il arrive, ignorez-les si elles s'adressent à vous. Leur répondre ne ferait qu'amplifier leur charme."
62,"TEXT_LUCKMB105_03306_THANCRED_000_060","Allez voir plus loin s'il n'y a pas de la lentillette, s'il vous plaît. Et ne répondez surtout pas aux Pixies si elles vous parlent, compris<hex:021D0103>?"
63,"TEXT_LUCKMB105_03306_SYSTEM_000_070","Vous ne trouvez aucune plante correspondant à la description. En revanche, une étrange voix parvient à vos oreilles..."
64,"TEXT_LUCKMB105_03306_PIXIEVOICEA03306_000_071","(-Voix d'enfant adorable-)Ah ah ah<hex:021D0103>! Dis, dis<hex:021D0103>! Comment tu t'appelles<hex:021D0103>?"
65,"TEXT_LUCKMB105_03306_Q1_000_000","Que répondez-vous<hex:021D0103>?"
66,"TEXT_LUCKMB105_03306_A1_000_001","<hex:022903EB0203>."
67,"TEXT_LUCKMB105_03306_A1_000_002","..."
