key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_LUCKMC118_03339_SEQ_00","Urianger utilise sa magie curative pour guérir Runar."
1,"TEXT_LUCKMC118_03339_SEQ_01",""
2,"TEXT_LUCKMC118_03339_SEQ_02",""
3,"TEXT_LUCKMC118_03339_SEQ_03",""
4,"TEXT_LUCKMC118_03339_SEQ_04",""
5,"TEXT_LUCKMC118_03339_SEQ_05",""
6,"TEXT_LUCKMC118_03339_SEQ_06",""
7,"TEXT_LUCKMC118_03339_SEQ_07",""
8,"TEXT_LUCKMC118_03339_SEQ_08",""
9,"TEXT_LUCKMC118_03339_SEQ_09",""
10,"TEXT_LUCKMC118_03339_SEQ_10",""
11,"TEXT_LUCKMC118_03339_SEQ_11",""
12,"TEXT_LUCKMC118_03339_SEQ_12",""
13,"TEXT_LUCKMC118_03339_SEQ_13",""
14,"TEXT_LUCKMC118_03339_SEQ_14",""
15,"TEXT_LUCKMC118_03339_SEQ_15",""
16,"TEXT_LUCKMC118_03339_SEQ_16",""
17,"TEXT_LUCKMC118_03339_SEQ_17",""
18,"TEXT_LUCKMC118_03339_SEQ_18",""
19,"TEXT_LUCKMC118_03339_SEQ_19",""
20,"TEXT_LUCKMC118_03339_SEQ_20",""
21,"TEXT_LUCKMC118_03339_SEQ_21",""
22,"TEXT_LUCKMC118_03339_SEQ_22",""
23,"TEXT_LUCKMC118_03339_SEQ_23",""
24,"TEXT_LUCKMC118_03339_TODO_00","Parler à Emet-Selch"
25,"TEXT_LUCKMC118_03339_TODO_01","Utiliser <hex:023313FF0A>EventItem<hex:03F61E8E7A020203> et chercher le flux éthéré le plus dense, dans la forêt interdite d'Yx'Maja"
26,"TEXT_LUCKMC118_03339_TODO_02","Siffler à l'endroit indiqué"
27,"TEXT_LUCKMC118_03339_TODO_03","Parler à Emet-Selch"
28,"TEXT_LUCKMC118_03339_TODO_04","Parler à Y'shtola, au pavillon du Repos méridien"
29,"TEXT_LUCKMC118_03339_TODO_05",""
30,"TEXT_LUCKMC118_03339_TODO_06",""
31,"TEXT_LUCKMC118_03339_TODO_07",""
32,"TEXT_LUCKMC118_03339_TODO_08",""
33,"TEXT_LUCKMC118_03339_TODO_09",""
34,"TEXT_LUCKMC118_03339_TODO_10",""
35,"TEXT_LUCKMC118_03339_TODO_11",""
36,"TEXT_LUCKMC118_03339_TODO_12",""
37,"TEXT_LUCKMC118_03339_TODO_13",""
38,"TEXT_LUCKMC118_03339_TODO_14",""
39,"TEXT_LUCKMC118_03339_TODO_15",""
40,"TEXT_LUCKMC118_03339_TODO_16",""
41,"TEXT_LUCKMC118_03339_TODO_17",""
42,"TEXT_LUCKMC118_03339_TODO_18",""
43,"TEXT_LUCKMC118_03339_TODO_19",""
44,"TEXT_LUCKMC118_03339_TODO_20",""
45,"TEXT_LUCKMC118_03339_TODO_21",""
46,"TEXT_LUCKMC118_03339_TODO_22",""
47,"TEXT_LUCKMC118_03339_TODO_23",""
48,"TEXT_LUCKMC118_03339_RUNAR_000_000","Mato... ya..."
49,"TEXT_LUCKMC118_03339_URIANGER_000_010","Je vais continuer à soigner Runar. Pendant ce temps, n'hésitez pas à vous relaxer, vous l'avez bien mérité."
50,"TEXT_LUCKMC118_03339_THANCRED_000_020","Difficile de dire s'il s'agit d'un piège ou non... Mieux vaut rester très prudents."
51,"TEXT_LUCKMC118_03339_RYNE_000_025","Vous croyez vraiment qu'Emet-Selch est capable de ramener Matoya parmi nous<hex:021D0103>?"
52,"TEXT_LUCKMC118_03339_URIANGER_000_030","S'immiscer dans le flux éthéré est loin d'être bénin, même pour le plus expérimenté des mages. Hélas, nous allons devoir nous en remettre au bon vouloir d'un Ascien..."
53,"TEXT_LUCKMC118_03339_RUNAR_000_035","Dites-moi que Matoya est toujours vivante<hex:021D0103>! Dites-le-moi, je vous en supplie<hex:021D0103>!"
54,"TEXT_LUCKMC118_03339_ALMET_000_040","Je serais enchantée de revoir votre amie en pleine forme, et si cet individu peut la faire revenir parmi nous, je ne demande pas mieux."
55,"TEXT_LUCKMC118_03339_UIMET_000_045","Qui diable peut se prélasser sur un arbre alors que la guerre fait rage autour de lui<hex:021D0103>? Le diable en personne, voilà ce que j'en dis, moi<hex:021D0103>!"
56,"TEXT_LUCKMC118_03339_CYMET_000_050","Au moins, les Eulmoriens nous ont laissé un peu de répit, et c'est déjà ça de gagné..."
57,"TEXT_LUCKMC118_03339_EMETSELCH_000_060","Je vais me mettre à l'ouvrage de ce pas, et tu vas m'y aider. Oui, toi, <hex:020816E905FF0A>héroïne<hex:FF07>héros<hex:03> des temps anciens comme modernes<hex:021D0103>! En premier lieu, nous allons devoir trouver un endroit où le flux éthéré est le plus dense possible. Tu crois que tu peux faire ça pour moi, hmm<hex:021D0103>?"
58,"TEXT_LUCKMC118_03339_EMETSELCH_000_061","Tiens, prends ce petit joujou. C'est <hex:023313FF0A>EventItem<hex:02F61E8E7A020203>, directement issue de mon énergie magique de première classe."
59,"TEXT_LUCKMC118_03339_EMETSELCH_000_062","Plus cette flammèche tremblotera, plus le flux éthéré sous tes pieds sera abondant. Simple comme bonjour, n'est-ce pas<hex:021D0103>?"
60,"TEXT_LUCKMC118_03339_EMETSELCH_000_063","Une fois que tu auras trouvé le bon filon... Hmm... Tu n'auras qu'à me siffler, tiens<hex:021D0103>! Et j'accourrai comme un bon gros gentil toutou<hex:021D0103>! Allez, va."
61,"TEXT_LUCKMC118_03339_SYSTEM_000_064","Explorez la zone indiquée sur la carte pour trouver l'endroit où le flux éthéré est le plus dense."
62,"TEXT_LUCKMC118_03339_SYSTEM_000_065","Utilisez <hex:023313FF0A>EventItem<hex:03F61E8E7A020203> et fiez-vous à son vacillement afin de trouver le bon flux<hex:021D0103>!"
63,"TEXT_LUCKMC118_03339_EMETSELCH_000_070","Qu'est-ce que tu fais encore là<hex:021D0103>? Utilise <hex:023313FF0A>EventItem<hex:04F61E8E7A020203> pour trouver le bon filon de flux éthéré, voyons<hex:021D0103>! Tu as envie de revoir ton amie, oui ou zut<hex:021D0103>?"
64,"TEXT_LUCKMC118_03339_SYSTEM_000_080","La flamme <hex:023313FF0A>EventItem<hex:0AF61E8E7A020203> vacille tellement fort qu'elle semble sur le point de s'éteindre<hex:021D0103>! Vous avez trouvé le flux éthéré le plus dense de la zone<hex:021D0103>!"
65,"TEXT_LUCKMC118_03339_SYSTEM_000_081","La flamme <hex:023313FF0A>EventItem<hex:0AF61E8E7A020203> vacille assez fort. Déplacez-vous encore un peu et observez sa réaction à nouveau."
66,"TEXT_LUCKMC118_03339_SYSTEM_000_082","La flamme <hex:023313FF0A>EventItem<hex:0AF61E8E7A020203> vacille un peu. Déplacez-vous et observez sa réaction à nouveau."
67,"TEXT_LUCKMC118_03339_SYSTEM_000_083","La flamme <hex:023313FF0A>EventItem<hex:0AF61E8E7A020203> vacille un tout petit peu. Déplacez-vous et observez sa réaction à nouveau."
