key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_LUCKZA019_03361_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>Règle spéciale<hex:021D0103>:  synchronisation de quête<hex:0249020103><hex:0248020103><hex:02100103>Il semble que ce chasseur de trésors ait des soucis."
1,"TEXT_LUCKZA019_03361_SEQ_01",""
2,"TEXT_LUCKZA019_03361_SEQ_02",""
3,"TEXT_LUCKZA019_03361_SEQ_03",""
4,"TEXT_LUCKZA019_03361_SEQ_04",""
5,"TEXT_LUCKZA019_03361_SEQ_05",""
6,"TEXT_LUCKZA019_03361_SEQ_06",""
7,"TEXT_LUCKZA019_03361_SEQ_07",""
8,"TEXT_LUCKZA019_03361_SEQ_08",""
9,"TEXT_LUCKZA019_03361_SEQ_09",""
10,"TEXT_LUCKZA019_03361_SEQ_10",""
11,"TEXT_LUCKZA019_03361_SEQ_11",""
12,"TEXT_LUCKZA019_03361_SEQ_12",""
13,"TEXT_LUCKZA019_03361_SEQ_13",""
14,"TEXT_LUCKZA019_03361_SEQ_14",""
15,"TEXT_LUCKZA019_03361_SEQ_15",""
16,"TEXT_LUCKZA019_03361_SEQ_16",""
17,"TEXT_LUCKZA019_03361_SEQ_17",""
18,"TEXT_LUCKZA019_03361_SEQ_18",""
19,"TEXT_LUCKZA019_03361_SEQ_19",""
20,"TEXT_LUCKZA019_03361_SEQ_20",""
21,"TEXT_LUCKZA019_03361_SEQ_21",""
22,"TEXT_LUCKZA019_03361_SEQ_22",""
23,"TEXT_LUCKZA019_03361_SEQ_23",""
24,"TEXT_LUCKZA019_03361_TODO_00","Parler au chasseur de trésor"
25,"TEXT_LUCKZA019_03361_TODO_01","Utiliser les explosifs à l'endroit indiqué"
26,"TEXT_LUCKZA019_03361_TODO_02","Ramasser les vers blancs"
27,"TEXT_LUCKZA019_03361_TODO_03","Remettre les vers blancs au chasseur de trésors"
28,"TEXT_LUCKZA019_03361_TODO_04","Parler au chasseur de trésors, à Mord Souq"
29,"TEXT_LUCKZA019_03361_TODO_05",""
30,"TEXT_LUCKZA019_03361_TODO_06",""
31,"TEXT_LUCKZA019_03361_TODO_07",""
32,"TEXT_LUCKZA019_03361_TODO_08",""
33,"TEXT_LUCKZA019_03361_TODO_09",""
34,"TEXT_LUCKZA019_03361_TODO_10",""
35,"TEXT_LUCKZA019_03361_TODO_11",""
36,"TEXT_LUCKZA019_03361_TODO_12",""
37,"TEXT_LUCKZA019_03361_TODO_13",""
38,"TEXT_LUCKZA019_03361_TODO_14",""
39,"TEXT_LUCKZA019_03361_TODO_15",""
40,"TEXT_LUCKZA019_03361_TODO_16",""
41,"TEXT_LUCKZA019_03361_TODO_17",""
42,"TEXT_LUCKZA019_03361_TODO_18",""
43,"TEXT_LUCKZA019_03361_TODO_19",""
44,"TEXT_LUCKZA019_03361_TODO_20",""
45,"TEXT_LUCKZA019_03361_TODO_21",""
46,"TEXT_LUCKZA019_03361_TODO_22",""
47,"TEXT_LUCKZA019_03361_TODO_23",""
48,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_001","T'es un<hex:020808E905FF02>e<hex:FF01><hex:03> voyage<hex:02080CE905FF04>use<hex:FF03>ur<hex:03><hex:021D0103>? Ça doit être super de vivre librement comme ça..."
49,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_002","Moi, je loue mes services de chasseur de trésors à Thil Til<hex:021D0103>! Mais les objectifs qu'il m'a donnés sont très élevés..."
50,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_003","Ça fait un bout de temps que je fouine dans le coin, mais j'y ai trouvé que de la camelote sans valeur... J'ai pas pu remplir mes objectifs cette semaine..."
51,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_004","C'est sûr que je vais me faire virer... Et je veux éviter ça par-dessus tout<hex:021D0103>!"
52,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_005","J'ai un plan, mais j'aurais besoin que tu m'aides pour le réaliser. Mon employeur, c'est les vers de terre son plat préféré. Si je lui en ramène, il me pardonnera, tu penses pas<hex:021D0103>?"
53,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_006","Je m'occupe de tout préparer, alors rejoins-moi à la sortie du village<hex:021D0103>!"
54,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_010","J'imagine que tu te demandes comment on va se débrouiller pour faire sortir les vers de terre<hex:021D0103>! Mais j'ai la solution à tout<hex:021D0103>! On va utiliser des explosifs, pardi<hex:021D0103>! Ces p'tites bêtes ont l'habitude d'apparaître quand le sol se met à trembler."
55,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_011","Je m'occupe de l'est, tu peux t'occuper du sud<hex:021D0103>? Retrouvons-nous ici quand on en aura attrapé assez<hex:021D0103>!"
56,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_030","Ah, te revoilà<hex:021D0103>! Tu as mes <hex:023313FF0A>EventItem<hex:0DF61E8EBC030203><hex:021D0103>?"
57,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_040","Oh, ça grouille, ça grouille<hex:021D0103>! Tu en as quatre<hex:021D0103>! Ouaouh, moi j'ai réussi à en attraper que deux<hex:021D0103>!"
58,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_041","Avec tout ça, c'est sûr que le patron sera content<hex:021D0103>! Allons vite lui apporter<hex:021D0103>! Tu... Tu viens avec moi, hein<hex:021D0103>?"
59,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_042","Ouf, merci<hex:021D0103>! Il est a Mord Souq, je t'attends là-bas<hex:021D0103>!"
60,"TEXT_LUCKZA019_03361_THILTIL_100_040","Cette semaine non plus, il a pas rempli ses objectifs, celui-là<hex:021D0103>! Il va voir de quel bois je me chauffe, il va voir oui<hex:021D0103>!"
61,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_050","Chef, vous avez un instant<hex:021D0103>?"
62,"TEXT_LUCKZA019_03361_THILTIL_000_051","Dis donc, toi<hex:021D0103>! T'as encore pas atteint tes objectifs cette semaine, toujours pas, non<hex:021D0103>! Je veux plus entendre d'excuses<hex:021D0103>! T'es viré, viré, oui<hex:021D0103>!"
63,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_052","Calmez-vous, patron... Regardez, j'ai un cadeau pour vous<hex:021D0103>!"
64,"TEXT_LUCKZA019_03361_THILTIL_000_053","O-oh... De délicieux vers blancs... Qu'ils m'ont l'air appétissants, très appétissants, oui<hex:021D0103>!"
65,"TEXT_LUCKZA019_03361_THILTIL_000_054","Pourquoi tu ne m'as pas dit que tu étais aussi doué pour en trouver<hex:021D0103>? Je te réembauche sur-le-champ, oui oui<hex:021D0103>!"
66,"TEXT_LUCKZA019_03361_HIREDMAN03361_000_055","Hé hé, ouf<hex:021D0103>!"
