key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_BANDWA122_03923_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>Règle spéciale<hex:021D0103>:  synchronisation de quête avec limitation de job ou de classe<hex:0249020103><hex:0248020103><hex:02100103><hex:021A020203>* Il n'est possible de progresser dans cette quête qu'avec la classe qui a servi à la commencer.<hex:021A020103><hex:02100103><hex:02100103>Regitt veut que vous l'aidiez pour la dé<hex:02160103>mon<hex:02160103>stra<hex:02160103>tion de son char."
1,"TEXT_BANDWA122_03923_SEQ_01",""
2,"TEXT_BANDWA122_03923_SEQ_02",""
3,"TEXT_BANDWA122_03923_SEQ_03",""
4,"TEXT_BANDWA122_03923_SEQ_04",""
5,"TEXT_BANDWA122_03923_SEQ_05",""
6,"TEXT_BANDWA122_03923_SEQ_06",""
7,"TEXT_BANDWA122_03923_SEQ_07",""
8,"TEXT_BANDWA122_03923_SEQ_08",""
9,"TEXT_BANDWA122_03923_SEQ_09",""
10,"TEXT_BANDWA122_03923_SEQ_10",""
11,"TEXT_BANDWA122_03923_SEQ_11",""
12,"TEXT_BANDWA122_03923_SEQ_12",""
13,"TEXT_BANDWA122_03923_SEQ_13",""
14,"TEXT_BANDWA122_03923_SEQ_14",""
15,"TEXT_BANDWA122_03923_SEQ_15",""
16,"TEXT_BANDWA122_03923_SEQ_16",""
17,"TEXT_BANDWA122_03923_SEQ_17",""
18,"TEXT_BANDWA122_03923_SEQ_18",""
19,"TEXT_BANDWA122_03923_SEQ_19",""
20,"TEXT_BANDWA122_03923_SEQ_20",""
21,"TEXT_BANDWA122_03923_SEQ_21",""
22,"TEXT_BANDWA122_03923_SEQ_22",""
23,"TEXT_BANDWA122_03923_SEQ_23",""
24,"TEXT_BANDWA122_03923_TODO_00","Parler à Wamutt"
25,"TEXT_BANDWA122_03923_TODO_01","Monter sur l'automatank et tirer sur l'automate cible, aux sources du Névé"
26,"TEXT_BANDWA122_03923_TODO_02","Monter sur l'automatank et tirer de nouveau sur l'automate cible, aux sources du Névé"
27,"TEXT_BANDWA122_03923_TODO_03","Parler à Regitt"
28,"TEXT_BANDWA122_03923_TODO_04",""
29,"TEXT_BANDWA122_03923_TODO_05",""
30,"TEXT_BANDWA122_03923_TODO_06",""
31,"TEXT_BANDWA122_03923_TODO_07",""
32,"TEXT_BANDWA122_03923_TODO_08",""
33,"TEXT_BANDWA122_03923_TODO_09",""
34,"TEXT_BANDWA122_03923_TODO_10",""
35,"TEXT_BANDWA122_03923_TODO_11",""
36,"TEXT_BANDWA122_03923_TODO_12",""
37,"TEXT_BANDWA122_03923_TODO_13",""
38,"TEXT_BANDWA122_03923_TODO_14",""
39,"TEXT_BANDWA122_03923_TODO_15",""
40,"TEXT_BANDWA122_03923_TODO_16",""
41,"TEXT_BANDWA122_03923_TODO_17",""
42,"TEXT_BANDWA122_03923_TODO_18",""
43,"TEXT_BANDWA122_03923_TODO_19",""
44,"TEXT_BANDWA122_03923_TODO_20",""
45,"TEXT_BANDWA122_03923_TODO_21",""
46,"TEXT_BANDWA122_03923_TODO_22",""
47,"TEXT_BANDWA122_03923_TODO_23",""
48,"TEXT_BANDWA122_03923_REGITT_000_000","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! J'ai une bonne nouvelle<hex:021D0103>! Grâce à Lorathia, on va pouvoir faire la dé<hex:02160103>mon<hex:02160103>stra<hex:02160103>tion de notre automatank devant un groupe de marchands<hex:021D0103>! C'est une excellente opportunité pour le vendre<hex:021D0103>!"
49,"TEXT_BANDWA122_03923_REGITT_000_001","Et du coup, je pensais te demander ton aide<hex:021D0103>! Nous, on n'est jamais beaucoup sortis de chez nous, tu comprends... Alors que toi, t'as pas mal vadrouillé et combattu, tu sauras bien mieux les convaincre que nous<hex:021D0103>!"
50,"TEXT_BANDWA122_03923_REGITT_000_002","Va donc parler à Wamutt, il t'expliquera les détails. Merci d'avance pour ton aide<hex:021D0103>!"
51,"TEXT_BANDWA122_03923_WAMUTT_000_010","Ah, je t'attendais. Je compte sur toi pour faire une super dé<hex:02160103>mon<hex:02160103>stra<hex:02160103>tion<hex:021D0103>!"
52,"TEXT_BANDWA122_03923_WAMUTT_000_011","C'est pas bien compliqué, t'as juste à monter sur l'automatank et à tirer sur l'automate cible<hex:021D0103>! Ah, et ça se passera aux sources du Névé<hex:021D0103>!"
53,"TEXT_BANDWA122_03923_WAMUTT_000_020","Eh bah<hex:021D0103>? T'as déjà oublié ou quoi<hex:021D0103>? Il faut que t'ailles aux sources du Névé à bord de l'automatank et que tu tires sur l'automate cible."
54,"TEXT_BANDWA122_03923_SYSTEM_000_021","Vous trouvez un automate à l'air résigné. Si vous n'êtes plus sur l'automatank, allez parler à Wamutt, au Garage Watts, pour remonter dessus et ensuite commencer le test de tir."
55,"TEXT_BANDWA122_03923_AUDIENCE03923_000_030","(-Marchand intéressé-)Oooh<hex:021D0103>! Voilà donc le canon mis au point pour éliminer les purgateurs errants<hex:021D0103>! Quelle puissance<hex:021D0103>! Vous pourriez tirer une nouvelle fois, s'il vous plaît<hex:021D0103>?"
56,"TEXT_BANDWA122_03923_AUDIENCE03923_000_040","(-Marchand intéressé-)Ouah, fantastique<hex:021D0103>! Grâce à ça, nous ne devrions plus avoir de problème avec ces purgateurs errants<hex:021D0103>! Soyez assurés que nous vous passerons commande rapidement<hex:021D0103>!"
57,"TEXT_BANDWA122_03923_DWARF03923_000_041","(-Nain responsable de la publicité-)Merci pour ton aide, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! Notre char a vraiment fait forte impression<hex:021D0103>! Tu peux retourner dire à Regitt que tout s'est bien passé, maintenant<hex:021D0103>!"
58,"TEXT_BANDWA122_03923_REGITT_000_050","À voir ton expression, j'en déduis que tout a marché comme sur des chenilles<hex:021D0103>? Ah là là, j'ai vraiment bien fait de te demander ton aide<hex:021D0103>!"
59,"TEXT_BANDWA122_03923_REGITT_000_051","J'étais sûr que le meilleur moyen de faire la promotion du char était de le montrer en pleine action aux gens<hex:021D0103>! Faudra que je remercie Lorathia pour ses conseils, aussi. Ah, et je ferai appel à toi lors de la prochaine dé<hex:02160103>mon<hex:02160103>stra<hex:02160103>tion, alors tiens-toi prêt<hex:020808E905FF02>e<hex:FF01><hex:03><hex:021D0103>!"
