key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_AKTKBB111_04069_SEQ_00","Lalah Jinjahl a de nouvelles in<hex:02160103>for<hex:02160103>ma<hex:02160103>tions pour vous."
1,"TEXT_AKTKBB111_04069_SEQ_01","Lalah vous a informé<hex:020808E905FF02>e<hex:FF01><hex:03> que l'herbe que vous avez découverte dans l'Arboretum est du chicotin, une plante médicinale très dangereuse mais pouvant servir à renforcer l'énergie vitale. Pressentant que Loifa essayerait d'obtenir cette herbe à nouveau, elle a obtenu les coordonnées d'un hameau dans le Thanalan central où l'on en vendrait. Retrouvez-la près de la gare de Roncenoire."
2,"TEXT_AKTKBB111_04069_SEQ_02","À peine arrivé<hex:020808E905FF02>e<hex:FF01><hex:03>s à Roncenoire, vous êtes tombé<hex:020808E905FF02>e<hex:FF01><hex:03>s sur la marchande spécialisée dont Lalah avait entendu parler, une Hyure avec un tatouage distinct au visage. Seulement, elle vous a expliqué qu'un groupe de malfrats avait agressé un de ses clients. Ni une ni deux, Lalah s'est lancée à son secours. Allez lui prêter main-forte."
3,"TEXT_AKTKBB111_04069_SEQ_03","Alors que vous êtes arrivé<hex:020808E905FF02>e<hex:FF01><hex:03>s sur les lieux de l'agression, vous avez découvert que Loifa et sa bande avaient encore pris le docteur Faldrinet pour cible. Le jeune Viéra a alors usé de sa magie pour renforcer une créature aux alentours et l'a dirigée contre le médecin. Afin de protéger les habitants du hameau de ce monstre, Faldrinet a décidé de battre en retraite. Retrouvez-le et abattez cette fourmi géante avant qu'il ne soit trop tard."
4,"TEXT_AKTKBB111_04069_SEQ_04","Vous avez mis fin à la menace qui pesait sur le village. Parlez à Faldrinet."
5,"TEXT_AKTKBB111_04069_SEQ_05","Vous avez secouru le docteur et il vous faut maintenant retourner voir Lalah Jinjahl dans le hameau."
6,"TEXT_AKTKBB111_04069_SEQ_06","À votre retour, vous avez retrouvé Lalah, toujours face à face avec Loifa. Ses compagnons étaient toujours souffrants, et leur état a ravivé la mémoire de votre amie à propos d'une série d'expériences interdites conduites à Sharlayan. Alors qu'elle allait questionner le jeune Viéra pour essayer de tirer cette histoire au clair, les trois évadés ont à nouveau réussi à s'éclipser. Parlez donc à Lalah. "
7,"TEXT_AKTKBB111_04069_SEQ_07","Votre amie vous a expliqué que la vue des deux comparses de Loifa à l'agonie a semé le doute dans son esprit. De plus, la marchande de chicotin que vous étiez venus chercher s'est révélée être la mère adoptive de Mahaud et Ancel. Elle vous en a appris un peu plus sur leur passé, et l'arrivée salvatrice d'un médecin sharlayanais nommé Guildivain, qui a promis de les aider, même si cela devait prendre plusieurs années. Reparlez à Lalah Jinjahl qui semble visiblement perturbée."
8,"TEXT_AKTKBB111_04069_SEQ_08","Après le départ de Faldrinet, vous avez appris de la marchande que ce n'était pas Loifa mais Faldrinet qui venait acheter du chicotin chez elle. Bien décidée à mettre cette histoire au clair, Lalah Jinjahl vous invite à repartir pour Idyllée afin de faire le point."
9,"TEXT_AKTKBB111_04069_SEQ_09","Lalah a partagé avec vous ses doutes au vu des dernières révélations. Il semblerait que les in<hex:02160103>for<hex:02160103>ma<hex:02160103>tions qu'elle avait reçues sur Loifa et ses compagnons n'étaient pas tout à fait justes. Pendant que votre amie rumine ses théories, profitez-en pour continuer votre en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment et améliorer votre maîtrise des noulithes.<hex:02100103>* Lalah propose la prochaine quête aux sages de niveau 75."
10,"TEXT_AKTKBB111_04069_SEQ_10",""
11,"TEXT_AKTKBB111_04069_SEQ_11",""
12,"TEXT_AKTKBB111_04069_SEQ_12",""
13,"TEXT_AKTKBB111_04069_SEQ_13",""
14,"TEXT_AKTKBB111_04069_SEQ_14",""
15,"TEXT_AKTKBB111_04069_SEQ_15",""
16,"TEXT_AKTKBB111_04069_SEQ_16",""
17,"TEXT_AKTKBB111_04069_SEQ_17",""
18,"TEXT_AKTKBB111_04069_SEQ_18",""
19,"TEXT_AKTKBB111_04069_SEQ_19",""
20,"TEXT_AKTKBB111_04069_SEQ_20",""
21,"TEXT_AKTKBB111_04069_SEQ_21",""
22,"TEXT_AKTKBB111_04069_SEQ_22",""
23,"TEXT_AKTKBB111_04069_SEQ_23",""
24,"TEXT_AKTKBB111_04069_TODO_00","Parler à Lalah Jinjahl, à la gare de Roncenoire"
25,"TEXT_AKTKBB111_04069_TODO_01","Reparler à Lalah Jinjahl"
26,"TEXT_AKTKBB111_04069_TODO_02","Vaincre la fourmi géante"
27,"TEXT_AKTKBB111_04069_TODO_03","Porter secours à Faldrinet"
28,"TEXT_AKTKBB111_04069_TODO_04","Parler à Lalah Jinjahl"
29,"TEXT_AKTKBB111_04069_TODO_05","Reparler à Lalah Jinjahl"
30,"TEXT_AKTKBB111_04069_TODO_06","Parler à nouveau à Lalah Jinjahl"
31,"TEXT_AKTKBB111_04069_TODO_07","Parler à Lalah Jinjahl, à Idyllée"
32,"TEXT_AKTKBB111_04069_TODO_08",""
33,"TEXT_AKTKBB111_04069_TODO_09",""
34,"TEXT_AKTKBB111_04069_TODO_10",""
35,"TEXT_AKTKBB111_04069_TODO_11",""
36,"TEXT_AKTKBB111_04069_TODO_12",""
37,"TEXT_AKTKBB111_04069_TODO_13",""
38,"TEXT_AKTKBB111_04069_TODO_14",""
39,"TEXT_AKTKBB111_04069_TODO_15",""
40,"TEXT_AKTKBB111_04069_TODO_16",""
41,"TEXT_AKTKBB111_04069_TODO_17",""
42,"TEXT_AKTKBB111_04069_TODO_18",""
43,"TEXT_AKTKBB111_04069_TODO_19",""
44,"TEXT_AKTKBB111_04069_TODO_20",""
45,"TEXT_AKTKBB111_04069_TODO_21",""
46,"TEXT_AKTKBB111_04069_TODO_22",""
47,"TEXT_AKTKBB111_04069_TODO_23",""
48,"TEXT_AKTKBB111_04069_LALAHJINJAHL_000_000","Ah<hex:021D0103>! <hex:02083DE3E90C0DFF1B><hex:020817E3E90C05FF08>Bonsoir<hex:FF08>Bonjour<hex:03><hex:FF1B><hex:020817E3E90C12FF08>Bonjour<hex:FF08>Bonsoir<hex:03><hex:03> <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>, vous allez bien j'espère<hex:021D0103>? J'ai rrreçu des nouvelles de Sharlayan à propos de l'étrange plante que nous avons découverte à l'Arboretum Sainte-Mocianne."
49,"TEXT_AKTKBB111_04069_LALAHJINJAHL_000_001","Les analyses ont déterminé qu'il s'agit d'une plante médicinale connue sous le nom de chicotin. À haute dose, elle est très nocive, mais son absorption permet de rrrenforcer l'éther corporel. Au vu des dangers qu'elle présente, sa culture est ac<hex:02160103>tu<hex:02160103>el<hex:02160103>le<hex:02160103>ment prohibée par Sharlayan."
