key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_AKTKLA401_04153_SEQ_00","Hinageshi a besoin de votre aide."
1,"TEXT_AKTKLA401_04153_SEQ_01","Vous avez accepté d'aider Hinageshi dans ses recherches au sein du département d'anthropologie. Trouvez d'abord le professeur Tankin au Noumène."
2,"TEXT_AKTKLA401_04153_SEQ_02","Vous avez trouvé le professeur Tankin et lui avez donné le morceau de sagepain de Hinageshi. Après l'avoir dévoré, Tankin vous a demandé de le rejoindre dans l'aile des Collectionneurs."
3,"TEXT_AKTKLA401_04153_SEQ_03","Tankin vous a dit vouloir reproduire les modes de vie des cultures étrangères afin de déterminer laquelle conviendrait le mieux aux générations futures de Sharlayan. Vous avez accepté de lui rapporter les matériaux nécessaires au bon déroulement de ses expériences. Pour en savoir plus, parlez à Hinageshi."
4,"TEXT_AKTKLA401_04153_SEQ_04","Hinageshi vous a avoué avoir des sentiments pour Tankin et a retrouvé son allant lorsque vous lui dites que vous l'aiderez autant dans ses recherches que dans sa quête d'amour."
5,"TEXT_AKTKLA401_04153_SEQ_05",""
6,"TEXT_AKTKLA401_04153_SEQ_06",""
7,"TEXT_AKTKLA401_04153_SEQ_07",""
8,"TEXT_AKTKLA401_04153_SEQ_08",""
9,"TEXT_AKTKLA401_04153_SEQ_09",""
10,"TEXT_AKTKLA401_04153_SEQ_10",""
11,"TEXT_AKTKLA401_04153_SEQ_11",""
12,"TEXT_AKTKLA401_04153_SEQ_12",""
13,"TEXT_AKTKLA401_04153_SEQ_13",""
14,"TEXT_AKTKLA401_04153_SEQ_14",""
15,"TEXT_AKTKLA401_04153_SEQ_15",""
16,"TEXT_AKTKLA401_04153_SEQ_16",""
17,"TEXT_AKTKLA401_04153_SEQ_17",""
18,"TEXT_AKTKLA401_04153_SEQ_18",""
19,"TEXT_AKTKLA401_04153_SEQ_19",""
20,"TEXT_AKTKLA401_04153_SEQ_20",""
21,"TEXT_AKTKLA401_04153_SEQ_21",""
22,"TEXT_AKTKLA401_04153_SEQ_22",""
23,"TEXT_AKTKLA401_04153_SEQ_23",""
24,"TEXT_AKTKLA401_04153_TODO_00","Chercher Tankin au Noumène"
25,"TEXT_AKTKLA401_04153_TODO_01","Parler à Tankin dans l'aile des Collectionneurs"
26,"TEXT_AKTKLA401_04153_TODO_02","Parler à Hinageshi"
27,"TEXT_AKTKLA401_04153_TODO_03",""
28,"TEXT_AKTKLA401_04153_TODO_04",""
29,"TEXT_AKTKLA401_04153_TODO_05",""
30,"TEXT_AKTKLA401_04153_TODO_06",""
31,"TEXT_AKTKLA401_04153_TODO_07",""
32,"TEXT_AKTKLA401_04153_TODO_08",""
33,"TEXT_AKTKLA401_04153_TODO_09",""
34,"TEXT_AKTKLA401_04153_TODO_10",""
35,"TEXT_AKTKLA401_04153_TODO_11",""
36,"TEXT_AKTKLA401_04153_TODO_12",""
37,"TEXT_AKTKLA401_04153_TODO_13",""
38,"TEXT_AKTKLA401_04153_TODO_14",""
39,"TEXT_AKTKLA401_04153_TODO_15",""
40,"TEXT_AKTKLA401_04153_TODO_16",""
41,"TEXT_AKTKLA401_04153_TODO_17",""
42,"TEXT_AKTKLA401_04153_TODO_18",""
43,"TEXT_AKTKLA401_04153_TODO_19",""
44,"TEXT_AKTKLA401_04153_TODO_20",""
45,"TEXT_AKTKLA401_04153_TODO_21",""
46,"TEXT_AKTKLA401_04153_TODO_22",""
47,"TEXT_AKTKLA401_04153_TODO_23",""
48,"TEXT_AKTKLA401_04153_HINAGESHI_000_010","Excusez-moi, <hex:020815E905FF07>Madame<hex:FF09>Monsieur<hex:03>."
49,"TEXT_AKTKLA401_04153_HINAGESHI_000_011","Je m'appelle Hinageshi et j'appartiens au département d'anthropologie dirigé par le professeur Tankin."
50,"TEXT_AKTKLA401_04153_HINAGESHI_000_012","Dans ce cadre, et pour aider le professeur dans ses recherches, je fais appel à des glaneurs. Je vois que vous êtes <hex:02082BE4E90501FF12><hex:02280EFF09>ClassJob<hex:E9450103><hex:FF12><hex:02280EFF09>ClassJob<hex:E9450303><hex:03> et que vous avez de l'expérience. Vous permettez que je vous donne des détails sur mes activités<hex:021D0103>?"
51,"TEXT_AKTKLA401_04153_HINAGESHI_000_013","Merci, c'est bien aimable à vous<hex:021D0103>!"
52,"TEXT_AKTKLA401_04153_HINAGESHI_000_014","Nous nous trouvons dans l'aile des Collectionneurs, un lieu qui permet aux professeurs et aux étudiants de Sharlayan d'entrer en contact avec les glaneurs. C'est ici que nous nous procurons les matériaux nécessaires à nos recherches. C'est également ici que nous les stockons."
53,"TEXT_AKTKLA401_04153_HINAGESHI_000_015","Si je vous parle de tout ça, c'est parce que j'ai besoin que vous trouviez ceux dont le professeur Tankin a besoin."
54,"TEXT_AKTKLA401_04153_HINAGESHI_000_016","Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, je ne peux pas vous donner de liste tant qu'il n'a pas décidé quel serait son prochain sujet de recherche."
55,"TEXT_AKTKLA401_04153_Q1_000_000","Que dites-vous<hex:021D0103>?"
56,"TEXT_AKTKLA401_04153_A1_000_001","Le professeur Tankin a l'air... particulier."
57,"TEXT_AKTKLA401_04153_A1_000_002","Je ne vois pas bien comment vous aider..."
58,"TEXT_AKTKLA401_04153_HINAGESHI_000_017","À qui le dites-vous... S'il ne se dépêche pas de rédiger son projet de recherche, non seulement on lui refusera un financement, mais on risque surtout de fermer son laboratoire<hex:021D0103>!"
59,"TEXT_AKTKLA401_04153_HINAGESHI_000_018","Oui, je comprends, ma demande doit vous paraître confuse... À vrai dire, je m'inquiète pour le professeur Tankin, car s'il ne se dépêche pas de rédiger son projet de recherche, non seulement on lui refusera un financement, mais on risque surtout de fermer son laboratoire<hex:021D0103>!"
60,"TEXT_AKTKLA401_04153_HINAGESHI_000_019","Pourtant, le professeur est quelqu'un de très réfléchi, d'habitude. Le problème, c'est qu'il oublie tout ce qui l'entoure quand quelque chose le passionne. Ses yeux se mettent alors à briller comme s'il était redevenu enfant<hex:021D0103>!"
61,"TEXT_AKTKLA401_04153_HINAGESHI_000_020","Croyez-moi, le contraste est saisissant<hex:021D0103>!"
62,"TEXT_AKTKLA401_04153_HINAGESHI_000_021","Excusez-moi, je crois que je m'égare. Je voulais tout d'abord vous demander de trouver... le professeur Tankin<hex:021D0103>! Il est sans doute au Noumène. "
63,"TEXT_AKTKLA401_04153_HINAGESHI_000_022","Au fait, puis-je vous demander de lui donner ce morceau de sagepain lorsque vous le verrez<hex:021D0103>? Le connaissant, je suis sûre qu'il n'a encore rien mangé aujourd'hui."
64,"TEXT_AKTKLA401_04153_HINAGESHI_000_023","Bonne chance à vous<hex:021D0103>! Oh, et soyez sans crainte, j'ai bien étudié les habitudes du professeur. Je vous garantis qu'il sera au Noumène<hex:021D0103>!"
