key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_AKTKZC001_04210_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>Règle spéciale<hex:021D0103>:  synchronisation de quête<hex:0249020103><hex:0248020103><hex:02100103>Passemerrant a besoin de votre aide pour une expérience."
1,"TEXT_AKTKZC001_04210_SEQ_01",""
2,"TEXT_AKTKZC001_04210_SEQ_02",""
3,"TEXT_AKTKZC001_04210_SEQ_03",""
4,"TEXT_AKTKZC001_04210_SEQ_04",""
5,"TEXT_AKTKZC001_04210_SEQ_05",""
6,"TEXT_AKTKZC001_04210_SEQ_06",""
7,"TEXT_AKTKZC001_04210_SEQ_07",""
8,"TEXT_AKTKZC001_04210_SEQ_08",""
9,"TEXT_AKTKZC001_04210_SEQ_09",""
10,"TEXT_AKTKZC001_04210_SEQ_10",""
11,"TEXT_AKTKZC001_04210_SEQ_11",""
12,"TEXT_AKTKZC001_04210_SEQ_12",""
13,"TEXT_AKTKZC001_04210_SEQ_13",""
14,"TEXT_AKTKZC001_04210_SEQ_14",""
15,"TEXT_AKTKZC001_04210_SEQ_15",""
16,"TEXT_AKTKZC001_04210_SEQ_16",""
17,"TEXT_AKTKZC001_04210_SEQ_17",""
18,"TEXT_AKTKZC001_04210_SEQ_18",""
19,"TEXT_AKTKZC001_04210_SEQ_19",""
20,"TEXT_AKTKZC001_04210_SEQ_20",""
21,"TEXT_AKTKZC001_04210_SEQ_21",""
22,"TEXT_AKTKZC001_04210_SEQ_22",""
23,"TEXT_AKTKZC001_04210_SEQ_23",""
24,"TEXT_AKTKZC001_04210_TODO_00","Parler à l'étudiant costaud"
25,"TEXT_AKTKZC001_04210_TODO_01","Utiliser la bombe artisanale sur le dispositif expérimental"
26,"TEXT_AKTKZC001_04210_TODO_02","Parler à l'étudiant costaud"
27,"TEXT_AKTKZC001_04210_TODO_03","Parler à Passemerrant"
28,"TEXT_AKTKZC001_04210_TODO_04",""
29,"TEXT_AKTKZC001_04210_TODO_05",""
30,"TEXT_AKTKZC001_04210_TODO_06",""
31,"TEXT_AKTKZC001_04210_TODO_07",""
32,"TEXT_AKTKZC001_04210_TODO_08",""
33,"TEXT_AKTKZC001_04210_TODO_09",""
34,"TEXT_AKTKZC001_04210_TODO_10",""
35,"TEXT_AKTKZC001_04210_TODO_11",""
36,"TEXT_AKTKZC001_04210_TODO_12",""
37,"TEXT_AKTKZC001_04210_TODO_13",""
38,"TEXT_AKTKZC001_04210_TODO_14",""
39,"TEXT_AKTKZC001_04210_TODO_15",""
40,"TEXT_AKTKZC001_04210_TODO_16",""
41,"TEXT_AKTKZC001_04210_TODO_17",""
42,"TEXT_AKTKZC001_04210_TODO_18",""
43,"TEXT_AKTKZC001_04210_TODO_19",""
44,"TEXT_AKTKZC001_04210_TODO_20",""
45,"TEXT_AKTKZC001_04210_TODO_21",""
46,"TEXT_AKTKZC001_04210_TODO_22",""
47,"TEXT_AKTKZC001_04210_TODO_23",""
48,"TEXT_AKTKZC001_04210_PASSEMERRANT_000_001","Hé, toi, tu n'es pas d'ici, je me trompe<hex:021D0103>? J'ai quelques questions à te poser. Tu veux bien m'accorder un instant<hex:021D0103>?"
49,"TEXT_AKTKZC001_04210_PASSEMERRANT_000_002","Écoute, c'est très simple<hex:021D0103>: on prépare un cours pour enfants sur l'éther, et ça sera en plein air. J'aimerais bien que tu y assistes et que tu nous dises ensuite ce que tu en as pensé."
50,"TEXT_AKTKZC001_04210_PASSEMERRANT_000_003","Pour que les enfants s'intéressent un tant soit peu à la science, il faut qu'ils se sentent concernés par ce qu'on leur explique. Toi qui viens d'un autre pays, tu dois pouvoir me donner un avis honnête."
51,"TEXT_AKTKZC001_04210_PASSEMERRANT_000_004","Tu nous sauves<hex:021D0103>! Pour la suite, il faut que tu ailles parler à mon camarade roegadyn dans le bois des Réflexions. C'est un étudiant, le genre costaud, tu verras."
52,"TEXT_AKTKZC001_04210_PASSEMERRANT_000_005","Pour en savoir plus sur ce dont je t'ai parlé, va voir mon camarade roegadyn. C'est un étudiant, le genre costaud. Tu devrais le trouver dans le bois des Réflexions."
53,"TEXT_AKTKZC001_04210_BIGSTUDENT_000_006","<hex:02083DE3E90C0DFF1B><hex:020817E3E90C05FF08>Bonsoir<hex:FF08>Bonjour<hex:03><hex:FF1B><hex:020817E3E90C12FF08>Bonjour<hex:FF08>Bonsoir<hex:03><hex:03><hex:021D0103>! Oui, j'ai été prévenu par linkperle. Vous êtes la personne qui a accepté de participer à notre cours en plein air sur l'éther, c'est ça<hex:021D0103>?"
54,"TEXT_AKTKZC001_04210_BIGSTUDENT_000_007","Vous voyez le truc qui ressemble à une roche, là-bas<hex:021D0103>? C'est un dispositif expérimental que j'ai créé tout spé<hex:02160103>cia<hex:02160103>le<hex:02160103>ment pour simuler les mouvements de l'éther dans les sols. Il servira à montrer comment créer des cristaux."
55,"TEXT_AKTKZC001_04210_BIGSTUDENT_000_008","Allez, on s'y met<hex:021D0103>! Tenez, prenez cette bombe et allez détruire le dispositif. N'ayez pas peur, elle n'est pas très puissante."
56,"TEXT_AKTKZC001_04210_BIGSTUDENT_000_009","Vous voulez bien aller détruire le dispositif expérimental avec la bombe artisanale que je vous ai donnée<hex:021D0103>? Ne vous inquiétez pas, je ne vous demande rien de très risqué... Enfin, je crois."
57,"TEXT_AKTKZC001_04210_BIGSTUDENT_000_010","Voilà les cristaux<hex:021D0103>! Ce sont les flux d'éther qui composent notre environnement. Ça, vous devez le savoir."
58,"TEXT_AKTKZC001_04210_BIGSTUDENT_000_011","Lorsqu'une entité physique gorgée d'éther est détruite, ce dernier se répand dans l'atmosphère afin de rejoindre le royaume éthéréen. Cependant, une petite partie de cet éther demeure dans notre monde physique."
59,"TEXT_AKTKZC001_04210_BIGSTUDENT_000_012","Cette petite partie qui reste forme des cristaux. Pour simplifier, on peut dire que les cristaux sont de l'éther... cristallisé. C'est simple à comprendre, ça, non<hex:021D0103>?"
60,"TEXT_AKTKZC001_04210_Q1_000_000","Que répondez-vous<hex:021D0103>?"
61,"TEXT_AKTKZC001_04210_A1_000_001","Le royaume éthéréen, le monde physique<hex:021D0103>? Hmmm..."
62,"TEXT_AKTKZC001_04210_A1_000_002","C'est très clair, visuellement."
63,"TEXT_AKTKZC001_04210_BIGSTUDENT_000_013","Ah d'accord... Pour vous, il aurait fallu que je revienne sur les bases. Sans vouloir vous offenser, les enfants de Sharlayan les ont déjà acquises..."
64,"TEXT_AKTKZC001_04210_BIGSTUDENT_000_014","Attendez, je crois que j'ai compris votre point de vue. Il faut que je reprenne des choses qui me semblent évidentes afin que même de très jeunes enfants voient de quoi je parle, c'est ça<hex:021D0103>? Personne ici n'oserait me donner son opinion aussi franchement. Merci BEAUCOUP<hex:021D0103>!"
65,"TEXT_AKTKZC001_04210_BIGSTUDENT_000_015","Oh, ça c'est gentil<hex:021D0103>! Et rassurant pour la suite."
