key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_AKTKMA109_04365_SEQ_00","Alisaie vous attend pour partir à la poursuite d'Erenville."
1,"TEXT_AKTKMA109_04365_SEQ_01",""
2,"TEXT_AKTKMA109_04365_SEQ_02",""
3,"TEXT_AKTKMA109_04365_SEQ_03",""
4,"TEXT_AKTKMA109_04365_SEQ_04",""
5,"TEXT_AKTKMA109_04365_SEQ_05",""
6,"TEXT_AKTKMA109_04365_SEQ_06",""
7,"TEXT_AKTKMA109_04365_SEQ_07",""
8,"TEXT_AKTKMA109_04365_SEQ_08",""
9,"TEXT_AKTKMA109_04365_SEQ_09",""
10,"TEXT_AKTKMA109_04365_SEQ_10",""
11,"TEXT_AKTKMA109_04365_SEQ_11",""
12,"TEXT_AKTKMA109_04365_SEQ_12",""
13,"TEXT_AKTKMA109_04365_SEQ_13",""
14,"TEXT_AKTKMA109_04365_SEQ_14",""
15,"TEXT_AKTKMA109_04365_SEQ_15",""
16,"TEXT_AKTKMA109_04365_SEQ_16",""
17,"TEXT_AKTKMA109_04365_SEQ_17",""
18,"TEXT_AKTKMA109_04365_SEQ_18",""
19,"TEXT_AKTKMA109_04365_SEQ_19",""
20,"TEXT_AKTKMA109_04365_SEQ_20",""
21,"TEXT_AKTKMA109_04365_SEQ_21",""
22,"TEXT_AKTKMA109_04365_SEQ_22",""
23,"TEXT_AKTKMA109_04365_SEQ_23",""
24,"TEXT_AKTKMA109_04365_TODO_00","Parler à Y'shtola"
25,"TEXT_AKTKMA109_04365_TODO_01","Transformé<hex:020808E905FF02>e<hex:FF01><hex:03> en crapaud, parler à Alphinaud afin qu'il vous accompagne"
26,"TEXT_AKTKMA109_04365_TODO_02","Transformé<hex:020808E905FF02>e<hex:FF01><hex:03> en crapaud et accompagné<hex:020808E905FF02>e<hex:FF01><hex:03> par Alphinaud et Alisaie, aller à l'endroit indiqué"
27,"TEXT_AKTKMA109_04365_TODO_03","Parler à Alphinaud"
28,"TEXT_AKTKMA109_04365_TODO_04",""
29,"TEXT_AKTKMA109_04365_TODO_05",""
30,"TEXT_AKTKMA109_04365_TODO_06",""
31,"TEXT_AKTKMA109_04365_TODO_07",""
32,"TEXT_AKTKMA109_04365_TODO_08",""
33,"TEXT_AKTKMA109_04365_TODO_09",""
34,"TEXT_AKTKMA109_04365_TODO_10",""
35,"TEXT_AKTKMA109_04365_TODO_11",""
36,"TEXT_AKTKMA109_04365_TODO_12",""
37,"TEXT_AKTKMA109_04365_TODO_13",""
38,"TEXT_AKTKMA109_04365_TODO_14",""
39,"TEXT_AKTKMA109_04365_TODO_15",""
40,"TEXT_AKTKMA109_04365_TODO_16",""
41,"TEXT_AKTKMA109_04365_TODO_17",""
42,"TEXT_AKTKMA109_04365_TODO_18",""
43,"TEXT_AKTKMA109_04365_TODO_19",""
44,"TEXT_AKTKMA109_04365_TODO_20",""
45,"TEXT_AKTKMA109_04365_TODO_21",""
46,"TEXT_AKTKMA109_04365_TODO_22",""
47,"TEXT_AKTKMA109_04365_TODO_23",""
48,"TEXT_AKTKMA109_04365_ALPHINAUD_000_000","Je ne voudrais pas mettre Erenville dans l'embarras, mais si nous voulons saisir notre chance d'observer des membres du Conseil en pleine action, c'est maintenant ou jamais."
49,"TEXT_AKTKMA109_04365_YSHTOLA_000_005","Un tel com<hex:02160103>por<hex:02160103>te<hex:02160103>ment de la part de Krile, ce n'est vraiment pas normal... Je me demande bien ce qui lui arrive. Enfin, tant qu'elle n'est pas malade... Oublions ça pour l'instant et suivons dis<hex:02160103>crè<hex:02160103>te<hex:02160103>ment Erenville."
50,"TEXT_AKTKMA109_04365_KRILE_000_010","... Ah<hex:021D0103>? D-désolée, j'avais la tête ailleurs... Il faut qu'on essaye de rattraper Erenville, c'est ça<hex:021D0103>?"
51,"TEXT_AKTKMA109_04365_ALISAIE_000_020","Erenville est parti vers l'ouest, en suivant le chemin qui mène à l'Archéion. Allons-y au pas de course<hex:021D0103>!"
52,"TEXT_AKTKMA109_04365_ALPHINAUD_000_030","Y'shtola a une suggestion à nous faire, on dirait."
53,"TEXT_AKTKMA109_04365_ALISAIE_000_035","Erenville est cer<hex:02160103>tai<hex:02160103>ne<hex:02160103>ment encore un peu plus loin. Si seulement ce brouillard pouvait se dissiper<hex:021D0103>!"
54,"TEXT_AKTKMA109_04365_KRILE_000_040","Oui... J'écoute..."
55,"TEXT_AKTKMA109_04365_YSHTOLA_000_050","Arrêtons-nous ici un instant et réfléchissons. J'ai une proposition à vous faire pour la suite des opérations."
56,"TEXT_AKTKMA109_04365_YSHTOLA_000_051","Si mes souvenirs sont exacts, l'espèce de mur immense situé droit devant nous s'appelle le Logistikon. Il s'agit en réalité de l'installation servant à gérer la météo ar<hex:02160103>ti<hex:02160103>fi<hex:02160103>cielle du Labyrinthos."
57,"TEXT_AKTKMA109_04365_YSHTOLA_000_052","Sa partie intérieure devrait comporter des ascenseurs servant à connecter les différents niveaux. Impossible de savoir si les membres du Conseil arriveront d'en haut ou d'en bas, mais ce dont nous pouvons être sûrs, c'est qu'ils s'y montreront à un moment ou à un autre."
58,"TEXT_AKTKMA109_04365_YSHTOLA_000_053","Le problème étant que ni eux ni Erenville n'accepteront de parler ouvertement en notre présence..."
59,"TEXT_AKTKMA109_04365_YSHTOLA_000_054","C'est pourquoi j'estime que nous devrions assister à leur con<hex:02160103>ver<hex:02160103>sa<hex:02160103>tion... <hex:021A020203>incognito<hex:021A020103>, si je puis dire."
60,"TEXT_AKTKMA109_04365_ALPHINAUD_000_055","Zut... Si G'raha était avec nous, un simple sort de disparition et le tour serait joué."
61,"TEXT_AKTKMA109_04365_YSHTOLA_000_056","Mon cher Alphinaud, toi qui fus un si brillant étudiant, tu devrais savoir que se rendre invisible n'est pas le seul moyen de cacher sa présence à autrui."
62,"TEXT_AKTKMA109_04365_YSHTOLA_000_057","À moi, jolis petits batraciens<hex:021D0103>! Attentiooon... Crapaud<hex:021D0103>!!"
63,"TEXT_AKTKMA109_04365_KRILE_000_058","Oh<hex:021D0103>! Où est-ce qu'ils sont passés<hex:021D0103>!?"
64,"TEXT_AKTKMA109_04365_YSHTOLA_000_059","Pas d'inquiétude, c'est un simple sort de métamorphose. Si ce n'est pas fait avant, ils reprendront forme humaine dès qu'il aura cessé d'agir."
65,"TEXT_AKTKMA109_04365_YSHTOLA_000_060","Vous pouvez désormais espionner Erenville sans risquer d'être repérés. Si jamais le sort venait à s'estomper avant que vous ayez atteint votre but, vous n'aurez qu'à revenir me voir."
66,"TEXT_AKTKMA109_04365_KRILE_000_061","Y'shtola... Et moi, alors<hex:021D0103>?"
67,"TEXT_AKTKMA109_04365_YSHTOLA_000_062","Toi, tu restes près de moi. Vu ton com<hex:02160103>por<hex:02160103>te<hex:02160103>ment depuis tout à l'heure, je ne voudrais pas qu'il t'arrive malheur parce que je t'aurai transformée en grenouille sans défense."
