key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_AKTKZG101_04507_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>Règle spéciale<hex:021D0103>:  synchronisation de quête<hex:0249020103><hex:0248020103><hex:02100103>Soclès vous regarde d'un air curieux."
1,"TEXT_AKTKZG101_04507_SEQ_01","* <hex:021A020203>Cette quête est <hex:024804F201FC03><hex:024904F201FD03> synchronisée<hex:0249020103><hex:0248020103> avec votre niveau.<hex:021A020103><hex:02100103><hex:02100103>Soclès, le directeur de l'Anagnorisis, vous a accueilli<hex:020808E905FF02>e<hex:FF01><hex:03> à bras ouverts et vous a suggéré d'explorer les lieux en compagnie d'une personne nommée Charmion pour en apprendre plus sur le travail des observateurs. Demandez à Charmion de s'occuper de votre visite guidée."
2,"TEXT_AKTKZG101_04507_SEQ_02","Charmion a accepté de vous servir de guide. Reparlez-lui quand vous serez prêt<hex:020808E905FF02>e<hex:FF01><hex:03> à commencer la visite."
3,"TEXT_AKTKZG101_04507_SEQ_03","Charmion vous a proposé d'aller voir ce que font les gens qui travaillent à l'Anagnorisis. Parlez au personnel en sa compagnie.<hex:02100103>* Si vous vous retrouvez séparé<hex:020808E905FF02>e<hex:FF01><hex:03> de Charmion, reparlez-lui pour qu'elle vous accompagne à nouveau."
4,"TEXT_AKTKZG101_04507_SEQ_04","Vous avez rencontré les personnes chargées respectivement d'observer les végétaux, les familiers et les créatures puissantes. Retournez voir Soclès avec Charmion pour terminer la visite."
5,"TEXT_AKTKZG101_04507_SEQ_05","Soclès et Charmion vous ont manifesté leur curiosité quant à votre façon de penser. Continuez de les côtoyer afin d'en apprendre vous-même davantage au sujet des habitants d'Elpis."
6,"TEXT_AKTKZG101_04507_SEQ_06",""
7,"TEXT_AKTKZG101_04507_SEQ_07",""
8,"TEXT_AKTKZG101_04507_SEQ_08",""
9,"TEXT_AKTKZG101_04507_SEQ_09",""
10,"TEXT_AKTKZG101_04507_SEQ_10",""
11,"TEXT_AKTKZG101_04507_SEQ_11",""
12,"TEXT_AKTKZG101_04507_SEQ_12",""
13,"TEXT_AKTKZG101_04507_SEQ_13",""
14,"TEXT_AKTKZG101_04507_SEQ_14",""
15,"TEXT_AKTKZG101_04507_SEQ_15",""
16,"TEXT_AKTKZG101_04507_SEQ_16",""
17,"TEXT_AKTKZG101_04507_SEQ_17",""
18,"TEXT_AKTKZG101_04507_SEQ_18",""
19,"TEXT_AKTKZG101_04507_SEQ_19",""
20,"TEXT_AKTKZG101_04507_SEQ_20",""
21,"TEXT_AKTKZG101_04507_SEQ_21",""
22,"TEXT_AKTKZG101_04507_SEQ_22",""
23,"TEXT_AKTKZG101_04507_SEQ_23",""
24,"TEXT_AKTKZG101_04507_TODO_00","Parler à Charmion"
25,"TEXT_AKTKZG101_04507_TODO_01","Reparler à Charmion afin qu'elle vous accompagne"
26,"TEXT_AKTKZG101_04507_TODO_02","<hex:02081EE905FF0D>Accompagnée<hex:FF0C>Accompagné<hex:03> par Charmion, parler au personnel de l'Anagnorisis"
27,"TEXT_AKTKZG101_04507_TODO_03","<hex:02081EE905FF0D>Accompagnée<hex:FF0C>Accompagné<hex:03> par Charmion, parler à Soclès"
28,"TEXT_AKTKZG101_04507_TODO_04",""
29,"TEXT_AKTKZG101_04507_TODO_05",""
30,"TEXT_AKTKZG101_04507_TODO_06",""
31,"TEXT_AKTKZG101_04507_TODO_07",""
32,"TEXT_AKTKZG101_04507_TODO_08",""
33,"TEXT_AKTKZG101_04507_TODO_09",""
34,"TEXT_AKTKZG101_04507_TODO_10",""
35,"TEXT_AKTKZG101_04507_TODO_11",""
36,"TEXT_AKTKZG101_04507_TODO_12",""
37,"TEXT_AKTKZG101_04507_TODO_13",""
38,"TEXT_AKTKZG101_04507_TODO_14",""
39,"TEXT_AKTKZG101_04507_TODO_15",""
40,"TEXT_AKTKZG101_04507_TODO_16",""
41,"TEXT_AKTKZG101_04507_TODO_17",""
42,"TEXT_AKTKZG101_04507_TODO_18",""
43,"TEXT_AKTKZG101_04507_TODO_19",""
44,"TEXT_AKTKZG101_04507_TODO_20",""
45,"TEXT_AKTKZG101_04507_TODO_21",""
46,"TEXT_AKTKZG101_04507_TODO_22",""
47,"TEXT_AKTKZG101_04507_TODO_23",""
48,"TEXT_AKTKZG101_04507_SOKLES_000_000","Bienvenue à l'Anagnorisis<hex:021D0103>! Je suis Soclès, le directeur. J'ai eu l'honneur de me voir confier cette fonction par Hermès en personne, le directeur d'Elpis."
49,"TEXT_AKTKZG101_04507_SOKLES_000_001","Mais dis-moi... C'est rare pour un familier d'être doté d'une âme<hex:021D0103>!"
50,"TEXT_AKTKZG101_04507_SOKLES_000_002","Que fais-tu ici <hex:02081BE905FF0C>toute seule<hex:FF0A>tout seul<hex:03><hex:021D0103>? T'aurait-on envoyé<hex:020808E905FF02>e<hex:FF01><hex:03> visiter notre éta<hex:02160103>blis<hex:02160103>se<hex:02160103>ment<hex:021D0103>?"
51,"TEXT_AKTKZG101_04507_SOKLES_000_003","Dans ce cas, j'ai la personne qu'il te faut. Si tu veux en savoir plus sur le travail des observateurs, adresse-toi à Charmion de ma part, elle te servira de guide."
52,"TEXT_AKTKZG101_04507_SOKLES_000_010","Adresse-toi à Charmion pour la visite, elle ne doit pas être loin. Tâche de ne pas t'écarter d'elle."
53,"TEXT_AKTKZG101_04507_CHARMION_000_020","Oui<hex:021D0103>? Je peux faire quelque chose pour toi<hex:021D0103>?"
54,"TEXT_AKTKZG101_04507_CHARMION_000_021","Le familier d'Azem<hex:021D0103>? Enchantée, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! Et tu dis que Soclès veut que je te fasse faire une visite guidée<hex:021D0103>? Euh..."
55,"TEXT_AKTKZG101_04507_CHARMION_000_022","Oh pardon<hex:021D0103>! Ce n'est pas que ça me dérange, hein. Je me demande simplement pourquoi le directeur s'en remet à moi pour cette mission."
56,"TEXT_AKTKZG101_04507_CHARMION_000_023","À vrai dire, je suis encore nouvelle. Ça ne fait pas très longtemps que je suis ici. Avant, j'étais chercheuse à l'Akadaemia Anydre."
57,"TEXT_AKTKZG101_04507_CHARMION_000_024","Je pense que d'autres personnes seraient bien plus qualifiées que moi pour te faire visiter l'Anagnorisis... Mais bon, je ne vais pas t'embêter avec ça<hex:021D0103>!"
58,"TEXT_AKTKZG101_04507_CHARMION_000_025","Allez<hex:021D0103>! Si le directeur me confie cette tâche, je vais faire de mon mieux<hex:021D0103>! Ce n'est pas souvent qu'un visiteur comme toi s'intéresse à notre travail. Ça fait plaisir<hex:021D0103>!"
59,"TEXT_AKTKZG101_04507_CHARMION_000_026","On y va quand tu veux<hex:021D0103>!"
60,"TEXT_AKTKZG101_04507_CHARMION_000_030","Tu es prêt<hex:020808E905FF02>e<hex:FF01><hex:03><hex:021D0103>?"
