key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_BANARK002_04546_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>Règle spéciale<hex:021D0103>:  synchronisation de quête avec limitation de job ou de classe<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Trna affiche une mine réjouie."
1,"TEXT_BANARK002_04546_SEQ_01","* <hex:021A020203>Cette quête est <hex:024804F201FC03><hex:024904F201FD03> synchronisée<hex:0249020103><hex:0248020103> avec votre niveau.<hex:021A020103><hex:02100103>* <hex:021A020203>Il n'est possible de progresser dans cette quête qu'avec la classe ou le job qui a servi à la commencer.<hex:021A020103> <hex:02100103><hex:02100103>Après en avoir débattu tous ensemble, Trna, Maru et vous êtes parvenus à la conclusion que les Hippotracteurs avaient besoin de diversifier leurs services s'ils voulaient connaître un véritable succès. En guise de commencement, vous avez accepté de rejoindre Trna au Grand Œuvre pour l'aider à récupérer un colis auprès d'une alchimiste. Attendez-la à l'endroit indiqué."
2,"TEXT_BANARK002_04546_SEQ_02","Vous êtes arrivé<hex:020808E905FF02>e<hex:FF01><hex:03> au point de rendez-vous, mais aucune trace de Trna... Essayez de la retrouver."
3,"TEXT_BANARK002_04546_SEQ_03","Vous avez éliminé un vajralangula qui menaçait les vies de Trna et d'un alchimiste. Portez secours à ce dernier."
4,"TEXT_BANARK002_04546_SEQ_04","Selon le pauvre alchimiste encore un peu mal en point, le monstre avait malheureusement été attiré par l'odeur des fruits mûrs qu'il trans<hex:02160103>por<hex:02160103>tait. Trna s'est proposée de le rac<hex:02160103>com<hex:02160103>pag<hex:02160103>ner pendant que vous allez à la rencontre de sa collègue qui a requis vos services."
5,"TEXT_BANARK002_04546_SEQ_05","Votre cliente vous a expliqué qu'elle avait dû faire face à un incident durant la préparation de son colis, à savoir une petite explosion de trois fois rien, et vous a demandé de patienter encore un peu avant qu'il soit prêt. Trna vous a proposé de profiter de l'occasion pour interroger quelques habitants du Grand Œuvre sur les services divers et variés qui leur sembleraient utiles. Parlez à Trna."
6,"TEXT_BANARK002_04546_SEQ_06","En compagnie de votre amie amatrice d'hippochars, interrogez quelques alchimistes du Grand Œuvre à propos de ce que vous pourriez faire pour leur rendre la vie plus agréable.<hex:02100103>* Si vous vous retrouvez <hex:020818E905FF0A>séparée<hex:FF09>séparé<hex:03> de Trna, reparlez-lui au point de départ pour qu'elle vous accompagne à nouveau."
7,"TEXT_BANARK002_04546_SEQ_07","Vous avez discuté avec les alchimistes. Retournez auprès de votre cliente."
8,"TEXT_BANARK002_04546_SEQ_08","Vous avez fini par obtenir le colis tant attendu, dont le des<hex:02160103>ti<hex:02160103>na<hex:02160103>tai<hex:02160103>re n'est autre que Yezahn, le père adoptif du bébé de Qerasaf et de Mehvan. Retrouvez-le à l'Écoute des Palaka."
9,"TEXT_BANARK002_04546_SEQ_09","Durant votre con<hex:02160103>ver<hex:02160103>sa<hex:02160103>tion, Yezahn vous a expliqué que les travailleurs de l'Écoute des Palaka avaient besoin de se nourrir ré<hex:02160103>gu<hex:02160103>liè<hex:02160103>re<hex:02160103>ment comme tout le monde, mais qu'il devenait de plus en plus difficile de leur acheminer de la nourriture. C'est alors que Trna a eu l'idée de transformer les Hippotracteurs en livreurs de plats d'une rapidité sans égale<hex:021D0103>! Retournez à Svarna pour en discuter avec vos autres collègues."
10,"TEXT_BANARK002_04546_SEQ_10","Maru a grandement approuvé l'idée de Trna, et vous voilà donc partis pour tenter de sustenter en victuailles toute l'île de Thavnair. Bonne chance, et gardez bien l'œil sur la route<hex:021D0103>!"
11,"TEXT_BANARK002_04546_SEQ_11",""
12,"TEXT_BANARK002_04546_SEQ_12",""
13,"TEXT_BANARK002_04546_SEQ_13",""
14,"TEXT_BANARK002_04546_SEQ_14",""
15,"TEXT_BANARK002_04546_SEQ_15",""
16,"TEXT_BANARK002_04546_SEQ_16",""
17,"TEXT_BANARK002_04546_SEQ_17",""
18,"TEXT_BANARK002_04546_SEQ_18",""
19,"TEXT_BANARK002_04546_SEQ_19",""
20,"TEXT_BANARK002_04546_SEQ_20",""
21,"TEXT_BANARK002_04546_SEQ_21",""
22,"TEXT_BANARK002_04546_SEQ_22",""
23,"TEXT_BANARK002_04546_SEQ_23",""
24,"TEXT_BANARK002_04546_TODO_00","Attendre à l'endroit indiqué, au Grand Œuvre"
25,"TEXT_BANARK002_04546_TODO_01","Retrouver Trna"
26,"TEXT_BANARK002_04546_TODO_02","Secourir l'alchimiste blessé"
27,"TEXT_BANARK002_04546_TODO_03","Parler à la cliente du Grand Œuvre"
28,"TEXT_BANARK002_04546_TODO_04","Parler à Trna afin qu'elle vous accompagne"
29,"TEXT_BANARK002_04546_TODO_05","<hex:02081EE905FF0D>Accompagnée<hex:FF0C>Accompagné<hex:03> par Trna, parler aux alchimistes"
30,"TEXT_BANARK002_04546_TODO_06","<hex:02081EE905FF0D>Accompagnée<hex:FF0C>Accompagné<hex:03> par Trna, parler à la cliente du Grand Œuvre"
31,"TEXT_BANARK002_04546_TODO_07","Parler à Yezahn, à l'Écoute des Palaka"
32,"TEXT_BANARK002_04546_TODO_08","Parler à Trna, à Svarna"
33,"TEXT_BANARK002_04546_TODO_09",""
34,"TEXT_BANARK002_04546_TODO_10",""
35,"TEXT_BANARK002_04546_TODO_11",""
36,"TEXT_BANARK002_04546_TODO_12",""
37,"TEXT_BANARK002_04546_TODO_13",""
38,"TEXT_BANARK002_04546_TODO_14",""
39,"TEXT_BANARK002_04546_TODO_15",""
40,"TEXT_BANARK002_04546_TODO_16",""
41,"TEXT_BANARK002_04546_TODO_17",""
42,"TEXT_BANARK002_04546_TODO_18",""
43,"TEXT_BANARK002_04546_TODO_19",""
44,"TEXT_BANARK002_04546_TODO_20",""
45,"TEXT_BANARK002_04546_TODO_21",""
46,"TEXT_BANARK002_04546_TODO_22",""
47,"TEXT_BANARK002_04546_TODO_23",""
48,"TEXT_BANARK002_04546_TRNA_000_000","Salut, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! Figure-toi que les Hippotracteurs ont fait pas mal de progrès depuis la dernière fois. Attends, j'appelle Maru et je te fais un topo en direct."
49,"TEXT_BANARK002_04546_TRNA_000_001","Grâce à ton soutien, les affaires marchent plutôt bien pour nous. Kancana nous envoie ses bons plans à chaque fois qu'elle peut, donc même si on n'est pas encore au maximum de nos capacités, on reçoit au moins du travail en flux tendu."
50,"TEXT_BANARK002_04546_TRNA_000_002","Et donc récemment, Maru a décidé de mettre sé<hex:02160103>rieu<hex:02160103>se<hex:02160103>ment la main à la pâte et de nous préparer du “gulal”, une poudre de diverses couleurs très appréciée dans le coin. Elle n'accélère pas les délais de livraison, mais elle permet de se faire bien voir de la population locale<hex:021D0103>!"
