key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_AKTKMJ107_04676_SEQ_00","Zero s'interroge sur la suite de vos plans."
1,"TEXT_AKTKMJ107_04676_SEQ_01",""
2,"TEXT_AKTKMJ107_04676_SEQ_02",""
3,"TEXT_AKTKMJ107_04676_SEQ_03",""
4,"TEXT_AKTKMJ107_04676_SEQ_04",""
5,"TEXT_AKTKMJ107_04676_SEQ_05",""
6,"TEXT_AKTKMJ107_04676_SEQ_06",""
7,"TEXT_AKTKMJ107_04676_SEQ_07",""
8,"TEXT_AKTKMJ107_04676_SEQ_08",""
9,"TEXT_AKTKMJ107_04676_SEQ_09",""
10,"TEXT_AKTKMJ107_04676_SEQ_10",""
11,"TEXT_AKTKMJ107_04676_SEQ_11",""
12,"TEXT_AKTKMJ107_04676_SEQ_12",""
13,"TEXT_AKTKMJ107_04676_SEQ_13",""
14,"TEXT_AKTKMJ107_04676_SEQ_14",""
15,"TEXT_AKTKMJ107_04676_SEQ_15",""
16,"TEXT_AKTKMJ107_04676_SEQ_16",""
17,"TEXT_AKTKMJ107_04676_SEQ_17",""
18,"TEXT_AKTKMJ107_04676_SEQ_18",""
19,"TEXT_AKTKMJ107_04676_SEQ_19",""
20,"TEXT_AKTKMJ107_04676_SEQ_20",""
21,"TEXT_AKTKMJ107_04676_SEQ_21",""
22,"TEXT_AKTKMJ107_04676_SEQ_22",""
23,"TEXT_AKTKMJ107_04676_SEQ_23",""
24,"TEXT_AKTKMJ107_04676_TODO_00","Attendre à l'endroit indiqué, devant le palais du Meghaduta"
25,"TEXT_AKTKMJ107_04676_TODO_01","Parler à Zero"
26,"TEXT_AKTKMJ107_04676_TODO_02","Recueillir des in<hex:02160103>for<hex:02160103>ma<hex:02160103>tions près du couvoir des hamsa"
27,"TEXT_AKTKMJ107_04676_TODO_03","Parler à Nahbdeen"
28,"TEXT_AKTKMJ107_04676_TODO_04",""
29,"TEXT_AKTKMJ107_04676_TODO_05",""
30,"TEXT_AKTKMJ107_04676_TODO_06",""
31,"TEXT_AKTKMJ107_04676_TODO_07",""
32,"TEXT_AKTKMJ107_04676_TODO_08",""
33,"TEXT_AKTKMJ107_04676_TODO_09",""
34,"TEXT_AKTKMJ107_04676_TODO_10",""
35,"TEXT_AKTKMJ107_04676_TODO_11",""
36,"TEXT_AKTKMJ107_04676_TODO_12",""
37,"TEXT_AKTKMJ107_04676_TODO_13",""
38,"TEXT_AKTKMJ107_04676_TODO_14",""
39,"TEXT_AKTKMJ107_04676_TODO_15",""
40,"TEXT_AKTKMJ107_04676_TODO_16",""
41,"TEXT_AKTKMJ107_04676_TODO_17",""
42,"TEXT_AKTKMJ107_04676_TODO_18",""
43,"TEXT_AKTKMJ107_04676_TODO_19",""
44,"TEXT_AKTKMJ107_04676_TODO_20",""
45,"TEXT_AKTKMJ107_04676_TODO_21",""
46,"TEXT_AKTKMJ107_04676_TODO_22",""
47,"TEXT_AKTKMJ107_04676_TODO_23",""
48,"TEXT_AKTKMJ107_04676_ESTINIEN_000_000","Vrtra a trouvé en lui la force de se relever. Tout devrait aller bien mieux dorénavant."
49,"TEXT_AKTKMJ107_04676_YSHTOLA_000_005","L'œil d'Azdaja n'est pas encore tout à fait corrompu, alors qu'elle est restée piégée des millénaires dans le néant. Sa résistance sur le plan éthéré doit être tout bonnement ex<hex:02160103>cep<hex:02160103>tion<hex:02160103>nelle."
50,"TEXT_AKTKMJ107_04676_YSHTOLA_000_006","Per<hex:02160103>son<hex:02160103>nel<hex:02160103>le<hex:02160103>ment, j'aime à croire qu'elle est encore en vie. J'estime qu'on devrait poursuivre nos recherches, en nous gardant d'être trop pessimistes."
51,"TEXT_AKTKMJ107_04676_VARSHAHNBIG_000_010","Désolé, j'ai été pathétique pour le coup. Je me suis laissé bêtement abattre, alors qu'objectivement, je devrais me réjouir d'avoir enfin retrouvé la trace de ma sœur après tant d'années."
52,"TEXT_AKTKMJ107_04676_VARSHAHNBIG_000_011","Heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment que vous êtes là pour m'encourager dans ce genre de moments. Sincèrement, je ne sais pas ce que je ferais sans vous. Merci du fond du cœur."
53,"TEXT_AKTKMJ107_04676_MYSTERIOUSPERSON_000_020","Et maintenant<hex:021D0103>? Vous allez retourner dans le néant, comme vous aviez prévu au départ<hex:021D0103>?"
54,"TEXT_AKTKMJ107_04676_YSHTOLA_000_021",""
55,"TEXT_AKTKMJ107_04676_VARSHAHNBIG_000_022","Tout à fait<hex:021D0103>! Un petit détour par Radz-at-Han, le temps de nous préparer comme il faut, puis nous pourrons y aller. Nous n'aurons qu'à nous retrouver devant le palais du Meghaduta, comme d'habitude."
56,"TEXT_AKTKMJ107_04676_MYSTERIOUSPERSON_000_030","Donc, on doit retrouver ce monstre."
57,"TEXT_AKTKMJ107_04676_MYSTERIOUSPERSON_000_031","Ça risque d'être compliqué vu le peu d'in<hex:02160103>for<hex:02160103>ma<hex:02160103>tions qu'on a, surtout au regard de la taille de cette île."
58,"TEXT_AKTKMJ107_04676_MYSTERIOUSPERSON_000_032","Enfin, je suis mal placée pour juger, étant une parfaite étrangère... C'est plutôt à toi de me dire quelle serait la meilleure façon de procéder."
59,"TEXT_AKTKMJ107_04676_Q1_000_000","Que dites-vous<hex:021D0103>?"
60,"TEXT_AKTKMJ107_04676_A1_000_001","Il y a forcément quelqu'un qui peut nous renseigner<hex:021D0103>!"
61,"TEXT_AKTKMJ107_04676_A1_000_002","Il faut interroger un maximum de témoins."
62,"TEXT_AKTKMJ107_04676_MYSTERIOUSPERSON_000_033","Tu voudrais t'en remettre à d'autres gens<hex:021D0103>? Ma foi, si tu m'assures que cette approche est efficace, je veux bien te croire sur parole."
63,"TEXT_AKTKMJ107_04676_MYSTERIOUSPERSON_000_034","Et ces fameuses personnes, tu saurais où les trouver<hex:021D0103>?"
64,"TEXT_AKTKMJ107_04676_MYSTERIOUSPERSON_000_035","Tu voudrais t'en remettre à d'autres gens<hex:021D0103>? Ma foi, si tu m'assures que cette approche est efficace, je veux bien te croire sur parole."
65,"TEXT_AKTKMJ107_04676_MYSTERIOUSPERSON_000_036","Si je comprends bien, on se dirigerait vers un endroit peuplé, situé non loin d'ici... Où ça par exemple<hex:021D0103>? "
66,"TEXT_AKTKMJ107_04676_MYSTERIOUSPERSON_000_037","Au Grand Œuvre, ou à la garnison de l'Ost rayonnant, près du couvoir des hamsa... Les deux sont situés au nord, et vaudraient la peine d'être visités d'après toi..."
67,"TEXT_AKTKMJ107_04676_MYSTERIOUSPERSON_000_038","Soit. Je vais faire un tour au Grand Œuvre, je te laisse la garnison. À plus tard."
68,"TEXT_AKTKMJ107_04676_NAHBDEEN_000_038","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! Vous êtes là à cause de l'explosion survenue sur l'île de Bhaflau<hex:021D0103>?"
