key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_AKTKCT302_04803_SEQ_00","<hex:024804F201F603><hex:024904F201F703>Règle spéciale<hex:021D0103>:  classe ou job fixe<hex:0249020103><hex:0248020103><hex:02100103>Chora-Zoi est plus motivée que jamais."
1,"TEXT_AKTKCT302_04803_SEQ_01","* <hex:021A020203>Cette quête fait l'objet de la règle spéciale <hex:024804F201F603><hex:024904F201F703> classe ou job fixe<hex:0249020103><hex:0248020103>. Il n'est possible de progresser qu'avec la classe ou le job qui a servi à la commencer.<hex:021A020103><hex:02100103><hex:02100103>L'amélioration des outils des merveilles entre dans sa dernière ligne droite, et pour parvenir à vos fins, vous êtes tenu<hex:020808E905FF02>e<hex:FF01><hex:03> de livrer des mar<hex:02160103>chan<hex:02160103>di<hex:02160103>ses à Quinnana, qui vous fournira en retour les in<hex:02160103>dis<hex:02160103>pen<hex:02160103>sa<hex:02160103>bles matériaux. Si vous êtes <hex:02081CE905FF0C>récolteuse<hex:FF0B>récolteur<hex:03>, vous pouvez également utiliser l'éthérolyse pour vous procurer ces mêmes matériaux. Quelle que soit votre méthode d'obtention, donnez-les à Chora-Zoi en compagnie de votre outil lorsque vous aurez terminé votre part du travail."
2,"TEXT_AKTKCT302_04803_SEQ_02","Chora-Zoi est parvenue à resculpter votre outil des merveilles, en y incorporant cette fois des fragments issus de la Tour de Cristal, une façon pour elle de rendre hommage aux artisans cristariens. Vous n'êtes désormais plus qu'à une étape du nec plus ultra tant espéré..."
3,"TEXT_AKTKCT302_04803_SEQ_03",""
4,"TEXT_AKTKCT302_04803_SEQ_04",""
5,"TEXT_AKTKCT302_04803_SEQ_05",""
6,"TEXT_AKTKCT302_04803_SEQ_06",""
7,"TEXT_AKTKCT302_04803_SEQ_07",""
8,"TEXT_AKTKCT302_04803_SEQ_08",""
9,"TEXT_AKTKCT302_04803_SEQ_09",""
10,"TEXT_AKTKCT302_04803_SEQ_10",""
11,"TEXT_AKTKCT302_04803_SEQ_11",""
12,"TEXT_AKTKCT302_04803_SEQ_12",""
13,"TEXT_AKTKCT302_04803_SEQ_13",""
14,"TEXT_AKTKCT302_04803_SEQ_14",""
15,"TEXT_AKTKCT302_04803_SEQ_15",""
16,"TEXT_AKTKCT302_04803_SEQ_16",""
17,"TEXT_AKTKCT302_04803_SEQ_17",""
18,"TEXT_AKTKCT302_04803_SEQ_18",""
19,"TEXT_AKTKCT302_04803_SEQ_19",""
20,"TEXT_AKTKCT302_04803_SEQ_20",""
21,"TEXT_AKTKCT302_04803_SEQ_21",""
22,"TEXT_AKTKCT302_04803_SEQ_22",""
23,"TEXT_AKTKCT302_04803_SEQ_23",""
24,"TEXT_AKTKCT302_04803_TODO_00","Donner <hex:0208F20138E4E80509FF11><hex:02330DFF05>Item<hex:03F29B3F020203><hex:FFF2011E><hex:0208F20118E4E8050AFF11><hex:02330DFF05>Item<hex:03F29B40020203><hex:FFF0FF><hex:0208F0FAE4E8050BFF11><hex:02330DFF05>Item<hex:03F29B41020203><hex:FFF0E1><hex:0208F0DCE4E8050CFF11><hex:02330DFF05>Item<hex:03F29B42020203><hex:FFC5><hex:0208C1E4E8050DFF11><hex:02330DFF05>Item<hex:03F29B43020203><hex:FFA9><hex:0208A5E4E8050EFF11><hex:02330DFF05>Item<hex:03F29B44020203><hex:FF8D><hex:020889E4E8050FFF11><hex:02330DFF05>Item<hex:03F29B45020203><hex:FF71><hex:02086DE4E80510FF11><hex:02330DFF05>Item<hex:03F29B46020203><hex:FF55><hex:020851E4E80511FF11><hex:02330DFF05>Item<hex:03F29B47020203><hex:FF39><hex:020835E4E80512FF11><hex:02330DFF05>Item<hex:03F29B48020203><hex:FF1D><hex:020819E4E80513FF11><hex:02330DFF05>Item<hex:03F29B49020203><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03> ainsi que <hex:0208F202DCE4E80509FF2C><hex:024804F2023B03><hex:024904F2023C03>60<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A136030203><hex:FFF202A7><hex:0208F202A1E4E8050AFF2C><hex:024804F2023B03><hex:024904F2023C03>60<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A137030203><hex:FFF2026C><hex:0208F20266E4E8050BFF2C><hex:024804F2023B03><hex:024904F2023C03>60<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A138030203><hex:FFF20231><hex:0208F2022BE4E8050CFF2C><hex:024804F2023B03><hex:024904F2023C03>60<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A139030203><hex:FFF201F6><hex:0208F201F0E4E8050DFF2C><hex:024804F2023B03><hex:024904F2023C03>60<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A13A030203><hex:FFF201BB><hex:0208F201B5E4E8050EFF2C><hex:024804F2023B03><hex:024904F2023C03>60<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A13B030203><hex:FFF20180><hex:0208F2017AE4E8050FFF2C><hex:024804F2023B03><hex:024904F2023C03>60<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A13C030203><hex:FFF20145><hex:0208F2013FE4E80510FF2C><hex:024804F2023B03><hex:024904F2023C03>60<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A13D030203><hex:FFF2010A><hex:0208F20104E4E80511FF5D><hex:024804F2023B03><hex:024904F2023C03>220<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A14E030203> et <hex:024804F2023B03><hex:024904F2023C03>220<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A147030203><hex:FFA1><hex:02089DE4E80512FF5D><hex:024804F2023B03><hex:024904F2023C03>220<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A14F030203> et <hex:024804F2023B03><hex:024904F2023C03>220<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A149030203><hex:FF39><hex:020835E4E80513FF2D><hex:024804F2023B03><hex:024904F2023C03>170<hex:0249020103><hex:0248020103> <hex:02330DFF05>Item<hex:0DF2A157030203><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03> à Chora-Zoi"
25,"TEXT_AKTKCT302_04803_TODO_01",""
26,"TEXT_AKTKCT302_04803_TODO_02",""
27,"TEXT_AKTKCT302_04803_TODO_03",""
28,"TEXT_AKTKCT302_04803_TODO_04",""
29,"TEXT_AKTKCT302_04803_TODO_05",""
30,"TEXT_AKTKCT302_04803_TODO_06",""
31,"TEXT_AKTKCT302_04803_TODO_07",""
32,"TEXT_AKTKCT302_04803_TODO_08",""
33,"TEXT_AKTKCT302_04803_TODO_09",""
34,"TEXT_AKTKCT302_04803_TODO_10",""
