key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_KINGMA115_04874_SEQ_00","Wuk Lamat vous attend pour partir à la recherche de votre prochain partenaire commercial."
1,"TEXT_KINGMA115_04874_SEQ_01",""
2,"TEXT_KINGMA115_04874_SEQ_02",""
3,"TEXT_KINGMA115_04874_SEQ_03",""
4,"TEXT_KINGMA115_04874_SEQ_04",""
5,"TEXT_KINGMA115_04874_SEQ_05",""
6,"TEXT_KINGMA115_04874_SEQ_06",""
7,"TEXT_KINGMA115_04874_SEQ_07",""
8,"TEXT_KINGMA115_04874_SEQ_08",""
9,"TEXT_KINGMA115_04874_SEQ_09",""
10,"TEXT_KINGMA115_04874_SEQ_10",""
11,"TEXT_KINGMA115_04874_SEQ_11",""
12,"TEXT_KINGMA115_04874_SEQ_12",""
13,"TEXT_KINGMA115_04874_SEQ_13",""
14,"TEXT_KINGMA115_04874_SEQ_14",""
15,"TEXT_KINGMA115_04874_SEQ_15",""
16,"TEXT_KINGMA115_04874_SEQ_16",""
17,"TEXT_KINGMA115_04874_SEQ_17",""
18,"TEXT_KINGMA115_04874_SEQ_18",""
19,"TEXT_KINGMA115_04874_SEQ_19",""
20,"TEXT_KINGMA115_04874_SEQ_20",""
21,"TEXT_KINGMA115_04874_SEQ_21",""
22,"TEXT_KINGMA115_04874_SEQ_22",""
23,"TEXT_KINGMA115_04874_SEQ_23",""
24,"TEXT_KINGMA115_04874_TODO_00","Parler à Mablu"
25,"TEXT_KINGMA115_04874_TODO_01","Donner <hex:023313FF0A>EventItem<hex:03F61E9218020203> à Wuk Lamat"
26,"TEXT_KINGMA115_04874_TODO_02","Récolter <hex:023313FF0A>EventItem<hex:02F61E9219030203>"
27,"TEXT_KINGMA115_04874_TODO_03","Donner <hex:023313FF0A>EventItem<hex:03F61E9219030203> à Miplu"
28,"TEXT_KINGMA115_04874_TODO_04",""
29,"TEXT_KINGMA115_04874_TODO_05",""
30,"TEXT_KINGMA115_04874_TODO_06",""
31,"TEXT_KINGMA115_04874_TODO_07",""
32,"TEXT_KINGMA115_04874_TODO_08",""
33,"TEXT_KINGMA115_04874_TODO_09",""
34,"TEXT_KINGMA115_04874_TODO_10",""
35,"TEXT_KINGMA115_04874_TODO_11",""
36,"TEXT_KINGMA115_04874_TODO_12",""
37,"TEXT_KINGMA115_04874_TODO_13",""
38,"TEXT_KINGMA115_04874_TODO_14",""
39,"TEXT_KINGMA115_04874_TODO_15",""
40,"TEXT_KINGMA115_04874_TODO_16",""
41,"TEXT_KINGMA115_04874_TODO_17",""
42,"TEXT_KINGMA115_04874_TODO_18",""
43,"TEXT_KINGMA115_04874_TODO_19",""
44,"TEXT_KINGMA115_04874_TODO_20",""
45,"TEXT_KINGMA115_04874_TODO_21",""
46,"TEXT_KINGMA115_04874_TODO_22",""
47,"TEXT_KINGMA115_04874_TODO_23",""
48,"TEXT_KINGMA115_04874_MABLU_000_001","Pour l'instant, tout se passe comme sur des roulettes<hex:021D0103>! J'espère que Tobli remarquera mes progrès..."
49,"TEXT_KINGMA115_04874_WUKLAMAT_000_005","Ah, j'allais oublier. Avant de partir, je te confie notre précieuse marchandise."
50,"TEXT_KINGMA115_04874_WUKLAMAT_000_006","Comme ça, notre hachette est entre de bonnes mains. Mablu est gentille d'avoir loué des alpagas, mais je t'avoue que ça ne m'enchante pas de voyager encore sur une de ces monstruosités..."
51,"TEXT_KINGMA115_04874_WUKLAMAT_000_010","Je dois affronter ma peur<hex:021D0103>! Non, mieux encore, je dois la vaincre<hex:021D0103>! Il le faut bien si je veux arriver à attraper un alpaga sauvage pour l'épreuve du rite de succession..."
52,"TEXT_KINGMA115_04874_MABLU_000_015","Hop hop<hex:021D0103>! Sautez sur votre alpaga quand vous serez prêt<hex:020808E905FF02>e<hex:FF01><hex:03> à partir pour la matéière de Miplu."
53,"TEXT_KINGMA115_04874_Q10_000_000","Monter sur l'alpaga<hex:021D0103>?"
54,"TEXT_KINGMA115_04874_MABLU_000_500","C'est parti pour la matéière de Miplu<hex:021D0103>!"
55,"TEXT_KINGMA115_04874_WUKLAMAT_000_501","Tout doux, tout doux... Pas cracher<hex:021D0103>!"
56,"TEXT_KINGMA115_04874_MABLU_000_502","Pas d'inquiétude, ceux-ci sont dociles et bien élevés<hex:021D0103>!"
57,"TEXT_KINGMA115_04874_WUKLAMAT_000_503","Si tu le dis, je te fais confiance..."
58,"TEXT_KINGMA115_04874_MABLU_000_504","Mine de rien, vous êtes une excellente cavalière<hex:021D0103>!"
59,"TEXT_KINGMA115_04874_MABLU_000_505","C'est grâce aux alpagas que mon peuple peut parcourir tout le Tuliyollal clopin-clopant. Sans eux, transporter nos mar<hex:02160103>chan<hex:02160103>di<hex:02160103>ses par-delà les montagnes serait impossible."
60,"TEXT_KINGMA115_04874_WUKLAMAT_000_506","Ouah... Ce sommet escarpé est tout bonnement im<hex:02160103>pres<hex:02160103>sion<hex:02160103>nant."
61,"TEXT_KINGMA115_04874_WUKLAMAT_000_507","Je crois bien que c'est Worqor Zormor."
62,"TEXT_KINGMA115_04874_MABLU_000_508","Moi aussi, j'en ai le souffle coupé. Je n'ai jamais eu le courage de m'en approcher, par contre."
63,"TEXT_KINGMA115_04874_MABLU_000_509","C'est le territoire des Yok Huy. À cause des nombreux précipices, ceux qui cherchent à gravir cette montagne se retrouvent toujours à faire de grands détours."
64,"TEXT_KINGMA115_04874_WUKLAMAT_000_510","... Tiens, j'y pense, Mablu. Tu veux devenir marchande itinérante, c'est bien ça<hex:021D0103>? Tu ne te plais pas à L'Alpaguerie<hex:021D0103>?"
65,"TEXT_KINGMA115_04874_MABLU_000_511","Au contraire<hex:021D0103>! J'adore chouchouter les alpagas<hex:021D0103>!"
66,"TEXT_KINGMA115_04874_MABLU_000_512","Mais ça a toujours été mon rêve de devenir marchande itinérante."
67,"TEXT_KINGMA115_04874_MABLU_000_513","Je connais le b.a.-ba, mais je n'ai jamais osé franchir le pas..."
68,"TEXT_KINGMA115_04874_MABLU_000_514","Hop hop<hex:021D0103>! Si j'arrive à vous aider à passer l'épreuve du rite de succession, personne ne pourra m'empêcher de tenter l'aventure<hex:021D0103>!"
69,"TEXT_KINGMA115_04874_WUKLAMAT_000_515","T'inquiète pas, je réussirai coûte que coûte<hex:021D0103>! Et j'espère que toi aussi tu pourras réaliser ton rêve<hex:021D0103>!"
70,"TEXT_KINGMA115_04874_MABLU_000_516","Ah<hex:021D0103>! J'aperçois la matéière de Miplu<hex:021D0103>!"
71,"TEXT_KINGMA115_04874_WUKLAMAT_000_017","Pfiou... Je suis contente qu'on soit enfin arrivé<hex:020808E905FF02>e<hex:FF01><hex:03>s à destination. J'étais sur mes gardes pendant tout le voyage..."
72,"TEXT_KINGMA115_04874_MABLU_100_019","J'ai renvoyé les alpagas à L'Aménité d'Icuvlo. Nous devrons faire le chemin du retour à papattes<hex:021D0103>!"
