key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_BANYOK006_05335_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>Règle spéciale<hex:021D0103>:  synchronisation de quête avec limitation de job ou de classe<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Fahrafahr souhaite vous parler des esprits des neiges."
1,"TEXT_BANYOK006_05335_SEQ_01","* <hex:021A020203>Cette quête est <hex:024804F201FC03><hex:024904F201FD03> synchronisée<hex:0249020103><hex:0248020103> avec votre niveau.<hex:021A020103><hex:02100103>* <hex:021A020203>Il n'est possible de progresser dans cette quête qu'avec la classe ou le job qui a servi à la commencer.<hex:021A020103> <hex:02100103><hex:02100103>Fahrafahr vous a annoncé avec joie que vos efforts pour restaurer l'Autel de Zirgorteh et l'amitié unissant les esprits des neiges et les Yok Huy ont porté leurs fruits. Rendez-vous à l'autel et adressez-vous aux rorrlo teh pour vous en assurer."
2,"TEXT_BANYOK006_05335_SEQ_02","Vous avez constaté que les Yok Huy et les esprits des neiges vivent de nouveau en harmonie. Adressez-vous maintenant à Fahrafahr pour lui faire part de votre sa<hex:02160103>tis<hex:02160103>fac<hex:02160103>tion."
3,"TEXT_BANYOK006_05335_SEQ_03","Grâce à votre soutien tout au long de la restauration de l'Autel de Zirgorteh et à votre col<hex:02160103>la<hex:02160103>bo<hex:02160103>ra<hex:02160103>tion lors de l'édification d'une tombe anthume, les esprits des neiges et les Yok Huy sont parvenus à tisser des liens plus étroits que jamais. Vous êtes convaincu<hex:020808E905FF02>e<hex:FF01><hex:03> que cette amitié, désormais gravée dans la roche, résistera à l'épreuve du temps."
4,"TEXT_BANYOK006_05335_SEQ_04",""
5,"TEXT_BANYOK006_05335_SEQ_05",""
6,"TEXT_BANYOK006_05335_SEQ_06",""
7,"TEXT_BANYOK006_05335_SEQ_07",""
8,"TEXT_BANYOK006_05335_SEQ_08",""
9,"TEXT_BANYOK006_05335_SEQ_09",""
10,"TEXT_BANYOK006_05335_SEQ_10",""
11,"TEXT_BANYOK006_05335_SEQ_11",""
12,"TEXT_BANYOK006_05335_SEQ_12",""
13,"TEXT_BANYOK006_05335_SEQ_13",""
14,"TEXT_BANYOK006_05335_SEQ_14",""
15,"TEXT_BANYOK006_05335_SEQ_15",""
16,"TEXT_BANYOK006_05335_SEQ_16",""
17,"TEXT_BANYOK006_05335_SEQ_17",""
18,"TEXT_BANYOK006_05335_SEQ_18",""
19,"TEXT_BANYOK006_05335_SEQ_19",""
20,"TEXT_BANYOK006_05335_SEQ_20",""
21,"TEXT_BANYOK006_05335_SEQ_21",""
22,"TEXT_BANYOK006_05335_SEQ_22",""
23,"TEXT_BANYOK006_05335_SEQ_23",""
24,"TEXT_BANYOK006_05335_TODO_00","Parler aux rorrlo teh, à l'Autel de Zirgorteh"
25,"TEXT_BANYOK006_05335_TODO_01","Parler à Fahrafahr"
26,"TEXT_BANYOK006_05335_TODO_02",""
27,"TEXT_BANYOK006_05335_TODO_03",""
28,"TEXT_BANYOK006_05335_TODO_04",""
29,"TEXT_BANYOK006_05335_TODO_05",""
30,"TEXT_BANYOK006_05335_TODO_06",""
31,"TEXT_BANYOK006_05335_TODO_07",""
32,"TEXT_BANYOK006_05335_TODO_08",""
33,"TEXT_BANYOK006_05335_TODO_09",""
34,"TEXT_BANYOK006_05335_TODO_10",""
35,"TEXT_BANYOK006_05335_TODO_11",""
36,"TEXT_BANYOK006_05335_TODO_12",""
37,"TEXT_BANYOK006_05335_TODO_13",""
38,"TEXT_BANYOK006_05335_TODO_14",""
39,"TEXT_BANYOK006_05335_TODO_15",""
40,"TEXT_BANYOK006_05335_TODO_16",""
41,"TEXT_BANYOK006_05335_TODO_17",""
42,"TEXT_BANYOK006_05335_TODO_18",""
43,"TEXT_BANYOK006_05335_TODO_19",""
44,"TEXT_BANYOK006_05335_TODO_20",""
45,"TEXT_BANYOK006_05335_TODO_21",""
46,"TEXT_BANYOK006_05335_TODO_22",""
47,"TEXT_BANYOK006_05335_TODO_23",""
48,"TEXT_BANYOK006_05335_FAHRAFAHR_000_001","<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203><hex:021D0103>! Je suis CONTENTE de te voir. Encore merci pour ton aide, même après la cérémonie des flocons."
49,"TEXT_BANYOK006_05335_FAHRAFAHR_000_002","Grâce à toi, nos RELATIONS avec les esprits des neiges sont au beau fixe. Ils acceptent avec joie nos offrandes et viennent ré<hex:02160103>gu<hex:02160103>liè<hex:02160103>re<hex:02160103>ment s'AMUSER avec nous."
50,"TEXT_BANYOK006_05335_FAHRAFAHR_000_003","J'allais justement me rendre à l'AUTEL. Retrouve-nous là-bas si le cœur t'en dit<hex:021D0103>! N'hésite pas à t'adresser aux esprits des neiges, ça leur fera plaisir."
51,"TEXT_BANYOK006_05335_FAHRAFAHR_000_005","Ryoqor Terteh ACCOURT toujours dès qu'il m'aperçoit. Il me raconte en long et en large toutes ses aventures."
52,"TEXT_BANYOK006_05335_RYOQORTERTEH_000_010","Fahrafahr<hex:021D0103>! Tu sais quoi<hex:021D0103>? Tu sais quoi<hex:021D0103>?"
53,"TEXT_BANYOK006_05335_RORRLOHTEH05335A_000_100","Allez<hex:021D0103>! Viens jouer avec nous dans la neige<hex:021D0103>! Allez<hex:021D0103>!"
54,"TEXT_BANYOK006_05335_GIRZORHOR_000_101","D'accord<hex:021D0103>! d'accord<hex:021D0103>! Maintenant que vous êtes SAGES comme des images, je n'ai plus de raison d'avoir peur."
55,"TEXT_BANYOK006_05335_RORRLOHTEH05335B_000_102","Et voilà pour toi<hex:021D0103>! Alors, c'est bon<hex:021D0103>? Dis, c'est bon<hex:021D0103>?"
56,"TEXT_BANYOK006_05335_KURBULUR_000_103","Quand j'ai OFFERT du kirkahryar aux esprits, ils m'ont remercié avec une grosse boule de neige..."
57,"TEXT_BANYOK006_05335_KURBULUR_000_104","Je comprends que la neige, c'est comme de la nourriture pour eux, mais je m'attendais pas à ce qu'ils m'offrent un tel <hex:021A020203>FESTIN<hex:021A020103>... Y a pas à dire, ils sont ATTENDRISSANTS. C'est comme avoir des petits-enfants."
58,"TEXT_BANYOK006_05335_RORRLOHTEH05335C_000_105","Hé<hex:021D0103>! Toi<hex:021D0103>! L'artisan<hex:020808E905FF02>e<hex:FF01><hex:03><hex:021D0103>! Tu es très doué<hex:020808E905FF02>e<hex:FF01><hex:03><hex:021D0103>! Il faut le graver sur la tombe anthume<hex:021D0103>!"
59,"TEXT_BANYOK006_05335_YOKHUY05335_000_106","Les esprits des neiges n'ont pas oublié le VISAGE de leur <hex:02081EE905FF0D>bienfaitrice<hex:FF0C>bienfaiteur<hex:03>."
