key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_UI_TITLE","Fragmentation de cristaux"
1,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_UI_SUBTITLE",""
2,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_UI_NOITEM","Vous ne possédez pas de cristaux pouvant être fragmentés."
3,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_RESULT_UI_TITLE","Résultat de la fragmentation"
4,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_RESULT_UI_SUBTITLE",""
5,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_RESULT_UI_NEXT","Continuer"
6,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_CONFIRM_SINGLE","Faire fractionner <hex:02330CFF05>Item<hex:02E802020203> pour obtenir des <hex:02330DFF05>Item<hex:0DF25529030203><hex:021D0103>?<hex:02100103><hex:02100103>Possédés<hex:021D0103>: <hex:022003E80403><hex:02100103>Fragmentations possibles<hex:021D0103>: <hex:022003E80303>"
7,"TEXT_LOTTERYEXCHANGESHOPEUREKA1CRYSTAL_CONFIRM_MULTI","Faire fractionner <hex:02082EE4E80502FF10><hex:02330CFF05>Item<hex:02E802020203><hex:FF17><hex:022003E80503> <hex:02330CFF05>Item<hex:0DE802030203><hex:03> pour obtenir des <hex:02330DFF05>Item<hex:0DF25529030203><hex:021D0103>?<hex:02100103><hex:02100103>Possédés<hex:021D0103>: <hex:022003E80403><hex:02100103>Fragmentations possibles<hex:021D0103>: <hex:022003E80303>"
