key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_1","<hex:02083DE3E90C0DFF1B><hex:020817E3E90C05FF08>Bonsoir<hex:FF08>Bonjour<hex:03><hex:FF1B><hex:020817E3E90C12FF08>Bonjour<hex:FF08>Bonsoir<hex:03><hex:03>, <hex:020815E905FF07>Madame<hex:FF09>Monsieur<hex:03>, et bienvenue aux Pendants."
1,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_2","Je suis vraiment désolé, mais toutes nos chambres sont occupées pour le moment."
2,"TEXT_WARPINNCRYSTARIUM_Q1_000_1","Que faites-vous<hex:021D0103>?"
3,"TEXT_WARPINNCRYSTARIUM_A1_000_1","Se renseigner sur Les Pendants"
4,"TEXT_WARPINNCRYSTARIUM_A1_000_2","Rien en particulier"
5,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_3","Les Pendants sont un des différents édifices résidentiels qu'on peut trouver à Cristarium."
6,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_4","Comme vous pouvez le constater en regardant autour de vous, ils sont composés d'une multitude de petites chambres, pour pouvoir accueillir le plus de réfugiés possible."
7,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_5","Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, aucune n'est libre à l'heure qu'il est... Toutes mes excuses, mais je dois vous demander de patienter pour le moment."
8,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_10","<hex:02083DE3E90C0DFF1B><hex:020817E3E90C05FF08>Bonsoir<hex:FF08>Bonjour<hex:03><hex:FF1B><hex:020817E3E90C12FF08>Bonjour<hex:FF08>Bonsoir<hex:03><hex:03>, <hex:020815E905FF07>Madame<hex:FF09>Monsieur<hex:03> <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0303>. Voulez-vous aller dans votre chambre<hex:021D0103>?"
9,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_11","Bienvenue à vous, ô <hex:020819E905FF0B>Guerrière<hex:FF09>Guerrier<hex:03> des Ténèbres<hex:021D0103>! Voulez-vous aller dans votre chambre<hex:021D0103>?"
10,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_12","C'est une joie de vous revoir, <hex:020819E905FF0B>Guerrière<hex:FF09>Guerrier<hex:03> des Ténèbres. Votre chambre est telle que vous l'avez laissée. Soyez certain<hex:020808E905FF02>e<hex:FF01><hex:03> que vous aurez toujours un pied à terre à Cristarium."
11,"TEXT_WARPINNCRYSTARIUM_Q2_000_1","Que faites-vous<hex:021D0103>?"
12,"TEXT_WARPINNCRYSTARIUM_A2_000_1","Aller dans votre chambre"
13,"TEXT_WARPINNCRYSTARIUM_A2_000_2","Se renseigner sur Les Pendants"
14,"TEXT_WARPINNCRYSTARIUM_A2_000_3","Rien en particulier"
15,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_20","Très bien. Par ici, je vous prie."
16,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_30","Les Pendants sont un des différents édifices résidentiels qu'on peut trouver à Cristarium."
17,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_31","Comme vous pouvez le constater en regardant autour de vous, ils sont composés d'une multitude de petites chambres, pour pouvoir accueillir le plus de réfugiés possible."
18,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_32","Depuis que la nuit est revenue à Grand-Lac, mes assistants et moi redoublons d'efforts pour créer une ambiance lumineuse agréable et reposante dans toutes les chambres. Il y a beaucoup de travail, mais c'est un plaisir<hex:021D0103>!"
19,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_33","Alors que mes assistants et moi avions enfin fini d'arranger les luminaires pour créer une atmosphère par<hex:02160103>ti<hex:02160103>cu<hex:02160103>liè<hex:02160103>re dans toutes les chambres, voilà que la Lumière est de retour<hex:021D0103>! Pour nous, la déception est double..."
20,"TEXT_WARPINNCRYSTARIUM_GUIDEOFTHEPENDANTS_000_34","Grâce à l'assistance des artisans de la halle du Juste nous avons enfin fini de régler tous les luminaires du bâtiment. Le confort est parfois spartiate dans nos chambres, mais c'est aussi ce qui fait le charme des Pendants<hex:021D0103>!"
