key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_1","<hex:02083DE3E90C0DFF1B><hex:020817E3E90C05FF08>Bonsoir<hex:FF08>Bonjour<hex:03><hex:FF1B><hex:020817E3E90C12FF08>Bonjour<hex:FF08>Bonsoir<hex:03><hex:03> <hex:02082DE905FF15>ma petite Demoiselle<hex:FF13>mon petit Monsieur<hex:03>. Vous êtes à l'auberge du Sablier... mais je regrette de vous dire que nous n'avons de chambres que pour les aventuriers qui ont fait leurs preuves, ce qui n'est pas votre cas, il me semble."
1,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_2","Donc, si je puis me permettre, je vous conseille d'aller voir s'il n'y a pas des gens qui ont besoin de votre aide et de faire tout votre possible pour gagner l'estime de madame Momodi. Il n'y a qu'à ce moment que vous vous verrez offrir le gîte ici."
2,"TEXT_WARPINNULDAH_00061_Q1_000_1","Que voulez-vous savoir<hex:021D0103>?"
3,"TEXT_WARPINNULDAH_A1_000_1","Quel genre d'endroit est Le Sablier<hex:021D0103>?"
4,"TEXT_WARPINNULDAH_A1_000_2","Rien en particulier"
5,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_3","Le Sablier n'est rien d'autre que l'auberge la plus réputée d'Ul'dah, et à juste titre<hex:021D0103>!"
6,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_4","Nous offrons un grand choix de chambres qui satisfera toutes sortes de clients. Nous avons en effet de magnifiques suites au mobilier luxueux pour les plus riches, mais aussi des mansardes bien plus modestes pour les petites bourses."
7,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_5","Si les cir<hex:02160103>cons<hex:02160103>tan<hex:02160103>ces étaient différentes, je me ferais un plaisir de vous conduire vers une des chambres que nous avons aménagées spé<hex:02160103>cia<hex:02160103>le<hex:02160103>ment pour les aventuriers comme vous. Mal<hex:02160103>heu<hex:02160103>reu<hex:02160103>se<hex:02160103>ment, depuis les tristes événements du Fléau, nous ne pouvons nous permettre d'accepter n'importe qui chez nous."
8,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_6","Bien sûr, si madame Momodi devait vous recommander, nous serions infiniment ravis de vous compter parmi nos clients."
9,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_10","<hex:02083DE3E90C0DFF1B><hex:020817E3E90C05FF08>Bonsoir<hex:FF08>Bonjour<hex:03><hex:FF1B><hex:020817E3E90C12FF08>Bonjour<hex:FF08>Bonsoir<hex:03><hex:03> <hex:02082EE905FF17>ma chère Mademoiselle<hex:FF12>mon cher Monsieur<hex:03> <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0303>. C'est un plaisir de vous voir. En quoi puis-je vous être utile aujourd'hui<hex:021D0103>?"
10,"TEXT_WARPINNULDAH_Q2_000_1","Que voulez-vous faire<hex:021D0103>?"
11,"TEXT_WARPINNULDAH_A2_000_1","Aller dans ma chambre"
12,"TEXT_WARPINNULDAH_A2_000_2","（★未使用／削除予定★）"
13,"TEXT_WARPINNULDAH_A2_000_3","En savoir plus sur les in<hex:02160103>ter<hex:02160103>dic<hex:02160103>tions"
14,"TEXT_WARPINNULDAH_A2_000_4","Savoir quel genre d'endroit est Le Sablier"
15,"TEXT_WARPINNULDAH_A2_000_5","Rien en particulier"
16,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_11","Je vous en prie. Reposez-vous bien, <hex:02082EE905FF17>ma chère Mademoiselle<hex:FF12>mon cher Monsieur<hex:03> <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0303>."
17,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_12","（★未使用／削除予定★）"
18,"TEXT_WARPINNULDAH_SYSTEM_000_13","（★未使用／削除予定★）"
19,"TEXT_WARPINNULDAH_SYSTEM_100_13","（★未使用／削除予定★）"
20,"TEXT_WARPINNULDAH_SYSTEM_000_14","（★未使用／削除予定★）"
21,"TEXT_WARPINNULDAH_SYSTEM_000_15","（★未使用／削除予定★）"
22,"TEXT_WARPINNULDAH_SYSTEM_000_16","（★未使用／削除予定★）"
23,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_17","Je dois vous informer que notre règlement interne interdit certaines activités à l'intérieur des chambres."
24,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_18","Même si vous êtes un<hex:020808E905FF02>e<hex:FF01><hex:03> artisan<hex:020808E905FF02>e<hex:FF01><hex:03> émérite, je dois insister sur le fait qu'il n'est pas permis de travailler dans notre éta<hex:02160103>blis<hex:02160103>se<hex:02160103>ment. Comprenez bien que le bruit qui résulterait d'une telle activité serait à même d'incommoder les autres clients de l'auberge."
25,"TEXT_WARPINNULDAH_SYSTEM_000_18","Il est impossible d'effectuer des synthèses ou des réparations dans les chambres."
26,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_19","Le Sablier n'est rien d'autre que l'auberge la plus réputée d'Ul'dah, et à juste titre<hex:021D0103>!"
27,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_20","Nous offrons un grand choix de chambres qui satisfera toutes sortes de clients. Nous avons en effet de magnifiques suites au mobilier luxueux pour les plus riches, mais aussi des mansardes bien plus modestes pour les petites bourses."
28,"TEXT_WARPINNULDAH_OTOPAPOTTOPA_000_21","Et à la requête de madame Momodi, nous proposons des chambres que nous avons aménagées spé<hex:02160103>cia<hex:02160103>le<hex:02160103>ment pour les aventuriers comme vous. N'hésitez pas à vous adresser à moi lorsque vous désirez vous rendre dans la vôtre."
