key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_000","さて、強化を始める前に……<hex:02100103>汝はこの武具にどんな性能を求めておるのダ？<hex:02100103>想い描く最終形が見えたら、余に教えるがよいヨ！"
1,"TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_001","ナレッジクリスタルに宿った「戦闘の記憶」を複製。<hex:02100103>それをファントムウェポンと融合させテ……"
2,"TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_002","ンンンン～～～～！"
3,"TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_003","よし、完成だヨ～～～～！"
4,"TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_004","相変わらず見事なモンだぜ。<hex:02100103>幻影をすべて取り去って暴かれた真の姿が、<hex:02100103>テメェが紡いだ「戦闘の記憶」を纏って、煌めいてやがる……。"
5,"TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_005","これがファントムウェポンの最終形！<hex:02100103>「<hex:02280AFF05>Item<hex:E8020103>」だ！"
6,"TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_006","これがファントムウェポンの最終形！<hex:02100103>「<hex:02280AFF05>Item<hex:E8020103>」と……<hex:02100103>「<hex:02280AFF05>Item<hex:E8030103>」だ！"
7,"TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_007","オレたちにやれることはもうねえ。<hex:02100103>あとは、この武器とともに戦場を駆け抜け、<hex:02100103>新たな「戦闘の記憶」でも紡いでいってくれや！"
8,"TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_008","おっと、念のため言っておくが……<hex:02100103>性能の再調整には「<hex:02280BFF05>Item<hex:F2C7210103>」が必要になるぜ。<hex:02100103>忘れるなよ。"
9,"TEXT_CTSMKDWEPTRADE5_00980_SYSTEM_100_008","武器の能力を再調整したい場合は、<hex:02100103>蜃気楼の町の「ブリギッド」に話しかけることで、<hex:02100103>パラメータの付与をやり直せます。"
10,"TEXT_CTSMKDWEPTRADE5_00980_SYSTEM_000_009","再調整に必要な「<hex:02280BFF05>Item<hex:F2C7210103>」は、<hex:02100103>蜃気楼の町の「アーミナ」から交換できます。"
