key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,,,,,,Item,Category0,Category1,Category2,Category3,Text0,Text1,
offset,21,4,6,19,20,0,8,10,12,14,16,17,18
Int32,PackedBool0,UInt16,UInt16,Bool,Bool,UInt32,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8
0,False,0,0,False,False,0,0,0,0,0,0,0,1
1,False,0,0,False,False,0,0,0,0,0,0,0,1
2,True,2,4,True,False,41305,1,2,3,4,1,2,26
3,True,2,4,True,False,0,0,0,0,0,0,0,1
4,True,2,4,True,True,41306,5,6,7,8,1,3,27
5,True,2,4,True,True,0,0,0,0,0,0,0,1
6,False,2,4,True,True,0,0,0,0,0,0,0,1
7,False,0,0,False,False,0,0,0,0,0,0,0,1
8,True,8,0,True,False,41786,9,10,11,12,1,4,26
9,True,8,0,True,False,0,0,0,0,0,0,0,1
10,False,0,0,False,False,0,0,0,0,0,0,0,0
11,False,0,0,False,False,0,0,0,0,0,0,0,0
12,False,0,0,False,False,0,0,0,0,0,0,0,0
13,False,0,0,False,False,0,0,0,0,0,0,0,0
14,False,0,0,False,False,0,0,0,0,0,0,0,0
15,False,0,0,False,False,0,0,0,0,0,0,0,0
16,False,0,0,False,False,0,0,0,0,0,0,0,0
17,False,0,0,False,False,0,0,0,0,0,0,0,0
18,False,0,0,False,False,0,0,0,0,0,0,0,0
