key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
#,Stages[0].Name,Stages[1].Name,Stages[2].Name,Stages[3].Name,Stages[4].Name,Stages[5].Name,Stages[6].Name,Stages[7].Name,Stages[8].Name,Stages[0].Item,Stages[1].Item,Stages[2].Item,Stages[3].Item,Stages[4].Item,Stages[5].Item,Stages[6].Item,Stages[7].Item,Stages[8].Item,Stages[0].Unknown0,Stages[1].Unknown0,Stages[2].Unknown0,Stages[3].Unknown0,Stages[4].Unknown0,Stages[5].Unknown0,Stages[6].Unknown0,Stages[7].Unknown0,Stages[8].Unknown0,Stages[9].Item,Stages[10].Item,Stages[11].Item,Stages[12].Item,Stages[9].Name,Stages[10].Name,Stages[11].Name,Stages[12].Name,Stages[9].Unknown0,Stages[10].Unknown0,Stages[11].Unknown0,Stages[12].Unknown0,Stages[13].Item,Stages[13].Unknown0
offset,8,20,32,44,56,68,80,92,104,4,16,28,40,52,64,76,88,100,0,12,24,36,48,60,72,84,96,112,120,128,136,114,122,130,138,108,116,124,132,142,140
Int32,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt32,UInt32,UInt32,UInt32,UInt8,UInt16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
